"ACR.140" "ACR.145" "ACR.150" "ACR.173" "ACR.178"
"lncRNA_001" 1 22 4 7 18
"lncRNA_002" 0 3 5 6 25
"lncRNA_005" 20 0 4 0 147
"lncRNA_006" 16 4 13 6 28
"lncRNA_007" 12 53 0 6 17
"lncRNA_008" 3 0 5 2 8
"lncRNA_012" 0 0 0 0 135
"lncRNA_016" 2 1 0 0 14
"lncRNA_017" 11 9 20 0 1801
"lncRNA_018" 1 0 8 7 14
"lncRNA_021" 1 0 2 0 6
"lncRNA_028" 30 6 44 6 20
"lncRNA_029" 1397 953 1069 1222 1178
"lncRNA_030" 15 1066 241 22 254
"lncRNA_031" 85 0 0 36 0
"lncRNA_032" 46 49 285 127 91
"lncRNA_033" 0 0 18 0 0
"lncRNA_034" 1779 1421 736 1998 1615
"lncRNA_035" 98 13 67 271 52
"lncRNA_036" 169 286 75 173 132
"lncRNA_037" 5574 6622 3863 3351 3176
"lncRNA_038" 210 61 52 208 117
"lncRNA_039" 1 12 34 1 2
"lncRNA_040" 1214 1070 675 834 933
"lncRNA_041" 302 234 399 889 333
"lncRNA_042" 1 6 20 5 3
"lncRNA_045" 80 2 0 0 1
"lncRNA_046" 0 0 33 0 0
"lncRNA_048" 38 4 32 38 24
"lncRNA_049" 618 378 293 471 446
"lncRNA_050" 91 87 123 26 163
"lncRNA_051" 68 0 0 5 4
"lncRNA_052" 109 190 50 0 2
"lncRNA_053" 2334 1840 1072 1475 2121
"lncRNA_054" 6371 6687 4046 3429 2287
"lncRNA_055" 3119 3293 1774 1979 624
"lncRNA_056" 1069 825 417 812 1416
"lncRNA_057" 3309 3353 1844 2037 1620
"lncRNA_058" 43 19 27 0 28
"lncRNA_059" 436 230 383 978 1200
"lncRNA_060" 46 36 172 139 138
"lncRNA_064" 0 0 0 0 12
"lncRNA_073" 12 58 15 8 64
"lncRNA_074" 29 34 9 47 39
"lncRNA_075" 2869 5576 1427 1585 793
"lncRNA_076" 0 3 17 1 89
"lncRNA_077" 17 0 15 22 0
"lncRNA_078" 239 66 2 17 522
"lncRNA_079" 2 0 0 0 8
"lncRNA_085" 35 0 99 27 114
"lncRNA_086" 2252 3243 1153 693 590
"lncRNA_089" 328 64 125 73 303
"lncRNA_090" 44 8 10 8 53
"lncRNA_091" 6 5 14 21 41
"lncRNA_092" 487 24 6 80 45
"lncRNA_093" 44 0 51 11 80
"lncRNA_094" 517 508 281 582 660
"lncRNA_095" 12 2 4 1 20
"lncRNA_096" 44 19 28 37 28
"lncRNA_097" 174 108 161 226 171
"lncRNA_098" 512 464 415 559 939
"lncRNA_102" 91 45 166 62 229
"lncRNA_103" 133 190 138 58 42
"lncRNA_104" 21 0 21 0 89
"lncRNA_105" 24 8 63 5 160
"lncRNA_106" 447 235 255 266 587
"lncRNA_107" 53 62 325 326 41
"lncRNA_108" 36 19 206 45 52
"lncRNA_112" 1 1 8 2 36
"lncRNA_113" 4 5 5 0 61
"lncRNA_115" 8 13 21 0 8
"lncRNA_116" 20 11 9 14 11
"lncRNA_117" 44 6 0 23 7
"lncRNA_118" 500 1401 816 853 1141
"lncRNA_119" 4 38 17 84 0
"lncRNA_123" 32 0 21 37 2
"lncRNA_124" 0 0 11 8 78
"lncRNA_125" 0 0 11 0 10
"lncRNA_126" 24 62 7 21 5
"lncRNA_127" 514 120 150 0 181
"lncRNA_128" 0 0 43 12 0
"lncRNA_129" 55 272 165 138 192
"lncRNA_132" 27 0 63 0 51
"lncRNA_134" 21 0 21 0 66
"lncRNA_138" 81 3 105 0 232
"lncRNA_140" 169 2 174 2 440
"lncRNA_141" 381 0 153 16 130
"lncRNA_144" 37 0 40 0 72
"lncRNA_145" 65 1 66 2 211
"lncRNA_146" 68 1 89 1 90
"lncRNA_149" 51 1 54 3 142
"lncRNA_150" 13 1 25 4 71
"lncRNA_151" 4 0 10 0 15
"lncRNA_152" 471 5 343 8 909
"lncRNA_154" 49 1 48 0 140
"lncRNA_155" 2 0 8 0 0
"lncRNA_156" 14 0 40 0 72
"lncRNA_158" 4 0 0 0 10
"lncRNA_161" 279 2 256 2 649
"lncRNA_162" 6 2 0 0 0
"lncRNA_164" 12 0 22 0 52
"lncRNA_166" 38 7 9 3 91
"lncRNA_167" 46 0 50 10 42
"lncRNA_169" 69 0 31 1 179
"lncRNA_170" 2 3 0 37 37
"lncRNA_171" 147 0 52 3 214
"lncRNA_172" 42 0 10 0 36
"lncRNA_173" 161 3 143 4 471
"lncRNA_175" 76 18 78 9 299
"lncRNA_178" 104 6 74 24 301
"lncRNA_179" 68 4 121 0 236
