sample140	sample145	sample150	sample173	sample178
XM_044315417.1	8.51392955436395	6.2971018992139	9.0244517417398	6.2971018992139	6.2971018992139
XM_029338156.2	10.1697643809534	10.2148804069874	11.3154726212578	13.3306953602012	11.4070151778369
XM_044318491.1	7.22054542379049	10.3526025213687	7.85894280622109	7.02698371184497	7.22578263279186
XR_006395542.1	8.17776891914597	6.46747090534689	8.21995027696428	9.45859684691287	7.19139268833916
XM_044321453.1	8.62362968109441	9.58158910082314	6.2971018992139	6.2971018992139	8.93507682208012
XM_044317253.1	10.5455009394719	10.6392542744677	6.88758488238466	10.6355112959755	6.71813265985679
XM_044320225.1	6.2971018992139	8.83486018414604	6.2971018992139	6.2971018992139	6.2971018992139
XM_029343825.2	11.6547994602831	9.04333174022623	10.6808586831673	10.2960103621245	11.8173610101521
XM_044317122.1	6.78134859076431	7.63367615859716	11.2575571952217	7.9461221217208	6.2971018992139
XM_029338132.2	6.2971018992139	6.2971018992139	9.06916360232784	7.70759202223365	6.2971018992139
XM_029325699.2	6.9633928692607	10.5803207405353	7.79133432323723	9.66699898686347	7.61946503199312
XM_044322099.1	10.1219135318606	11.5580315338289	10.6378616705831	9.08176461804823	7.8385768816723
XM_029329998.2	8.06808921380319	9.37252861953009	7.12654128374388	10.2573910099974	7.98548190211653
XM_029343575.2	6.50437772945545	9.33320368431658	6.2971018992139	6.84834527181694	9.73957603117526
XM_029343798.2	8.46596450688598	6.2971018992139	7.6075148994097	8.53983938483528	6.2971018992139
XM_044314475.1	6.2971018992139	6.2971018992139	7.38365850740413	6.2971018992139	9.13863043634938
XR_003826448.2	6.58998317349259	10.3779091860651	9.1918850148504	9.34256999387999	8.50657740241756
XM_044325825.1	7.24204533757757	9.23244731504794	6.48500226249626	6.51442946055221	6.4464209041903
XM_029346093.2	10.5352339179708	9.26160919345472	6.2971018992139	10.3485833206265	10.5199446069977
XM_029335317.2	9.8436223906081	8.3591876367754	8.6119761495734	10.1394557162805	6.2971018992139
XM_044312427.1	11.0202848836074	11.7552191962281	11.7336167149568	6.88868743376107	10.4692107175807
XM_029350666.2	9.60621790500814	7.38870862177901	6.2971018992139	8.84923849385455	9.66745844512004
XM_044318692.1	9.2943807694925	6.2971018992139	6.2971018992139	8.48805609344496	6.2971018992139
XR_003824773.2	8.67227937072232	11.427729800182	10.74640929121	10.1267611113468	9.23430022020452
XM_044324359.1	6.2971018992139	7.59514053839073	6.2971018992139	6.2971018992139	8.883083867961
XM_029339169.2	6.2971018992139	8.44815778036507	7.33805070068195	6.2971018992139	8.38918898265367
XM_044322019.1	8.18213417558488	6.2971018992139	6.2971018992139	8.52157846192821	6.2971018992139
XR_006395733.1	6.2971018992139	6.2971018992139	8.21995027696428	6.2971018992139	8.40445511640398
XM_044315327.1	7.39703205782166	10.2942891714999	7.85894280622109	8.37378370672815	7.55098087326177
XM_044318720.1	8.00931308423003	10.2321770761622	8.32007280516239	7.40035748116829	7.07800838685462
XM_044311118.1	10.1303513773845	7.41263759672614	10.2583978866607	8.62414534399499	6.63039671586434
XM_044314358.1	9.54723064659104	7.447424091372	10.4322466366285	7.95192888109526	11.6675387533969
XM_044318182.1	10.7117653485079	12.8191285224981	10.7339899370372	9.89437220937708	9.39153627867712
XM_044310100.1	6.2971018992139	6.2971018992139	6.2971018992139	9.77932691039433	6.2971018992139
XM_029333273.2	6.2971018992139	8.04736013324532	8.47700271685056	8.46137732385889	10.2053406132577
XM_029337100.2	7.4058844348501	6.2971018992139	6.2971018992139	8.08342395211758	8.65885139307086
XM_044321412.1	8.16899218772835	7.97285232709457	6.2971018992139	10.3446070681044	10.8396227532231
XM_044315167.1	6.2971018992139	8.74241072677333	6.2971018992139	8.10401270291085	6.2971018992139
XM_029348034.2	6.89758554327552	6.2971018992139	8.06476929538215	8.93301209316339	8.73780470825442
XM_029332245.2	8.57634870438825	9.12383703434364	7.45499929501065	6.2971018992139	7.48595225173491
XM_044310839.1	8.60177438258561	9.17222632547636	10.1364321199043	8.65109985654839	6.2971018992139
XM_044325639.1	8.79218122539344	8.49967754981512	9.71049486725095	6.97864670696438	6.2971018992139
XM_029339469.2	7.58984644067127	7.86302672789113	6.2971018992139	7.93442185356239	9.87627731290576
XM_044314345.1	7.47386313099782	7.22989471357528	7.85894280622109	9.54148932834543	9.60573628313411
XR_006392422.1	12.2661391578243	10.7885143659076	9.79822894003128	11.8247469257332	9.0593759409827
XM_029350701.2	9.34103733469928	6.2971018992139	6.2971018992139	9.44928562818326	6.2971018992139
XM_029353745.2	10.0074266190111	9.66475175061272	10.1432977746263	10.0321158881796	6.55549992842325
XM_029325121.2	8.26230685435275	8.90793427092031	6.2971018992139	7.79060670247131	6.2971018992139
XM_044322623.1	6.2971018992139	6.63724954021237	6.56264599733798	6.2971018992139	8.79270860189468
XM_044320381.1	6.2971018992139	10.5414201564182	9.49536478238533	7.5939595690166	9.26478358989157
XM_044320276.1	13.3496240668086	15.2631568784751	14.1906712265181	12.9216698920106	12.2313041932837
XM_044312835.1	6.2971018992139	6.2971018992139	9.35928747798862	8.71937601762548	6.2971018992139
XM_029350590.2	9.01124794379179	6.2971018992139	6.2971018992139	7.42914446405737	6.2971018992139
XM_029337602.2	6.2971018992139	9.25635216445021	6.56264599733798	7.42914446405737	7.16761340644797
XM_029356700.2	8.32608684113875	8.69568157218297	6.2971018992139	6.2971018992139	7.32116654243045
XM_044316819.1	6.2971018992139	6.2971018992139	7.74041977982748	6.45084827006569	9.12979890736782
XM_044318674.1	9.62884100802451	8.07976098273298	6.2971018992139	9.37642945920833	8.98762581191836
XM_044318923.1	6.2971018992139	6.2971018992139	8.72510340850693	6.2971018992139	6.2971018992139
XM_029347161.2	8.53064406252281	7.9587903388059	6.2971018992139	6.2971018992139	6.2971018992139
