#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	1.2070844510683875E-7
4.0	7.242506706410325E-7
5.0	1.0863760059615488E-6
6.0	1.8709808991560006E-6
7.0	3.259128017884646E-6
8.0	6.880381371089808E-6
9.0	1.593351475410271E-5
10.0	4.1463350894199106E-5
11.0	1.2559713713366572E-4
12.0	3.5910762419284525E-4
13.0	0.001019805298485127
14.0	0.0026657253017394267
15.0	0.006305507401268488
16.0	0.013573845714931676
17.0	0.025987502209718974
18.0	0.04387878723500951
19.0	0.0658200820105247
20.0	0.08802065852612936
21.0	0.10550298333939793
22.0	0.11336641428743785
23.0	0.11015279335335847
24.0	0.09855355673770702
25.0	0.08995247648161922
26.0	0.058541060999469555
27.0	0.05028532760483241
28.0	0.03707197766121232
29.0	0.026498702474746436
30.0	0.01862253678574776
31.0	0.012920450901568358
32.0	0.008878951096723738
33.0	0.006203750182043424
34.0	0.004353953615003674
35.0	0.003129728564730115
36.0	0.002279035797839669
37.0	0.0016681907113765113
38.0	0.001190788810978964
39.0	8.225073449579992E-4
40.0	5.812111631894285E-4
41.0	3.954408661700037E-4
42.0	2.8390626289128475E-4
43.0	2.1480067806761957E-4
44.0	1.4829032481375137E-4
45.0	1.1382806373574895E-4
46.0	8.395272357180635E-5
47.0	7.495994441134685E-5
48.0	5.950926343767149E-5
49.0	4.309291490314143E-5
50.0	4.327397757080169E-5
51.0	2.6736920591164785E-5
52.0	1.4847138748141166E-5
53.0	1.3519345851965941E-5
54.0	1.4424659190267231E-5
55.0	1.1467302285149681E-5
56.0	1.1105176949829165E-5
57.0	9.898092498760778E-6
58.0	7.061444038750066E-6
59.0	2.957356905117549E-6
60.0	3.3194822404380652E-6
61.0	1.2070844510683876E-6
62.0	1.0260217834081296E-6
63.0	7.84604893194452E-7
64.0	5.431880029807744E-7
65.0	2.414168902136775E-7
66.0	4.82833780427355E-7
67.0	2.5952315697970332E-6
68.0	1.8106266766025813E-7
69.0	2.414168902136775E-7
70.0	1.2070844510683875E-7
71.0	6.035422255341938E-8
72.0	8.449591157478712E-7
73.0	4.2247955787393566E-7
74.0	1.2070844510683875E-7
75.0	1.3277928961752262E-6
76.0	1.8106266766025813E-7
77.0	4.82833780427355E-7
78.0	0.0
79.0	1.2070844510683875E-7
80.0	1.8106266766025813E-7
81.0	2.414168902136775E-7
82.0	4.82833780427355E-7
83.0	5.431880029807744E-7
84.0	1.2070844510683875E-7
85.0	2.414168902136775E-7
86.0	1.2070844510683875E-7
87.0	1.2070844510683875E-7
88.0	2.414168902136775E-7
89.0	1.2070844510683875E-7
90.0	0.0
91.0	2.414168902136775E-7
92.0	1.2070844510683875E-7
93.0	6.035422255341938E-8
94.0	6.035422255341938E-8
95.0	1.8106266766025813E-7
96.0	1.2070844510683875E-7
97.0	6.035422255341938E-8
98.0	1.2070844510683875E-7
99.0	0.0
100.0	4.888692026826969E-6
