#Duplication rate	Coverage
1.0	2.366584E7
2.0	2.1633368E7
3.0	3613501.0
4.0	3642780.0
5.0	1100207.0
6.0	1130885.0
7.0	497673.0
8.0	502455.0
9.0	276218.0
10.0	269620.0
11.0	170073.0
12.0	162416.0
13.0	112330.0
14.0	103869.0
15.0	76541.0
16.0	70175.0
17.0	54015.0
18.0	49385.0
19.0	38575.0
20.0	34384.0
21.0	28199.0
22.0	25270.0
23.0	20691.0
24.0	18636.0
25.0	15471.0
26.0	13841.0
27.0	11610.0
28.0	10401.0
29.0	9020.0
30.0	7924.0
31.0	6733.0
32.0	5948.0
33.0	5145.0
34.0	4578.0
35.0	3963.0
36.0	3461.0
37.0	3087.0
38.0	2711.0
39.0	2363.0
40.0	2015.0
41.0	1835.0
42.0	1662.0
43.0	1483.0
44.0	1251.0
45.0	1185.0
46.0	1002.0
47.0	992.0
48.0	841.0
49.0	789.0
50.0	8439.0
