#Insert size (bp)	insert size
20.0	634.0
21.0	716.0
22.0	1252.0
23.0	1917.0
24.0	2247.0
25.0	3079.0
26.0	4347.0
27.0	5980.0
28.0	7674.0
29.0	9809.0
30.0	11936.0
31.0	14800.0
32.0	18148.0
33.0	21554.0
34.0	25544.0
35.0	29830.0
36.0	35105.0
37.0	40284.0
38.0	46682.0
39.0	53047.0
40.0	60075.0
41.0	67102.0
42.0	76197.0
43.0	85255.0
44.0	95418.0
45.0	105005.0
46.0	115110.0
47.0	126999.0
48.0	138338.0
49.0	150532.0
50.0	163440.0
51.0	175736.0
52.0	189454.0
53.0	203394.0
54.0	216400.0
55.0	232173.0
56.0	247578.0
57.0	262362.0
58.0	276579.0
59.0	290538.0
60.0	307925.0
61.0	321997.0
62.0	338066.0
63.0	348889.0
64.0	365347.0
65.0	378675.0
66.0	390589.0
67.0	403361.0
68.0	418290.0
69.0	430331.0
70.0	445873.0
71.0	456714.0
72.0	469168.0
73.0	479747.0
74.0	491843.0
75.0	499761.0
76.0	505482.0
77.0	516331.0
78.0	525240.0
79.0	532515.0
80.0	541295.0
81.0	547865.0
82.0	552780.0
83.0	563380.0
84.0	566469.0
85.0	573132.0
86.0	578593.0
87.0	581396.0
88.0	586593.0
89.0	593024.0
90.0	590736.0
91.0	593818.0
92.0	595667.0
93.0	593915.0
94.0	598058.0
95.0	600277.0
96.0	598889.0
97.0	597794.0
98.0	594922.0
99.0	595825.0
100.0	593376.0
101.0	591344.0
102.0	590303.0
103.0	590797.0
104.0	591354.0
105.0	581275.0
106.0	580509.0
107.0	578634.0
108.0	574755.0
109.0	571742.0
110.0	573112.0
111.0	571127.0
112.0	563359.0
113.0	558866.0
114.0	555268.0
115.0	551243.0
116.0	544852.0
117.0	537765.0
118.0	534721.0
119.0	531959.0
120.0	528409.0
121.0	520504.0
122.0	519019.0
123.0	513336.0
124.0	508377.0
125.0	504712.0
126.0	500284.0
127.0	497261.0
128.0	489198.0
129.0	481815.0
130.0	476403.0
131.0	471656.0
132.0	466851.0
133.0	461799.0
134.0	456427.0
135.0	451665.0
136.0	444084.0
137.0	439016.0
138.0	435043.0
139.0	430860.0
140.0	424343.0
141.0	417332.0
142.0	409302.0
143.0	404178.0
144.0	400238.0
145.0	394817.0
146.0	391580.0
147.0	384841.0
148.0	375076.0
149.0	271210.0
150.0	278099.0
151.0	456963.0
152.0	515455.0
153.0	465210.0
154.0	378009.0
155.0	356164.0
156.0	340208.0
157.0	327955.0
158.0	318966.0
159.0	308975.0
160.0	300972.0
161.0	294869.0
162.0	288001.0
163.0	281702.0
164.0	278033.0
165.0	271411.0
166.0	266349.0
167.0	262579.0
168.0	257440.0
169.0	250416.0
170.0	245857.0
171.0	241255.0
172.0	235917.0
173.0	231396.0
174.0	228010.0
175.0	224434.0
176.0	218727.0
177.0	214221.0
178.0	209124.0
179.0	206315.0
180.0	201296.0
181.0	196470.0
182.0	193540.0
183.0	188416.0
184.0	185140.0
185.0	181442.0
186.0	178501.0
187.0	174714.0
188.0	171145.0
189.0	167177.0
190.0	164390.0
191.0	160895.0
192.0	156867.0
193.0	154261.0
194.0	150581.0
195.0	147372.0
196.0	144523.0
197.0	141381.0
198.0	138147.0
199.0	135335.0
200.0	133385.0
201.0	130110.0
202.0	127158.0
203.0	124972.0
204.0	122691.0
205.0	119836.0
206.0	117001.0
207.0	115309.0
208.0	112606.0
209.0	110902.0
210.0	108620.0
211.0	106754.0
212.0	104430.0
213.0	101386.0
214.0	100093.0
215.0	98016.0
216.0	96036.0
217.0	94443.0
218.0	92155.0
219.0	90351.0
220.0	89004.0
221.0	87700.0
222.0	85252.0
223.0	83532.0
224.0	81496.0
225.0	79871.0
226.0	78934.0
227.0	77127.0
228.0	75603.0
229.0	73283.0
230.0	72125.0
231.0	71370.0
232.0	69605.0
233.0	67864.0
234.0	67206.0
235.0	65835.0
236.0	64978.0
237.0	64208.0
238.0	62521.0
239.0	60858.0
240.0	59938.0
241.0	59634.0
242.0	57987.0
243.0	57572.0
244.0	56082.0
245.0	55626.0
246.0	54432.0
247.0	53137.0
248.0	51769.0
249.0	51502.0
250.0	50936.0
251.0	48823.0
252.0	48831.0
253.0	47716.0
254.0	46680.0
255.0	45410.0
256.0	44572.0
257.0	45305.0
258.0	44195.0
259.0	43762.0
260.0	43901.0
261.0	42673.0
262.0	41610.0
263.0	40820.0
264.0	39830.0
265.0	39322.0
266.0	37997.0
267.0	37760.0
268.0	36274.0
269.0	36268.0
270.0	34951.0
271.0	34473.0
272.0	33938.0
273.0	32548.0
274.0	32831.0
275.0	31528.0
276.0	31363.0
277.0	30821.0
278.0	30283.0
279.0	29401.0
280.0	28485.0
281.0	28154.0
282.0	27749.0
283.0	27094.0
284.0	26356.0
285.0	26266.0
286.0	25795.0
287.0	25284.0
288.0	24866.0
289.0	24729.0
290.0	23991.0
291.0	23388.0
292.0	22965.0
293.0	22176.0
294.0	21744.0
295.0	21449.0
296.0	20950.0
297.0	20805.0
298.0	19978.0
299.0	19814.0
300.0	19569.0
301.0	19212.0
302.0	18616.0
303.0	18254.0
304.0	17904.0
305.0	17470.0
306.0	17223.0
307.0	17198.0
308.0	16573.0
309.0	16378.0
310.0	16232.0
