CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	579044	1582990	26.78	2162034
2	623209	2820016	18.10	3443225
3	535700	3185683	14.40	3721383
4	454501	2274218	16.66	2728719
5	266960	3165567	7.78	3432527
6	221366	2043584	9.77	2264950
7	211955	1917718	9.95	2129673
8	227370	2054882	9.96	2282252
9	229228	2002896	10.27	2232124
10	240028	2007779	10.68	2247807
11	247300	2089827	10.58	2337127
12	252928	2085630	10.82	2338558
13	248766	2071780	10.72	2320546
14	251168	2182102	10.32	2433270
15	253270	2182404	10.40	2435674
16	255289	2130995	10.70	2386284
17	254082	2140419	10.61	2394501
18	252799	2254117	10.08	2506916
19	251671	2233632	10.13	2485303
20	255232	2234245	10.25	2489477
21	253492	2258660	10.09	2512152
22	254745	2234568	10.23	2489313
23	258605	2293374	10.13	2551979
24	254097	2298873	9.95	2552970
25	256591	2318467	9.96	2575058
26	258161	2403807	9.70	2661968
27	255467	2336114	9.86	2591581
28	259647	2335319	10.01	2594966
29	260234	2385010	9.84	2645244
30	257587	2385333	9.75	2642920
31	256506	2370587	9.76	2627093
32	258920	2416325	9.68	2675245
33	261865	2478907	9.55	2740772
34	262136	2469983	9.59	2732119
35	255834	2401686	9.63	2657520
36	255463	2419807	9.55	2675270
37	256984	2403008	9.66	2659992
38	253829	2418771	9.50	2672600
39	257728	2434726	9.57	2692454
40	253784	2394970	9.58	2648754
41	256235	2394011	9.67	2650246
42	252448	2408146	9.49	2660594
43	253493	2405059	9.54	2658552
44	253245	2414213	9.49	2667458
45	251429	2410464	9.45	2661893
46	253472	2409843	9.52	2663315
47	252251	2443218	9.36	2695469
48	253313	2459157	9.34	2712470
49	250104	2405634	9.42	2655738
50	252440	2421034	9.44	2673474
51	251359	2411053	9.44	2662412
52	251830	2398980	9.50	2650810
53	252521	2394361	9.54	2646882
54	251996	2394491	9.52	2646487
55	248622	2388944	9.43	2637566
56	252007	2380637	9.57	2632644
57	249629	2427425	9.32	2677054
58	247945	2394905	9.38	2642850
59	248576	2381519	9.45	2630095
60	246579	2377806	9.40	2624385
61	248808	2365580	9.52	2614388
62	247260	2338635	9.56	2585895
63	244853	2359331	9.40	2604184
64	242753	2339121	9.40	2581874
65	242812	2294627	9.57	2537439
66	240226	2279054	9.54	2519280
67	238553	2258156	9.55	2496709
68	236905	2272588	9.44	2509493
69	237756	2267145	9.49	2504901
70	234450	2263210	9.39	2497660
71	234023	2247422	9.43	2481445
72	234107	2265721	9.36	2499828
73	231373	2200202	9.52	2431575
74	233658	2180735	9.68	2414393
75	229355	2190610	9.48	2419965
76	229184	2169247	9.56	2398431
77	227247	2154790	9.54	2382037
78	225099	2129364	9.56	2354463
79	221045	2117784	9.45	2338829
80	220683	2085217	9.57	2305900
81	219616	2069776	9.59	2289392
82	217375	2053180	9.57	2270555
83	216526	2024939	9.66	2241465
84	215309	2030144	9.59	2245453
85	211867	1987997	9.63	2199864
86	210704	1967633	9.67	2178337
87	209640	1931890	9.79	2141530
88	207071	1914784	9.76	2121855
89	207017	1899346	9.83	2106363
90	203850	1886796	9.75	2090646
91	201928	1874611	9.72	2076539
92	199393	1834845	9.80	2034238
93	199312	1837232	9.79	2036544
94	197183	1808279	9.83	2005462
95	195316	1791523	9.83	1986839
96	192736	1772593	9.81	1965329
97	189621	1757221	9.74	1946842
98	186484	1715987	9.80	1902471
99	185551	1722102	9.73	1907653
100	182662	1685757	9.78	1868419
101	182357	1664725	9.87	1847082
102	178912	1654201	9.76	1833113
103	177363	1633013	9.80	1810376
104	176015	1619942	9.80	1795957
105	173186	1574205	9.91	1747391
106	170746	1557618	9.88	1728364
107	168494	1522056	9.97	1690550
108	167726	1516580	9.96	1684306
109	166034	1523967	9.82	1690001
110	163791	1494152	9.88	1657943
111	162749	1467269	9.98	1630018
112	161446	1435480	10.11	1596926
113	158588	1441135	9.91	1599723
114	158166	1457924	9.79	1616090
115	154306	1377103	10.08	1531409
116	153473	1367627	10.09	1521100
117	150004	1335399	10.10	1485403
118	147984	1314093	10.12	1462077
119	148295	1300706	10.23	1449001
120	146329	1311542	10.04	1457871
121	144339	1267620	10.22	1411959
122	141636	1260591	10.10	1402227
123	142676	1295824	9.92	1438500
124	137855	1195236	10.34	1333091
125	135644	1177699	10.33	1313343
126	133963	1166076	10.30	1300039
127	131356	1148161	10.27	1279517
128	131379	1139737	10.34	1271116
129	128382	1125541	10.24	1253923
130	124708	1088093	10.28	1212801
131	123922	1074737	10.34	1198659
132	122033	1060878	10.32	1182911
133	120009	1042764	10.32	1162773
134	118378	1029795	10.31	1148173
135	116495	1009240	10.35	1125735
136	114747	997162	10.32	1111909
137	113966	989795	10.33	1103761
138	112397	976830	10.32	1089227
139	109625	954113	10.31	1063738
140	108325	937703	10.36	1046028
141	107131	933721	10.29	1040852
142	105681	910676	10.40	1016357
143	102585	881029	10.43	983614
144	102310	869030	10.53	971340
145	99527	853181	10.45	952708
146	99166	846339	10.49	945505
147	98152	842909	10.43	941061
148	98143	833920	10.53	932063
149	99736	820272	10.84	920008
150	94797	808296	10.50	903093
151	83839	751215	10.04	835054

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	654619	5106614	11.36	5761233
2	411132	1723798	19.26	2134930
3	260569	2582014	9.17	2842583
4	235626	2185301	9.73	2420927
5	86312	3007653	2.79	3093965
6	81982	3813666	2.10	3895648
7	76495	2411731	3.07	2488226
8	79384	2424605	3.17	2503989
9	69976	2382114	2.85	2452090
10	77885	2430449	3.11	2508334
11	72743	2434468	2.90	2507211
12	62572	2552731	2.39	2615303
13	60139	2539787	2.31	2599926
14	68322	2558213	2.60	2626535
15	55791	2629234	2.08	2685025
16	61940	2627434	2.30	2689374
17	51059	2639893	1.90	2690952
18	46260	2646456	1.72	2692716
19	44117	2679387	1.62	2723504
20	45238	2643422	1.68	2688660
21	42100	2655669	1.56	2697769
22	43385	2704744	1.58	2748129
23	39689	2704299	1.45	2743988
24	39443	2857803	1.36	2897246
25	39090	2725492	1.41	2764582
26	36504	2720678	1.32	2757182
27	35190	2745648	1.27	2780838
28	35447	2739156	1.28	2774603
29	33415	2748779	1.20	2782194
30	32057	2746691	1.15	2778748
31	31195	2766046	1.12	2797241
32	33067	2757494	1.18	2790561
33	31496	2790718	1.12	2822214
34	29396	2775993	1.05	2805389
35	28886	2779478	1.03	2808364
36	27264	2814534	0.96	2841798
37	28439	2830101	0.99	2858540
38	26389	2804156	0.93	2830545
39	26668	2843492	0.93	2870160
40	25140	2827055	0.88	2852195
41	24448	2822298	0.86	2846746
42	23855	2825651	0.84	2849506
43	23522	2815815	0.83	2839337
44	23081	2833661	0.81	2856742
45	22621	2849934	0.79	2872555
46	22194	2849202	0.77	2871396
47	22025	2829004	0.77	2851029
48	21507	2848251	0.75	2869758
49	21097	2840497	0.74	2861594
50	21093	2863162	0.73	2884255
51	20787	2841192	0.73	2861979
52	20741	2844104	0.72	2864845
53	20453	2812845	0.72	2833298
54	19845	2815347	0.70	2835192
55	20226	2825196	0.71	2845422
56	19880	2809400	0.70	2829280
57	19709	2836512	0.69	2856221
58	20026	2797774	0.71	2817800
59	19921	2789997	0.71	2809918
60	19910	2811241	0.70	2831151
61	20120	2783524	0.72	2803644
62	20355	2749532	0.73	2769887
63	20438	2726474	0.74	2746912
64	20451	2734501	0.74	2754952
65	20813	2732132	0.76	2752945
66	20688	2712705	0.76	2733393
67	20976	2682854	0.78	2703830
68	21367	2678222	0.79	2699589
69	21700	2679040	0.80	2700740
70	21631	2662614	0.81	2684245
71	21727	2637772	0.82	2659499
72	22152	2605269	0.84	2627421
73	22580	2595418	0.86	2617998
74	22366	2563209	0.87	2585575
75	22598	2570329	0.87	2592927
76	22829	2573363	0.88	2596192
77	23228	2516816	0.91	2540044
78	23257	2502072	0.92	2525329
79	23304	2462454	0.94	2485758
80	23498	2452669	0.95	2476167
81	23993	2416022	0.98	2440015
82	24322	2394357	1.01	2418679
83	24077	2379771	1.00	2403848
84	24576	2368214	1.03	2392790
