"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0001745","compound eye morphogenesis",3,1,0.03,0.027,"Biological.Process","Cluster_5981"
"2","GO:0001933","negative regulation of protein phosphorylation",5,1,0.05,0.045,"Biological.Process","Cluster_5981"
"3","GO:0009734","auxin-activated signaling pathway",5,1,0.05,0.045,"Biological.Process","Cluster_5981"
"4","GO:0004459","L-lactate dehydrogenase activity",1,1,0.01,0.012,"Molecular.Function","Cluster_5981"
"5","GO:0004760","serine-pyruvate transaminase activity",1,1,0.01,0.012,"Molecular.Function","Cluster_5981"
"6","GO:0004742","dihydrolipoyllysine-residue acetyltransferase activ...",1,1,0.01,0.012,"Molecular.Function","Cluster_5981"
"7","GO:0003779","actin binding",18,2,0.22,0.019,"Molecular.Function","Cluster_5981"
"8","GO:0016567","protein ubiquitination",37,3,0.47,0.0028,"Biological.Process","Cluster_15340"
"9","GO:0001701","in utero embryonic development",15,2,0.19,0.0143,"Biological.Process","Cluster_15340"
"10","GO:0001756","somitogenesis",2,1,0.03,0.0251,"Biological.Process","Cluster_15340"
"11","GO:0007605","sensory perception of sound",2,1,0.03,0.0251,"Biological.Process","Cluster_15340"
"12","GO:0004407","histone deacetylase activity",1,1,0.01,0.011,"Molecular.Function","Cluster_15340"
"13","GO:0004637","phosphoribosylamine-glycine ligase activity",1,1,0.01,0.011,"Molecular.Function","Cluster_15340"
"14","GO:0004615","phosphomannomutase activity",1,1,0.01,0.011,"Molecular.Function","Cluster_15340"
"15","GO:0003714","transcription corepressor activity",4,1,0.05,0.044,"Molecular.Function","Cluster_15340"
"16","GO:0016311","dephosphorylation",1,1,0,0.0035,"Biological.Process","Cluster_3366"
"17","GO:0001558","regulation of cell growth",3,1,0.01,0.0105,"Biological.Process","Cluster_3366"
"18","GO:0004334","fumarylacetoacetase activity",1,1,0,0.0046,"Molecular.Function","Cluster_3366"
"19","GO:0005347","ATP transmembrane transporter activity",2,1,0.01,0.0091,"Molecular.Function","Cluster_3366"
"20","GO:0004126","cytidine deaminase activity",5,1,0.02,0.0227,"Molecular.Function","Cluster_3366"
"21","GO:0005539","glycosaminoglycan binding",5,1,0.02,0.0227,"Molecular.Function","Cluster_3366"
"22","GO:0004601","peroxidase activity",7,1,0.03,0.0316,"Molecular.Function","Cluster_3366"
"23","GO:0016311","dephosphorylation",1,1,0,0.0035,"Biological.Process","Cluster_3367"
"24","GO:0001558","regulation of cell growth",3,1,0.01,0.0105,"Biological.Process","Cluster_3367"
"25","GO:0003179","heart valve morphogenesis",4,1,0.01,0.014,"Biological.Process","Cluster_3367"
"26","GO:0004334","fumarylacetoacetase activity",1,1,0,0.0039,"Molecular.Function","Cluster_3367"
"27","GO:0005347","ATP transmembrane transporter activity",2,1,0.01,0.0077,"Molecular.Function","Cluster_3367"
"28","GO:0004126","cytidine deaminase activity",5,1,0.02,0.0192,"Molecular.Function","Cluster_3367"
"29","GO:0005539","glycosaminoglycan binding",5,1,0.02,0.0192,"Molecular.Function","Cluster_3367"
"30","GO:0004601","peroxidase activity",7,1,0.03,0.0268,"Molecular.Function","Cluster_3367"
"31","GO:0004736","pyruvate carboxylase activity",1,1,0,7e-04,"Molecular.Function","Cluster_5012"
"32","GO:0005388","P-type calcium transporter activity",4,1,0,0.0028,"Molecular.Function","Cluster_5012"
"33","GO:0000082","G1/S transition of mitotic cell cycle",105,2,0.15,0.0054,"Biological.Process","Cluster_1832"
"34","GO:0008170","N-methyltransferase activity",1,1,0,0.0035,"Molecular.Function","Cluster_1832"
"35","GO:0003913","DNA photolyase activity",1,1,0,0.0035,"Molecular.Function","Cluster_1832"
"36","GO:0004016","adenylate cyclase activity",2,1,0.01,0.007,"Molecular.Function","Cluster_1832"
"37","GO:0005496","steroid binding",8,1,0.03,0.0278,"Molecular.Function","Cluster_1832"
"38","GO:0006665","sphingolipid metabolic process",2,1,0.01,0.0056,"Biological.Process","Cluster_15928"
"39","GO:0004566","beta-glucuronidase activity",2,1,0,0.0035,"Molecular.Function","Cluster_15928"
