	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
Number of genes	40521	31840	40389
Number of genes in orthogroups	34124	28367	34744
Number of unassigned genes	6397	3473	5645
Percentage of genes in orthogroups	84.2	89.1	86.0
Percentage of unassigned genes	15.8	10.9	14.0
Number of orthogroups containing species	17548	17535	18869
Percentage of orthogroups containing species	75.9	75.8	81.6
Number of species-specific orthogroups	1772	1345	2043
Number of genes in species-specific orthogroups	10116	6054	8288
Percentage of genes in species-specific orthogroups	25.0	19.0	20.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	5576	5589	4255
'1	12386	13982	12803
'2	2738	1698	3634
'3	975	666	1008
'4	429	371	471
'5	278	196	280
'6	163	149	137
'7	110	107	110
'8	91	60	71
'9	58	59	69
'10	37	36	44
11-15	123	130	117
16-20	52	34	43
21-50	83	46	73
51-100	22	1	8
101-150	3	0	1
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	24.1	24.2	18.4
'1	53.6	60.5	55.4
'2	11.8	7.3	15.7
'3	4.2	2.9	4.4
'4	1.9	1.6	2.0
'5	1.2	0.8	1.2
'6	0.7	0.6	0.6
'7	0.5	0.5	0.5
'8	0.4	0.3	0.3
'9	0.3	0.3	0.3
'10	0.2	0.2	0.2
11-15	0.5	0.6	0.5
16-20	0.2	0.1	0.2
21-50	0.4	0.2	0.3
51-100	0.1	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	12386	13982	12803
'2	5476	3396	7268
'3	2925	1998	3024
'4	1716	1484	1884
'5	1390	980	1400
'6	978	894	822
'7	770	749	770
'8	728	480	568
'9	522	531	621
'10	370	360	440
11-15	1571	1636	1475
16-20	938	605	771
21-50	2529	1189	2221
51-100	1460	83	562
101-150	365	0	115
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	30.6	43.9	31.7
'2	13.5	10.7	18.0
'3	7.2	6.3	7.5
'4	4.2	4.7	4.7
'5	3.4	3.1	3.5
'6	2.4	2.8	2.0
'7	1.9	2.4	1.9
'8	1.8	1.5	1.4
'9	1.3	1.7	1.5
'10	0.9	1.1	1.1
11-15	3.9	5.1	3.7
16-20	2.3	1.9	1.9
21-50	6.2	3.7	5.5
51-100	3.6	0.3	1.4
101-150	0.9	0.0	0.3
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
