,id,type
1,apul-mir-novel-23,miRNA
2,apul-mir-novel-15,miRNA
3,apul-mir-novel-34,miRNA
4,apul-mir-novel-21,miRNA
5,apul-mir-novel-33,miRNA
6,apul-mir-novel-31,miRNA
7,apul-mir-2050,miRNA
8,apul-mir-novel-9,miRNA
9,apul-mir-100,miRNA
10,apul-mir-novel-7,miRNA
11,apul-mir-novel-28,miRNA
12,apul-mir-novel-10,miRNA
13,apul-mir-2025,miRNA
14,apul-mir-novel-22,miRNA
15,apul-mir-novel-19,miRNA
16,apul-mir-novel-16,miRNA
17,apul-mir-2028,miRNA
18,apul-mir-2023,miRNA
19,apul-mir-novel-5,miRNA
20,apul-mir-novel-26,miRNA
21,apul-mir-novel-29,miRNA
22,apul-mir-novel-12,miRNA
23,apul-mir-novel-13,miRNA
24,apul-mir-2022,miRNA
25,apul-mir-novel-2,miRNA
26,apul-mir-novel-8a; apul-mir-novel-8b,miRNA
27,apul-mir-2036,miRNA
28,apul-mir-novel-17,miRNA
29,apul-mir-novel-14,miRNA
30,apul-mir-novel-27,miRNA
31,apul-mir-2030,miRNA
32,apul-mir-novel-20,miRNA
33,apul-mir-novel-4,miRNA
34,apul-mir-novel-3,miRNA
35,apul-mir-novel-6,miRNA
36,apul-mir-9425,miRNA
37,apul-mir-novel-30,miRNA
38,apul-mir-novel-32,miRNA
39,apul-mir-novel-11,miRNA
40,FUN_043573,gene
41,FUN_025197,gene
42,FUN_019843,gene
43,FUN_019846,gene
44,FUN_014343,gene
45,FUN_029385,gene
46,FUN_020652,gene
47,FUN_043328,gene
48,FUN_034923,gene
49,FUN_027826,gene
50,FUN_008664,gene
51,FUN_013927,gene
52,FUN_042810,gene
53,FUN_018057,gene
54,FUN_041481,gene
55,FUN_035372,gene
56,FUN_036130,gene
57,FUN_012516,gene
58,FUN_041670,gene
59,FUN_023803,gene
60,FUN_029420,gene
61,FUN_006425,gene
62,FUN_034331,gene
63,FUN_011647,gene
64,FUN_031699,gene
65,FUN_001214,gene
66,FUN_035855,gene
67,FUN_040184,gene
68,FUN_032443,gene
69,FUN_032449,gene
70,FUN_000258,gene
71,FUN_010495,gene
72,FUN_037383,gene
73,FUN_000662,gene
74,FUN_030107,gene
75,FUN_028681,gene
76,FUN_041289,gene
77,FUN_014908,gene
78,FUN_043213,gene
79,FUN_029594,gene
80,FUN_040457,gene
81,FUN_032115,gene
82,FUN_043901,gene
83,FUN_029602,gene
84,FUN_016608,gene
85,FUN_013364,gene
86,FUN_026122,gene
87,FUN_013080,gene
88,FUN_024529,gene
89,FUN_020765,gene
90,FUN_003478,gene
91,FUN_013292,gene
92,FUN_041625,gene
93,FUN_005016,gene
94,FUN_035124,gene
95,FUN_038089,gene
96,FUN_001557,gene
97,FUN_006047,gene
98,FUN_037230,gene
99,FUN_001066,gene
100,FUN_017959,gene
