Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
POR-71-TP2_R1	22.48923028509593	23.0	100.561991224241	102	0.0	223448023.0
POR-71-TP2_R2	21.68197692428221	24.0	103.49984507135245	107	9.090909090909092	223448023.0
POR-73-TP2_R1	71.23407457009394	22.0	122.17477187057315	141	9.090909090909092	100464571.0
POR-73-TP2_R2	67.06896589907683	22.0	122.62972143682373	141	27.27272727272727	100464571.0
POR-76-TP2_R1	27.028854103333487	23.0	95.39411287880942	92	0.0	156151771.0
POR-76-TP2_R2	27.240543943322365	24.0	99.26432063328951	97	18.181818181818183	156151771.0
POR-79-TP2_R1	26.10563655159362	23.0	103.98872979136311	107	0.0	252288231.0
POR-79-TP2_R2	25.03087159433602	23.0	106.4675389118726	112	9.090909090909092	252288231.0
POR-82-TP2_R1	33.10178264079184	23.0	97.03266130856483	97	9.090909090909092	224200417.0
POR-82-TP2_R2	31.392988342391263	24.0	102.20389515154203	102	18.181818181818183	224200417.0
