sample73	sample79	sample82
Cluster_29	3374.67850787031	3628.2040851628	2515.78827702714
Cluster_589	2254.17044200408	1223.48873925991	771.114128311212
Cluster_796	24520.8301927288	25026.5783824261	37271.2744260235
Cluster_1140	1601.23831397532	938.21934409568	632.359078674091
Cluster_1167	103590.19338918	68168.819911096	88477.9535366407
Cluster_2787	1402.72781351236	937.162790780257	973.560020404716
Cluster_2854	370.712380382635	3.16965994626919	0.758224314956944
Cluster_2882	4714.02646280111	2337.09593371581	1385.27582342634
Cluster_4079	25616.22548444	12047.8774557692	9170.72308940423
Cluster_4080	38638.9926533655	10341.5438513609	15147.8053642098
Cluster_4115	9142.2456387911	6449.20143734237	5495.60983480793
Cluster_4629	487.90532643908	607.518156368261	308.597296187476
Cluster_4735	600.314886942202	243.007262547304	249.455799620834
Cluster_5563	835.896625443424	889.617891586219	756.70786632703
Cluster_5882	345.599606227682	647.667182354337	341.959166045582
Cluster_6255	249.931895161196	152.143677420921	152.403087306346
Cluster_6904	1351.30641881412	997.386329759371	683.918332091163
Cluster_6905	605.098272495526	469.10967204784	290.399912628509
Cluster_6906	1128.87899058454	1150.58656049572	634.633751618962
Cluster_6914	18694.6665887798	10481.0088889968	14456.3047889691
Cluster_7053	2244.60367089744	2408.94155916458	1382.24292616651
Cluster_7657	1058.32405367301	1667.24113173759	357.881876659677
Cluster_7658	1061.911592838	0	351.057857825065
Cluster_7855	0	212.367216400036	115.250095873455
Cluster_8634	35.8753916499324	82.4111586029989	225.192621542212
Cluster_8884	28456.3606567264	12655.3956121374	17.4391592440097
Cluster_8887	61131.6673714848	17324.304712992	34.8783184880194
Cluster_8888	10946.7778387827	4760.82923929632	5665.45208135828
Cluster_8988	10654.9913200299	11135.0153912437	9650.67908077198
Cluster_9149	228.406660171236	0	0
Cluster_9983	688.807519678702	925.540704310603	950.05506664105
Cluster_10060	5259.33241588009	4274.81471420171	3214.11287110248
Cluster_10061	1261.61793968929	4283.2671407251	1098.66703237261
Cluster_10934	260.694512656175	272.59075537915	182.732059904623
Cluster_10965	5963.68593860709	6206.19417479507	1791.68405624326
Cluster_11134	17317.0515494224	20144.2455118561	16073.5972527722
Cluster_11135	55011.3255560063	58952.5053406606	80659.9026251197
Cluster_11997	578.789651952242	343.379827512495	226.709070172126
Cluster_13502	63.3798585815472	337.040507619957	65.2072910862971
Cluster_14500	87.2967863481688	80.2980519721528	31.0871969132347
Cluster_14999	133.934795493081	213.423769715459	223.676172912298
Cluster_15726	2109.47302901602	0	0
Cluster_15890	1090.61190615794	554.690490597108	265.37851023493
Cluster_16498	735.445528823614	1159.0389870191	496.636926296798
Cluster_16738	440.071470905837	181.727170252767	185.764957164451
