sample73	sample79	sample82
Cluster_28	2.16740480336846	11.3264005900644	2.16740480336846
Cluster_53	11.1950422145893	3.79374691326059	10.4046900599263
Cluster_65	2.16740480336846	8.11517923280735	8.88098642875133
Cluster_66	2.16740480336846	9.56011154193013	9.29210284130547
Cluster_121	9.32004181675085	8.69207640518344	2.16740480336846
Cluster_132	9.20781321400127	6.85201752099717	2.99426765718754
Cluster_162	9.60784691073527	3.5169948369365	2.16740480336846
Cluster_165	11.5517952822127	11.2756576667398	4.95799752945338
Cluster_169	7.86121585094184	7.97070734524914	2.16740480336846
Cluster_175	10.1880278502239	5.07653984590199	3.76151613117587
Cluster_191	10.9423461965337	9.9914834186336	2.99426765718754
Cluster_203	10.7373101731089	9.50033007259713	4.27148434233459
Cluster_215	9.54918065234251	3.9105695465579	2.99426765718754
Cluster_216	8.39994995566219	4.29097957504037	2.16740480336846
Cluster_243	6.97747577248128	3.13845365396397	9.60746449966565
Cluster_262	9.0178549070254	8.22626319402146	2.99426765718754
Cluster_263	10.1566306435229	8.07050386615791	2.16740480336846
Cluster_271	8.79126378387051	2.16740480336846	2.16740480336846
Cluster_284	9.54918065234251	6.49369485044013	2.75602927617567
Cluster_294	5.96519270366023	2.16740480336846	10.3009872346446
Cluster_295	2.16740480336846	9.79957898189038	2.16740480336846
Cluster_363	2.16740480336846	9.08630383140247	7.85210299550562
Cluster_369	9.40393367937451	2.16740480336846	2.16740480336846
Cluster_491	2.90375011600437	3.34620297730879	9.44117691263416
Cluster_504	9.01452264410047	5.28940482759227	2.16740480336846
Cluster_505	9.01118266549692	2.16740480336846	3.84876971307193
Cluster_523	9.22521429469231	3.13845365396397	2.16740480336846
Cluster_526	11.4049231739064	2.16740480336846	2.16740480336846
Cluster_528	2.16740480336846	3.13845365396397	8.60851144430279
Cluster_534	14.357668542148	3.13845365396397	2.16740480336846
Cluster_593	4.22232718094181	10.9669623147105	3.45009062503158
Cluster_604	7.73727745718288	2.16740480336846	8.03427205797976
Cluster_624	11.1876645653723	10.1924397152551	2.99426765718754
Cluster_626	9.32004181675085	4.5169377518296	2.16740480336846
Cluster_627	10.5242346995924	10.0019273321806	2.99426765718754
Cluster_630	10.0837817254767	3.66391349340108	2.75602927617567
Cluster_634	11.1884040303744	4.44582942745989	5.24885145285911
Cluster_663	9.00783493539585	5.28940482759227	2.16740480336846
Cluster_672	8.61325023979255	2.16740480336846	7.03236815917915
Cluster_678	9.01118266549692	2.16740480336846	2.16740480336846
Cluster_682	2.16740480336846	7.02605964659837	8.86465127506535
Cluster_696	2.90375011600437	10.0093412493264	9.94146144365424
Cluster_722	5.01239019345185	2.16740480336846	9.2955886058201
Cluster_723	2.16740480336846	8.60078620742383	8.77009094153092
Cluster_731	2.16740480336846	9.04361171114845	4.99348350114943
Cluster_739	8.85971593681845	3.13845365396397	3.17350671118386
Cluster_740	4.89884288197672	4.44582942745989	10.4585456342954
