sample73	sample79	sample82
Cluster_24	0	0	98
Cluster_40	1	30	7
Cluster_49	55	1	4
Cluster_58	217	248	100
Cluster_82	1792	891	1118
Cluster_205	46	4	43
Cluster_206	665	366	135
Cluster_208	1	97	22
Cluster_289	24	20	11
Cluster_315	1	2	178
Cluster_343	51	11	5
Cluster_366	70	3	3
Cluster_517	4	33	19
Cluster_535	50	69	69
Cluster_551	534	86	44
Cluster_602	3	22	16
Cluster_650	0	47	6
Cluster_673	24	9	9
Cluster_754	24	10	27
Cluster_809	18	77	211
Cluster_812	13	12	64
Cluster_829	54	10	0
Cluster_841	0	29	59
Cluster_857	15	14	10
Cluster_928	43	44	68
Cluster_1127	147	76	24
Cluster_1633	525	450	223
Cluster_1643	638	352	453
Cluster_1694	87	1	0
Cluster_1827	22	5	20
Cluster_1904	3	1	52
Cluster_2044	2	13	51
Cluster_2219	53	0	0
Cluster_2289	3	43	33
Cluster_2329	404	1152	2548
Cluster_2480	27	14	4
Cluster_2488	134	90	45
Cluster_2493	39	32	64
Cluster_2515	1500	2567	1763
Cluster_2535	6	59	53
Cluster_2648	0	29	26
Cluster_2811	8	38	7
Cluster_2820	13	26	26
Cluster_2852	60	9	25
Cluster_3153	21	13	26
Cluster_3305	11	56	22
Cluster_3322	9	287	23
Cluster_3345	4	8	70
Cluster_3455	38	4	2
Cluster_3812	41	1	1
Cluster_3854	29	14	16
Cluster_3855	28	16	18
Cluster_3927	55	24	50
Cluster_4111	3505	2930	2268
Cluster_4113	3475	4378	6917
Cluster_4114	1308	673	661
Cluster_4116	7237	5645	4737
Cluster_4360	3	4	145
Cluster_4412	8	128	1
Cluster_4414	215	236	175
Cluster_4464	9	36	22
Cluster_4518	98	13	9
Cluster_4640	0	14	27
Cluster_4667	4	10	32
Cluster_4756	563	548	505
Cluster_4817	66	2	4
Cluster_4865	59	0	12
Cluster_4940	0	11	377
Cluster_4949	2	489	4
Cluster_4955	45	26	8
Cluster_5532	954	798	1767
Cluster_5656	65	16	1
Cluster_5659	12	174	51
Cluster_5822	15	4	281
Cluster_5839	0	0	68
Cluster_5921	52	0	28
Cluster_5946	67	1	0
Cluster_5959	1	408	471
Cluster_6212	37	6	18
Cluster_6296	0	0	83
Cluster_6481	3	61	0
Cluster_6666	43	47	72
Cluster_6830	155	39	31
Cluster_6836	16185	9845	13671
Cluster_6936	29	23	22
Cluster_7047	46	2	363
Cluster_7052	69	241	93
Cluster_7249	18	15	29
Cluster_7287	1292	7515	3302
Cluster_7385	74	14	34
Cluster_7387	29	129	23
Cluster_7566	0	65	0
Cluster_7619	32	95	122
Cluster_7662	8	53	8
Cluster_7839	54	3	1
Cluster_7930	49	48	10
Cluster_8021	61	68	40
Cluster_8885	1333	0	0
Cluster_8970	132	89	15
Cluster_9259	15	144	10
Cluster_9654	0	0	99
Cluster_10059	1438	2044	978
Cluster_10062	1961	1873	1240
Cluster_10122	1	1	332
Cluster_10221	5	35	149
Cluster_10351	5	6	27
Cluster_10464	540	177	537
Cluster_10473	60	1	0
Cluster_10658	57	0	14
Cluster_10659	0	93	3
Cluster_10719	11	102	2
Cluster_10722	61	217	459
Cluster_10801	32	0	80
Cluster_10860	41	2	369
Cluster_10880	87	96	178
Cluster_10924	0	0	142
Cluster_11023	584	0	0
Cluster_11024	577	1235	5120
Cluster_11133	1090	6457	1900
Cluster_11438	0	259	1
Cluster_11498	287	93	546
Cluster_11566	40	0	27
Cluster_11651	916	16	1822
Cluster_11654	89	0	0
Cluster_11982	22	33	22
Cluster_12020	23	0	57
Cluster_12557	1002	1227	0
Cluster_12665	13	9	30
Cluster_12921	7	7	100
Cluster_13210	1452	1997	1626
Cluster_13250	4	46	10
Cluster_13376	0	377	32
Cluster_13499	89	0	0
Cluster_13625	0	81	34
Cluster_13627	0	3	146
Cluster_13750	14	43	10
Cluster_13831	124	134	154
Cluster_13921	185	610	696
Cluster_14091	28	7	7
Cluster_14256	10	104	24
Cluster_14275	6	4	39
Cluster_14297	21	7	22
Cluster_14314	0	49	48
Cluster_14322	2367	569	2890
Cluster_14323	1563	1235	1702
Cluster_14334	174	195	191
Cluster_14337	1563	62	565
Cluster_14343	6287	1663	3048
Cluster_14417	44	0	362
Cluster_14497	0	51	1
Cluster_14603	24	0	58
Cluster_14659	6	116	9
Cluster_14727	78	31	0
Cluster_14868	0	128	0
Cluster_14979	59	65	35
Cluster_14980	61	65	36
Cluster_15033	117	0	31
Cluster_15038	89	43	78
Cluster_15039	88	43	76
Cluster_15251	80	36	5
Cluster_15265	0	50	0
Cluster_15292	14	18	33
Cluster_15309	0	0	155
Cluster_15359	12	57	0
Cluster_15443	29	48	148
Cluster_15563	23	5	17
Cluster_15687	137	6	23
Cluster_15801	127	76	44
Cluster_16304	0	0	76
Cluster_16414	86	5	4
Cluster_16428	2671	1523	855
Cluster_16471	47	4	45
Cluster_16569	263	219	127
Cluster_16710	117	154	42
Cluster_16867	0	14	881
