"POR.71" "POR.73" "POR.76" "POR.79" "POR.82"
"lncRNA_001" 10 2 6 16 37
"lncRNA_002" 28 29 48 24 20
"lncRNA_003" 157 76 288 98 324
"lncRNA_004" 206 135 237 99 207
"lncRNA_005" 334 112 0 147 431
"lncRNA_006" 9 0 26 8 18
"lncRNA_007" 4 0 36 0 7
"lncRNA_008" 116 55 435 21 185
"lncRNA_009" 10 5 118 2 61
"lncRNA_010" 4 0 28 0 3
"lncRNA_011" 0 0 40 0 0
"lncRNA_012" 28 0 0 0 24
"lncRNA_019" 0 2 24 0 0
"lncRNA_020" 98 63 229 198 155
"lncRNA_021" 2867 983 5846 3452 4255
"lncRNA_022" 0 0 0 4 6
"lncRNA_026" 73 16 66 34 128
"lncRNA_027" 559 179 1870 539 1462
"lncRNA_028" 761 473 2797 1433 2460
"lncRNA_029" 2 1 26 3 10
"lncRNA_030" 10 6 63 44 36
"lncRNA_031" 4 10 89 30 28
"lncRNA_032" 102 44 589 119 183
"lncRNA_033" 218 0 2 24 115
"lncRNA_034" 0 0 35 0 0
"lncRNA_035" 0 0 40 3 4
"lncRNA_036" 1023 488 1787 897 2153
"lncRNA_037" 22 17 183 23 135
"lncRNA_038" 14 0 0 2 23
"lncRNA_039" 0 0 40 0 0
"lncRNA_040" 3 0 24 9 0
"lncRNA_041" 391 60 212 82 480
"lncRNA_042" 0 0 28 0 5
"lncRNA_043" 0 0 28 0 0
"lncRNA_044" 12 29 32 3 19
"lncRNA_045" 0 0 32 0 0
"lncRNA_046" 9 0 2 0 24
"lncRNA_047" 0 2 0 0 28
"lncRNA_048" 0 2 39 0 0
"lncRNA_049" 3 0 37 24 19
"lncRNA_050" 352 206 334 244 514
"lncRNA_051" 1655 263 471 508 1994
"lncRNA_052" 0 6 9 17 17
"lncRNA_053" 11 0 0 0 7
"lncRNA_054" 14 2 4 12 16
"lncRNA_055" 393 80 143 92 200
"lncRNA_056" 4 0 34 14 3
"lncRNA_057" 4 34 2 0 44
"lncRNA_058" 0 0 26 1 3
"lncRNA_059" 3 0 135 2 23
"lncRNA_060" 18 6 62 4 24
"lncRNA_065" 252 60 206 0 2
"lncRNA_066" 57 21 0 3 66
"lncRNA_067" 18 0 31 29 16
"lncRNA_068" 40 12 144 19 263
"lncRNA_069" 2 0 28 5 16
"lncRNA_070" 2068 807 40 1817 543
"lncRNA_071" 253 12 0 12 40
"lncRNA_072" 12 10 48 0 9
"lncRNA_073" 48 9 1 5 31
"lncRNA_074" 4 0 34 4 5
"lncRNA_075" 79 13 151 43 96
"lncRNA_076" 0 0 36 0 0
"lncRNA_077" 1 0 54 0 8
"lncRNA_078" 0 0 28 0 0
"lncRNA_079" 16 8 29 18 46
"lncRNA_080" 5 0 0 0 15
"lncRNA_081" 1042 318 678 534 1286
"lncRNA_082" 0 1 46 2 12
"lncRNA_083" 112 20 2 8 79
"lncRNA_084" 43 12 20 0 4
"lncRNA_085" 4 0 40 5 18
"lncRNA_086" 279 207 1308 206 436
"lncRNA_087" 0 6 20 2 27
"lncRNA_088" 31 6 0 29 13
"lncRNA_089" 721 534 1731 596 669
"lncRNA_090" 1348 542 1906 1010 992
"lncRNA_094" 58 25 85 64 61
"lncRNA_095" 2283 217 1778 1372 1405
"lncRNA_096" 140 10 678 91 202
"lncRNA_097" 171 43 161 295 1
"lncRNA_098" 65 54 80 35 21
"lncRNA_099" 0 0 26 14 23
"lncRNA_100" 28 0 2 0 0
"lncRNA_101" 84 19 50 20 2
"lncRNA_102" 784 603 1196 519 765
"lncRNA_103" 8085 2516 1713 5209 10606
"lncRNA_104" 10517 3203 3212 6482 12072
"lncRNA_105" 32 6 135 55 45
"lncRNA_106" 57 14 261 36 82
"lncRNA_107" 52 34 162 2 113
"lncRNA_108" 125 69 319 40 275
"lncRNA_109" 0 0 0 0 24
"lncRNA_110" 0 0 3 0 8
"lncRNA_111" 7 26 10 67 9
"lncRNA_112" 15 0 32 0 26
"lncRNA_113" 89 70 73 48 83
"lncRNA_114" 0 0 48 0 0
"lncRNA_118" 15 21 53 15 22
"lncRNA_119" 36 78 276 93 252
"lncRNA_120" 102 14 208 31 130
"lncRNA_121" 685 839 421 393 1875
