transcript_id,RNA-POR-71,RNA-POR-73,RNA-POR-76,RNA-POR-79,RNA-POR-82
Peve_00010391,7,36,101,53,33
Peve_00010390,14,4,117,6,38
Peve_00010393,6426,63,38,449,7212
Peve_00010392,48,0,0,37,289
Peve_00010395,0,0,0,16,10
Peve_00010394,121,23,301,89,94
Peve_00022156,2399,1391,4308,1833,3255
Peve_00022157,0,0,0,0,0
Peve_00022154,15,10,0,0,0
Peve_00022155,464,110,521,193,668
Peve_00022152,427,201,740,476,772
Peve_00027305,682,157,717,184,668
Peve_00022150,433,183,1411,420,812
Peve_00022151,173,56,206,95,164
Peve_00027308,52,7,183,16,22
Peve_00027309,146,38,514,138,108
Peve_00031428,0,0,0,0,3
Peve_00031429,0,0,0,0,5
Peve_00022158,881,410,2231,1119,1833
Peve_00022159,540,319,666,148,431
Peve_00012890,93,0,120,149,34
Peve_00012891,2,0,2,6,1
Peve_00012893,1001,0,1275,932,0
Peve_00022488,0,0,0,0,0
Peve_00012895,0,0,0,0,0
Peve_00012896,8,0,0,0,0
Peve_00012897,7374,33,1509,2987,74
Peve_00012898,59,0,50,39,9
Peve_00012899,0,0,23,37,44
Peve_00022486,0,0,0,0,0
Peve_00022487,0,0,0,0,0
Peve_00022480,129,21,0,32,56
Peve_00022481,269,4,855,76,218
Peve_00022482,0,0,0,0,0
Peve_00022483,0,0,0,0,0
Peve_00037705,271,48,330,79,265
Peve_00037704,1073,711,1241,513,1613
Peve_00037707,1986,503,637,1077,1245
Peve_00037706,22,34,213,22,59
Peve_00037701,199,54,738,81,395
Peve_00037700,6,11,33,66,2
Peve_00037703,280,287,879,239,437
Peve_00037702,2786,998,5323,2203,2222
Peve_00037709,255,121,740,341,291
Peve_00037708,0,0,5,8,3
Peve_00015701,0,0,0,0,0
Peve_00015700,0,0,17,0,0
Peve_00015703,20,6,12,4,19
Peve_00017628,35,49,37,1,46
Peve_00017629,44,29,0,10,82
Peve_00017620,1044,28,654,522,874
Peve_00015705,455,385,976,361,609
Peve_00017622,0,0,43,0,0
Peve_00017623,0,0,0,0,0
Peve_00017624,0,0,0,0,0
Peve_00017625,0,0,0,0,0
Peve_00017626,18,0,126,0,17
Peve_00017627,0,0,0,0,0
Peve_00011274,62,45,0,8,47
Peve_00011277,2177,1428,2636,1656,2565
Peve_00011276,21,0,39,4,11
Peve_00011271,480,405,429,67,660
Peve_00011270,19,0,0,0,0
Peve_00011273,2741,2093,4436,1784,3529
Peve_00011272,133,34,44,29,125
Peve_00011279,115,0,241,46,84
Peve_00011278,42,41,31,10,18
Peve_00024653,29,0,853,25,117
Peve_00024652,79,0,56,85,32
Peve_00023682,0,0,0,0,0
Peve_00024657,404,181,249,121,317
Peve_00024656,17,2,0,1,1
Peve_00024655,493,300,807,235,423
Peve_00024654,0,0,0,0,0
Peve_00023689,31,6,0,2,34
Peve_00023688,0,0,0,0,45
Peve_00024659,4639,2635,2395,2185,6695
Peve_00024658,0,0,0,0,0
Peve_00002936,377,398,1369,174,501
Peve_00002937,210,92,96,83,295
Peve_00002934,35,0,84,0,160
Peve_00002935,24,25,168,26,56
Peve_00002932,219,49,49,32,192
Peve_00002933,10,6,107,0,0
Peve_00002930,56,38,161,58,134
Peve_00023359,995,696,6267,1092,1529
Peve_00023357,692,154,2110,588,788
Peve_00023356,30,36,120,69,70
Peve_00023355,14,25,309,53,11
Peve_00023354,541,809,836,408,915
Peve_00023353,1849,639,300,1093,4050
Peve_00023352,6998,99,663,2308,3440
Peve_00023351,1757,778,2747,1275,2409
Peve_00023350,1271,720,874,1252,3733
Peve_00026497,33,12,408,92,42
Peve_00026496,311,177,1307,104,368
Peve_00026495,128,57,201,15,207
Peve_00026494,103,0,45,7,77
Peve_00026493,341,209,1027,37,513
Peve_00026492,0,0,45,0,4
