"","GO.ID","Term","Annotated","Significant","Expected","Fisher","type","miRNA"
"1","GO:0004508","steroid 17-alpha-monooxygenase activity",4,1,0.02,0.02,"Molecular.Function","Cluster_11134"
"2","GO:0003714","transcription corepressor activity",5,1,0.02,0.024,"Molecular.Function","Cluster_11134"
"3","GO:0005355","glucose transmembrane transporter activity",1,1,0,0.0016,"Molecular.Function","Cluster_11135"
"4","GO:0000340","RNA 7-methylguanosine cap binding",2,1,0.02,0.016,"Molecular.Function","Cluster_1167"
"5","GO:0001664","G protein-coupled receptor binding",3,1,0.02,0.024,"Molecular.Function","Cluster_1167"
"6","GO:0004658","propionyl-CoA carboxylase activity",1,1,0,0.0016,"Molecular.Function","Cluster_14500"
"7","GO:0006598","polyamine catabolic process",1,1,0.01,0.011,"Biological.Process","Cluster_15726"
"8","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,1,0.01,0.0098,"Molecular.Function","Cluster_15726"
"9","GO:0005267","potassium channel activity",6,1,0.02,0.0196,"Molecular.Function","Cluster_15726"
"10","GO:0001817","regulation of cytokine production",1,1,0.01,0.011,"Biological.Process","Cluster_16738"
"11","GO:0001501","skeletal system development",4,1,0.05,0.045,"Biological.Process","Cluster_16738"
"12","GO:0002098","tRNA wobble uridine modification",4,1,0.05,0.045,"Biological.Process","Cluster_16738"
"13","GO:0000281","mitotic cytokinesis",6,1,0.02,0.017,"Biological.Process","Cluster_2787"
"14","GO:0004713","protein tyrosine kinase activity",18,1,0.03,0.029,"Molecular.Function","Cluster_2854"
"15","GO:0004725","protein tyrosine phosphatase activity",2,1,0.01,0.0098,"Molecular.Function","Cluster_2882"
"16","GO:0005267","potassium channel activity",6,1,0.03,0.0292,"Molecular.Function","Cluster_2882"
"17","GO:0001822","kidney development",9,1,0.03,0.025,"Biological.Process","Cluster_4079"
"18","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,1,0.01,0.0098,"Molecular.Function","Cluster_4079"
"19","GO:0000077","DNA damage checkpoint signaling",4,1,0.02,0.023,"Biological.Process","Cluster_4080"
"20","GO:0008061","chitin binding",8,1,0.03,0.026,"Molecular.Function","Cluster_4080"
"21","GO:0004252","serine-type endopeptidase activity",14,1,0.05,0.045,"Molecular.Function","Cluster_4080"
"22","GO:0000070","mitotic sister chromatid segregation",2,1,0.01,0.0057,"Biological.Process","Cluster_4629"
"23","GO:0000146","microfilament motor activity",2,1,0.02,0.016,"Molecular.Function","Cluster_4629"
"24","GO:0001666","response to hypoxia",4,1,0.03,0.034,"Biological.Process","Cluster_4735"
"25","GO:0004364","glutathione transferase activity",1,1,0,0.0033,"Molecular.Function","Cluster_4735"
"26","GO:0003779","actin binding",10,1,0.03,0.0325,"Molecular.Function","Cluster_4735"
"27","GO:0004518","nuclease activity",8,1,0.03,0.026,"Molecular.Function","Cluster_5563"
"28","GO:0001540","amyloid-beta binding",15,1,0.05,0.049,"Molecular.Function","Cluster_5563"
"29","GO:0006814","sodium ion transport",1,1,0.01,0.0057,"Biological.Process","Cluster_5882"
"30","GO:0004966","galanin receptor activity",5,1,0.04,0.04,"Molecular.Function","Cluster_5882"
"31","GO:0001696","gastric acid secretion",2,1,0.02,0.017,"Biological.Process","Cluster_589"
"32","GO:0000070","mitotic sister chromatid segregation",2,1,0.02,0.017,"Biological.Process","Cluster_589"
"33","GO:0004222","metalloendopeptidase activity",16,1,0.03,0.026,"Molecular.Function","Cluster_589"
"34","GO:0001937","negative regulation of endothelial cell proliferati...",2,1,0.01,0.011,"Biological.Process","Cluster_6904"
"35","GO:0008376","acetylgalactosaminyltransferase activity",2,1,0.01,0.0065,"Molecular.Function","Cluster_6904"
"36","GO:0005102","signaling receptor binding",13,1,0.04,0.0421,"Molecular.Function","Cluster_6904"
"37","GO:0001937","negative regulation of endothelial cell proliferati...",2,1,0.01,0.011,"Biological.Process","Cluster_6906"
"38","GO:0008376","acetylgalactosaminyltransferase activity",2,1,0.01,0.0065,"Molecular.Function","Cluster_6906"
"39","GO:0005102","signaling receptor binding",13,1,0.04,0.0421,"Molecular.Function","Cluster_6906"
"40","GO:0001409","guanine nucleotide transmembrane transporter activi...",6,1,0.02,0.02,"Molecular.Function","Cluster_6914"
"41","GO:0001054","RNA polymerase I activity",1,1,0,0.0033,"Molecular.Function","Cluster_796"
"42","GO:0004497","monooxygenase activity",13,1,0.04,0.0421,"Molecular.Function","Cluster_796"
"43","GO:0003723","RNA binding",27,1,0.04,0.044,"Molecular.Function","Cluster_8634"
"44","GO:0001523","retinoid metabolic process",2,1,0.01,0.0057,"Biological.Process","Cluster_8884"
"45","GO:0004252","serine-type endopeptidase activity",14,1,0.02,0.023,"Molecular.Function","Cluster_8884"
"46","GO:0001523","retinoid metabolic process",2,1,0.01,0.0057,"Biological.Process","Cluster_8887"
"47","GO:0004177","aminopeptidase activity",2,1,0.01,0.0065,"Molecular.Function","Cluster_8887"
"48","GO:0004252","serine-type endopeptidase activity",14,1,0.05,0.0453,"Molecular.Function","Cluster_8887"
"49","GO:0001523","retinoid metabolic process",2,1,0.01,0.0057,"Biological.Process","Cluster_8888"
"50","GO:0004177","aminopeptidase activity",2,1,0.01,0.0065,"Molecular.Function","Cluster_8888"
"51","GO:0001523","retinoid metabolic process",2,1,0.01,0.011,"Biological.Process","Cluster_9149"
"52","GO:0005248","voltage-gated sodium channel activity",1,1,0.02,0.016,"Molecular.Function","Cluster_9149"
"53","GO:0005109","frizzled binding",1,1,0.02,0.016,"Molecular.Function","Cluster_9149"
"54","GO:0003729","mRNA binding",2,1,0.03,0.032,"Molecular.Function","Cluster_9149"
"55","GO:0001601","peptide YY receptor activity",2,1,0.03,0.032,"Molecular.Function","Cluster_9149"
"56","GO:0003831","beta-N-acetylglucosaminylglycopeptide beta-1,4-gala...",2,1,0.03,0.032,"Molecular.Function","Cluster_9149"
"57","GO:0004303","estradiol 17-beta-dehydrogenase activity",3,1,0.05,0.048,"Molecular.Function","Cluster_9149"
