#Coverage (X)	Coverage
1.0	80.26404726285747
2.0	79.10866853675708
3.0	75.80599810745643
4.0	74.91860390619766
5.0	72.9951633025176
6.0	72.15803264743309
7.0	70.66131331044035
8.0	69.81220627994793
9.0	68.48601125765376
10.0	67.59820400940178
11.0	66.34867458320858
12.0	65.42192763606144
13.0	64.20713754876265
14.0	63.24006585380122
15.0	62.045069727002826
16.0	61.04729575549928
17.0	59.865753301293815
18.0	58.845862766630354
19.0	57.675667842831494
20.0	56.64118104888457
21.0	55.4820809250546
22.0	54.43923431832641
23.0	53.29215826739193
24.0	52.24691718054029
25.0	51.11653541587806
26.0	50.074912382199535
27.0	48.9650388810376
28.0	47.93574117626124
29.0	46.850155136409604
30.0	45.83595252714107
31.0	44.776609876823414
32.0	43.781071062585475
33.0	42.74801121847557
34.0	41.77246112947901
35.0	40.769025896801026
36.0	39.81580005377493
37.0	38.84195465311083
38.0	37.91355353059551
39.0	36.970339522707256
40.0	36.07005623474163
41.0	35.158979237197514
42.0	34.28828644371089
43.0	33.41065913111724
44.0	32.567996892402675
45.0	31.72399680540775
46.0	30.911363944304497
47.0	30.10121069009074
48.0	29.320036806296244
49.0	28.542532813569366
50.0	27.793829656915847
51.0	27.04716490539164
