#Insert size (bp)	insert size
20.0	104.0
21.0	125.0
22.0	195.0
23.0	276.0
24.0	282.0
25.0	365.0
26.0	438.0
27.0	612.0
28.0	759.0
29.0	885.0
30.0	1146.0
31.0	1457.0
32.0	1779.0
33.0	2195.0
34.0	2416.0
35.0	2887.0
36.0	3419.0
37.0	4035.0
38.0	4572.0
39.0	5343.0
40.0	5944.0
41.0	6696.0
42.0	7855.0
43.0	8592.0
44.0	9720.0
45.0	10764.0
46.0	11843.0
47.0	13051.0
48.0	14489.0
49.0	15509.0
50.0	17130.0
51.0	18330.0
52.0	20007.0
53.0	21094.0
54.0	23110.0
55.0	24724.0
56.0	26004.0
57.0	27743.0
58.0	29500.0
59.0	30774.0
60.0	32496.0
61.0	33710.0
62.0	36091.0
63.0	37181.0
64.0	38908.0
65.0	40738.0
66.0	42024.0
67.0	43816.0
68.0	44568.0
69.0	46206.0
70.0	47671.0
71.0	49196.0
72.0	50853.0
73.0	52315.0
74.0	54465.0
75.0	55183.0
76.0	56084.0
77.0	57367.0
78.0	57980.0
79.0	59608.0
80.0	60788.0
81.0	62078.0
82.0	63666.0
83.0	64191.0
84.0	65426.0
85.0	66377.0
86.0	67176.0
87.0	67531.0
88.0	68500.0
89.0	70331.0
90.0	71338.0
91.0	71402.0
92.0	72221.0
93.0	72548.0
94.0	74117.0
95.0	74597.0
96.0	74923.0
97.0	75284.0
98.0	76301.0
99.0	76889.0
100.0	76984.0
101.0	77306.0
102.0	78369.0
103.0	78221.0
104.0	78318.0
105.0	78548.0
106.0	79305.0
107.0	79525.0
108.0	79108.0
109.0	79195.0
110.0	80015.0
111.0	80420.0
112.0	80054.0
113.0	80468.0
114.0	80778.0
115.0	80214.0
116.0	80340.0
117.0	80266.0
118.0	80156.0
119.0	80487.0
120.0	80254.0
121.0	80595.0
122.0	81391.0
123.0	80567.0
124.0	79954.0
125.0	80258.0
126.0	80173.0
127.0	79903.0
128.0	80486.0
129.0	81335.0
130.0	80538.0
131.0	80905.0
132.0	80106.0
133.0	78969.0
134.0	80032.0
135.0	79775.0
136.0	79463.0
137.0	79895.0
138.0	79372.0
139.0	79622.0
140.0	79186.0
141.0	78097.0
142.0	76208.0
143.0	76549.0
144.0	77596.0
145.0	77218.0
146.0	78151.0
147.0	77580.0
148.0	76490.0
149.0	58654.0
150.0	64483.0
151.0	105177.0
152.0	109932.0
153.0	100225.0
154.0	83056.0
155.0	79223.0
156.0	76391.0
157.0	74150.0
158.0	72682.0
159.0	71683.0
160.0	70518.0
161.0	69995.0
162.0	69613.0
163.0	68114.0
164.0	68014.0
165.0	67517.0
166.0	67004.0
167.0	66278.0
168.0	65508.0
169.0	65253.0
170.0	64697.0
171.0	64095.0
172.0	63658.0
173.0	62922.0
174.0	61909.0
175.0	61241.0
176.0	60928.0
177.0	60343.0
178.0	60749.0
179.0	59696.0
180.0	59238.0
181.0	57880.0
182.0	57614.0
183.0	56948.0
184.0	55974.0
185.0	55649.0
186.0	55227.0
187.0	54474.0
188.0	54162.0
189.0	53695.0
190.0	53209.0
191.0	53022.0
192.0	52469.0
193.0	51721.0
194.0	51380.0
195.0	50857.0
196.0	50006.0
197.0	49807.0
198.0	49145.0
199.0	48765.0
200.0	48224.0
201.0	47784.0
202.0	47101.0
203.0	47086.0
204.0	46278.0
205.0	45274.0
206.0	45015.0
207.0	45234.0
208.0	44793.0
209.0	43868.0
210.0	43658.0
211.0	42988.0
212.0	43099.0
213.0	42452.0
214.0	41817.0
215.0	41170.0
216.0	41003.0
217.0	40258.0
218.0	39761.0
219.0	39713.0
220.0	39093.0
221.0	38640.0
222.0	38175.0
223.0	38074.0
224.0	37786.0
225.0	37369.0
226.0	37217.0
227.0	36758.0
228.0	36195.0
229.0	35972.0
230.0	35492.0
231.0	34858.0
232.0	34432.0
233.0	34100.0
234.0	34129.0
235.0	33910.0
236.0	33878.0
237.0	33411.0
238.0	33164.0
239.0	32688.0
240.0	32169.0
241.0	32060.0
242.0	31693.0
243.0	31390.0
244.0	31155.0
245.0	30818.0
246.0	30556.0
247.0	30391.0
248.0	30047.0
249.0	29653.0
250.0	29693.0
251.0	29184.0
252.0	29231.0
253.0	28296.0
254.0	28157.0
255.0	27930.0
256.0	27605.0
257.0	27387.0
258.0	27080.0
259.0	26827.0
260.0	26437.0
261.0	26488.0
262.0	26366.0
263.0	26193.0
264.0	26276.0
265.0	25618.0
266.0	25532.0
267.0	25413.0
268.0	24750.0
269.0	24713.0
270.0	24544.0
271.0	24414.0
272.0	24075.0
273.0	23646.0
274.0	23538.0
275.0	23158.0
276.0	22889.0
277.0	22882.0
278.0	22452.0
279.0	22439.0
280.0	21911.0
281.0	21625.0
282.0	21637.0
283.0	21527.0
284.0	21385.0
285.0	20945.0
286.0	20695.0
287.0	20076.0
288.0	20010.0
289.0	19745.0
290.0	19669.0
291.0	19306.0
292.0	19153.0
293.0	18615.0
294.0	18328.0
295.0	18157.0
296.0	18100.0
297.0	17943.0
298.0	17446.0
299.0	17416.0
300.0	17086.0
301.0	16738.0
302.0	16598.0
303.0	16765.0
304.0	16564.0
305.0	16077.0
306.0	15983.0
307.0	15887.0
308.0	15531.0
309.0	15433.0
310.0	15252.0
311.0	14986.0
312.0	14846.0
313.0	14802.0
314.0	14841.0
315.0	14554.0
316.0	14460.0
317.0	14218.0
318.0	14155.0
319.0	13783.0
320.0	13927.0
321.0	13524.0
322.0	13483.0
323.0	13320.0
324.0	13199.0
325.0	13064.0
326.0	12990.0
327.0	12780.0
328.0	12658.0
329.0	12523.0
330.0	12429.0
331.0	12356.0
332.0	12077.0
333.0	11852.0
334.0	11902.0
335.0	11877.0
336.0	11694.0
337.0	11592.0
338.0	11512.0
339.0	11115.0
340.0	11192.0
341.0	11071.0
342.0	10823.0
343.0	10917.0
344.0	10894.0
345.0	10794.0
346.0	10569.0
347.0	10401.0
348.0	10320.0
349.0	10369.0
350.0	10071.0
351.0	10161.0
352.0	9853.0
353.0	9985.0
354.0	9808.0
355.0	9632.0
356.0	9453.0
357.0	9433.0
358.0	9367.0
359.0	9115.0
360.0	9060.0
361.0	9083.0
362.0	9053.0
363.0	8883.0
364.0	8817.0
365.0	8646.0
366.0	8361.0
367.0	8380.0
368.0	8457.0
369.0	8298.0
370.0	8272.0
371.0	8151.0
372.0	8128.0
373.0	8003.0
374.0	7707.0
375.0	7645.0
376.0	7544.0
377.0	7519.0
378.0	7473.0
379.0	7362.0
380.0	7311.0
381.0	7348.0
382.0	7237.0
383.0	7174.0
384.0	7179.0
385.0	7044.0
386.0	7047.0
387.0	7026.0
388.0	6740.0
389.0	6753.0
390.0	6739.0
391.0	6568.0
392.0	6565.0
393.0	6463.0
394.0	6474.0
395.0	6197.0
396.0	6049.0
397.0	6234.0
398.0	6227.0
399.0	6025.0
400.0	6073.0
401.0	6065.0
402.0	5986.0
403.0	6012.0
404.0	5724.0
405.0	5615.0
406.0	5634.0
407.0	5756.0
408.0	5514.0
409.0	5413.0
410.0	5569.0
411.0	5365.0
412.0	5318.0
413.0	5185.0
414.0	5207.0
415.0	5046.0
416.0	5165.0
417.0	5108.0
418.0	5066.0
419.0	5093.0
420.0	5015.0
421.0	4955.0
422.0	4739.0
423.0	4721.0
424.0	4748.0
425.0	4517.0
426.0	4594.0
427.0	4600.0
428.0	4632.0
429.0	4525.0
430.0	4330.0
431.0	4452.0
432.0	4380.0
433.0	4309.0
434.0	4298.0
435.0	4205.0
436.0	4177.0
437.0	4031.0
438.0	3970.0
439.0	4024.0
440.0	3965.0
441.0	3937.0
442.0	4012.0
