#Duplication rate	Coverage
1.0	1.9142328E7
2.0	2.9173571E7
3.0	3381656.0
4.0	4619609.0
5.0	1003924.0
6.0	1266908.0
7.0	433201.0
8.0	507659.0
9.0	230809.0
10.0	252620.0
11.0	137738.0
12.0	140886.0
13.0	86944.0
14.0	86615.0
15.0	57820.0
16.0	55454.0
17.0	39103.0
18.0	36738.0
19.0	27188.0
20.0	25134.0
21.0	19369.0
22.0	17742.0
23.0	13831.0
24.0	12650.0
25.0	10382.0
26.0	9278.0
27.0	7669.0
28.0	6783.0
29.0	5843.0
30.0	5411.0
31.0	4469.0
32.0	4193.0
33.0	3573.0
34.0	3263.0
35.0	2925.0
36.0	2667.0
37.0	2343.0
38.0	2088.0
39.0	1950.0
40.0	1784.0
41.0	1618.0
42.0	1598.0
43.0	1363.0
44.0	1318.0
45.0	1259.0
46.0	1193.0
47.0	1098.0
48.0	1022.0
49.0	964.0
50.0	25861.0
