#Mapping quality	mapping quality
0.0	1.0823662E7
1.0	8843692.0
2.0	2.3630059E7
3.0	1.3714771E7
4.0	1.8014907E7
5.0	1.5226562E7
6.0	1.8928009E7
7.0	1.2894765E7
8.0	1.2967653E7
9.0	1.2155813E7
10.0	1.2050161E7
11.0	1.200828E7
12.0	1.191427E7
13.0	1.1311209E7
14.0	1.132584E7
15.0	1.1049536E7
16.0	1.0933481E7
17.0	1.066731E7
18.0	1.0809355E7
19.0	1.0505583E7
20.0	1.07188E7
21.0	1.117821E7
22.0	1.1427609E7
23.0	1.2053557E7
24.0	1.2725701E7
25.0	1.2805924E7
26.0	1.3808508E7
27.0	1.45169E7
28.0	1.5602328E7
29.0	1.5958637E7
30.0	1.6402853E7
31.0	1.5565811E7
32.0	1.4491149E7
33.0	1.2372828E7
34.0	1.0214311E7
35.0	7692046.0
36.0	5701501.0
37.0	3779677.0
38.0	2513049.0
39.0	1507693.0
40.0	1240802.0
41.0	1087867.0
42.0	1771321.0
