CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	559391	2462831	18.51	3022222
2	589089	4089146	12.59	4678235
3	464520	4716428	8.97	5180948
4	394228	3735624	9.55	4129852
5	259798	4692871	5.25	4952669
6	206998	3143375	6.18	3350373
7	198436	2957793	6.29	3156229
8	221632	3139285	6.59	3360917
9	226187	3129529	6.74	3355716
10	230004	3059788	6.99	3289792
11	273490	3101754	8.10	3375244
12	324130	3190207	9.22	3514337
13	273993	3151549	8.00	3425542
14	238860	3168935	7.01	3407795
15	239716	3198019	6.97	3437735
16	243186	3171442	7.12	3414628
17	234408	3182151	6.86	3416559
18	237045	3300262	6.70	3537307
19	235199	3199562	6.85	3434761
20	239573	3289687	6.79	3529260
21	241937	3290342	6.85	3532279
22	241126	3307536	6.79	3548662
23	243166	3312830	6.84	3555996
24	241421	3354668	6.71	3596089
25	239472	3303676	6.76	3543148
26	241702	3310955	6.80	3552657
27	238776	3326070	6.70	3564846
28	242362	3354360	6.74	3596722
29	241247	3328806	6.76	3570053
30	240754	3338549	6.73	3579303
31	240274	3317326	6.75	3557600
32	243091	3346482	6.77	3589573
33	240560	3365076	6.67	3605636
34	238956	3342846	6.67	3581802
35	238861	3359006	6.64	3597867
36	239725	3408924	6.57	3648649
37	240304	3370300	6.66	3610604
38	238602	3370971	6.61	3609573
39	241525	3410298	6.61	3651823
40	238186	3370741	6.60	3608927
41	238945	3358004	6.64	3596949
42	235424	3349951	6.57	3585375
43	235467	3337925	6.59	3573392
44	236195	3374601	6.54	3610796
45	235498	3363412	6.54	3598910
46	235830	3335782	6.60	3571612
47	235441	3337154	6.59	3572595
48	235699	3362902	6.55	3598601
49	234025	3320728	6.58	3554753
50	235091	3307036	6.64	3542127
51	232956	3305749	6.58	3538705
52	232014	3302032	6.57	3534046
53	230041	3261411	6.59	3491452
54	229541	3246634	6.60	3476175
55	228685	3234694	6.60	3463379
56	228959	3244631	6.59	3473590
57	227484	3223522	6.59	3451006
58	225746	3186827	6.62	3412573
59	227857	3183006	6.68	3410863
60	225228	3194535	6.59	3419763
61	223232	3123613	6.67	3346845
62	220724	3108099	6.63	3328823
63	219760	3092993	6.63	3312753
64	218700	3067836	6.65	3286536
65	216391	3030119	6.67	3246510
66	214567	3004771	6.66	3219338
67	211578	2975680	6.64	3187258
68	214929	2987807	6.71	3202736
69	211805	2938010	6.72	3149815
70	207611	2895566	6.69	3103177
71	205629	2875725	6.67	3081354
72	203960	2862025	6.65	3065985
73	203357	2804771	6.76	3008128
74	200926	2764827	6.77	2965753
75	199052	2752468	6.74	2951520
76	197448	2733364	6.74	2930812
77	196854	2676411	6.85	2873265
78	193800	2654180	6.80	2847980
79	191113	2610830	6.82	2801943
80	189406	2590734	6.81	2780140
81	188669	2560525	6.86	2749194
82	186306	2513913	6.90	2700219
83	183593	2481792	6.89	2665385
84	182236	2468320	6.88	2650556
85	180414	2406246	6.97	2586660
86	177410	2381582	6.93	2558992
87	174356	2350891	6.90	2525247
88	172899	2321124	6.93	2494023
89	171213	2279244	6.99	2450457
90	169132	2246377	7.00	2415509
91	166645	2205109	7.03	2371754
92	165127	2184357	7.03	2349484
93	161745	2138204	7.03	2299949
94	159156	2096240	7.06	2255396
