,source,target,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,peve-mir-novel-35,Peve_00027432,-0.99995514319204,0.99995514319204,-1,0.00602991134659825
2,peve-mir-novel-24,Peve_00008275,1,1,1,0
3,peve-mir-100,Peve_00008279,0.999909726776791,0.999909726776791,1,0.00855416971793915
4,peve-mir-novel-24,Peve_00034585,1,1,1,9.48637384723993e-09
5,peve-mir-novel-40,Peve_00023739,0.999976082283725,0.999976082283725,1,0.004403072548434
6,peve-mir-100,Peve_00027965,0.999909726776791,0.999909726776791,1,0.00855416971793389
7,peve-mir-novel-24,Peve_00032772,1,1,1,9.48637384723993e-09
8,peve-mir-100,Peve_00023767,0.999909726776791,0.999909726776791,1,0.00855416971793389
9,peve-mir-novel-8,Peve_00017580,-0.999998957645573,0.999998957645573,-1,0.000919184867929113
10,peve-mir-100,Peve_00043419,0.999909726776791,0.999909726776791,1,0.00855416971793389
11,peve-mir-novel-24,Peve_00006544,0.999971585054582,0.999971585054582,1,0.00479920788265011
12,peve-mir-100,Peve_00004995,0.999909726776791,0.999909726776791,1,0.00855416971793389
13,peve-mir-100,Peve_00041754,0.999909726776791,0.999909726776791,1,0.00855416971793389
14,peve-mir-100,Peve_00031993,0.999909726776791,0.999909726776791,1,0.00855416971793915
15,peve-mir-100,Peve_00024388,0.999909726776791,0.999909726776791,1,0.00855416971793389
16,peve-mir-novel-8,Peve_00031324,0.999992290678624,0.999992290678624,1,0.00249978970397961
17,peve-mir-2023,Peve_00006285,0.999973885825882,0.999973885825882,1,0.00460080910062486
18,peve-mir-novel-42,Peve_00032724,0.999974190676381,0.999974190676381,1,0.00457387578916138
19,peve-mir-100,Peve_00043468,0.999909726776791,0.999909726776791,1,0.00855416971793915
20,peve-mir-novel-24,Peve_00008133,-0.999965637301935,0.999965637301935,-1,0.00527764279292991
21,peve-mir-novel-35,Peve_00030612,1,1,1,1.34157585525081e-08
22,peve-mir-novel-34,Peve_00006413,-0.999945819357893,0.999945819357893,-1,0.0066270333402645
23,peve-mir-100,Peve_00013947,0.999909726776791,0.999909726776791,1,0.00855416971793389
24,peve-mir-novel-24,Peve_00043123,1,1,1,0
25,peve-mir-novel-40,Peve_00021216,0.999962448044095,0.999962448044095,1,0.00551712420276166
26,peve-mir-100,Peve_00015043,0.999909726776791,0.999909726776791,1,0.00855416971793915
27,peve-mir-novel-10,Peve_00011858,-0.999998482798634,0.999998482798634,-1,0.00110896231522268
28,peve-mir-100,Peve_00029393,0.999909726776791,0.999909726776791,1,0.00855416971793389
29,peve-mir-novel-39,Peve_00039724,-0.999918519895221,0.999918519895221,-1,0.0081268802250093
30,peve-mir-novel-35,Peve_00007613,0.999883443510219,0.999883443510219,1,0.00972002918842882
31,peve-mir-novel-3,Peve_00023049,0.9999733342158,0.9999733342158,1,0.00464914686852433
32,peve-mir-novel-24,Peve_00021224,1,1,1,0
33,peve-mir-novel-22,Peve_00025328,0.999964597582385,0.999964597582385,1,0.00535689165213977
34,peve-mir-novel-24,Peve_00026910,1,1,1,0
35,peve-mir-novel-24,Peve_00012722,1,1,1,0
36,peve-mir-novel-38,Peve_00011733,0.99999477106698,0.99999477106698,1,0.00205874164373314
37,peve-mir-novel-24,Peve_00004871,1,1,1,0
38,peve-mir-novel-35,Peve_00014069,1,1,1,9.48637384723993e-09
39,peve-mir-novel-40,Peve_00013531,-0.999994747981342,0.999994747981342,-1,0.00206328129499564
40,peve-mir-2036,Peve_00029721,0.999970783906393,0.999970783906393,1,0.00486639381889994
41,peve-mir-novel-36,Peve_00032829,-0.999967287119389,0.999967287119389,-1,0.00514938897746555
42,peve-mir-100,Peve_00043521,0.999909606796706,0.999909606796706,1,0.00855985249202504
43,peve-mir-novel-40,Peve_00001444,0.999962776498024,0.999962776498024,1,0.00549294287464855
44,peve-mir-novel-24,Peve_00040370,1,1,1,0
45,peve-mir-novel-24,Peve_00000334,1,1,1,0
46,peve-mir-100,Peve_00008498,0.999909726776791,0.999909726776791,1,0.00855416971793915
47,peve-mir-novel-11,Peve_00037304,0.99999940598563,0.99999940598563,1,0.000693894776259953
48,peve-mir-2023,Peve_00007832,-0.999985569263183,0.999985569263183,-1,0.00342010859677409
49,peve-mir-novel-30,Peve_00002105,0.999968584764073,0.999968584764073,1,0.00504622278903583
50,peve-mir-100,Peve_00000213,0.999909726776791,0.999909726776791,1,0.00855416971793915
51,peve-mir-novel-3,Peve_00038927,0.999994129428633,0.999994129428633,1,0.00218140105711895
52,peve-mir-novel-24,Peve_00020364,1,1,1,0
53,peve-mir-100,Peve_00006941,0.999909726776791,0.999909726776791,1,0.00855416971793915
54,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00016785,-0.99999862897499,0.99999862897499,-1,0.0010541874922422
55,peve-mir-novel-40,Peve_00038025,0.999962448044095,0.999962448044095,1,0.00551712420276166
56,peve-mir-100,Peve_00028838,0.999909726776791,0.999909726776791,1,0.00855416971793915
57,peve-mir-novel-7,Peve_00044680,0.999969908751759,0.999969908751759,1,0.00493874168584727
58,peve-mir-novel-2,Peve_00026462,-0.999999797342096,0.999999797342096,-1,0.00040530027750834
59,peve-mir-novel-24,Peve_00038441,1,1,1,0
60,peve-mir-100,Peve_00042442,0.999909726776791,0.999909726776791,1,0.00855416971793915
61,peve-mir-novel-24,Peve_00014601,1,1,1,0
62,peve-mir-novel-35,Peve_00034555,0.999999835926399,0.999999835926399,1,0.000364682128698326
63,peve-mir-novel-36,Peve_00027583,-0.999998513833777,0.999998513833777,-1,0.00109756150847525
64,peve-mir-novel-24,Peve_00032177,1,1,1,9.48637384723993e-09
65,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00039844,0.999999795128444,0.999999795128444,1,0.000407507833291957
66,peve-mir-novel-42,Peve_00010457,0.999924418203837,0.999924418203837,1,0.00782720053096207
67,peve-mir-novel-21,Peve_00003756,-0.999888656727405,0.999888656727405,-1,0.00950016485251684
68,peve-mir-novel-35,Peve_00033678,0.999904013014523,0.999904013014523,1,0.0088207349235263
69,peve-mir-novel-24,Peve_00041933,1,1,1,0
70,peve-mir-novel-11,Peve_00026202,0.99999940598563,0.99999940598563,1,0.000693894776195108
