miRNA	lncRNA	mRNA	PCC_lncRNA_mRNA	p_value_lncRNA_mRNA	FDR_lncRNA_mRNA
peve-mir-novel-41	lncRNA_5660	gene-Peve_00033788	0.975663221909355	0.00454084530057089	0.018081516987206
peve-mir-novel-41	lncRNA_5660	gene-Peve_00043584	0.977243493320405	0.00410680634313341	0.0173823080330304
peve-mir-novel-35	lncRNA_7296	gene-Peve_00027432	0.922463027938493	0.0256141826753674	0.0371738211298913
peve-mir-novel-35	lncRNA_7296	gene-Peve_00020651	0.989388763171412	0.00131005762855249	0.0112041710076865
peve-mir-novel-35	lncRNA_7296	gene-Peve_00027699	0.974634145040945	0.00483113028904016	0.0185107470484358
peve-mir-novel-35	lncRNA_7296	gene-Peve_00043724	0.980621747479477	0.00322878670667017	0.0158684896488079
peve-mir-novel-35	lncRNA_7296	gene-Peve_00023336	0.999734631671929	5.18907803474834e-06	0.000476785955240165
peve-mir-novel-35	lncRNA_7296	gene-Peve_00011436	0.896353418291552	0.0394272544382173	0.0448547345534923
peve-mir-novel-35	lncRNA_7296	gene-Peve_00021185	0.922062911014858	0.0258111151250795	0.0372955405943609
peve-mir-novel-35	lncRNA_7296	gene-Peve_00031471	0.930301551752478	0.0218562285267874	0.0346931833753384
peve-mir-novel-35	lncRNA_7296	gene-Peve_00034900	0.927542869441495	0.0231567837423713	0.0355875702984201
peve-mir-novel-35	lncRNA_7297	gene-Peve_00027432	0.926829289902398	0.0234971300721281	0.0358143375018493
peve-mir-novel-35	lncRNA_7297	gene-Peve_00020651	0.989938012607178	0.00120977037361512	0.0108547001649995
peve-mir-novel-35	lncRNA_7297	gene-Peve_00027699	0.976637618860938	0.00427151286180788	0.0176438613361634
peve-mir-novel-35	lncRNA_7297	gene-Peve_00043724	0.98021113625687	0.00333174538708916	0.016052854869247
peve-mir-novel-35	lncRNA_7297	gene-Peve_00023336	0.999701771634153	6.18212599268358e-06	0.000547028824081955
