Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
POC-47-S1-TP2_R1_001	84.8518230395792	44.0	150.0	150	18.181818181818183	54705696.0
POC-47-S1-TP2_R2_001	83.57056547838523	44.0	150.0	150	9.090909090909092	54705696.0
POC-48-S1-TP2_R1_001	83.08846178903292	44.0	150.0	150	18.181818181818183	52036501.0
POC-48-S1-TP2_R2_001	81.85989783241494	44.0	150.0	150	9.090909090909092	52036501.0
POC-50-S1-TP2_R1_001	82.32540953951144	43.0	150.0	150	18.181818181818183	55792440.0
POC-50-S1-TP2_R2_001	80.67005406463355	43.0	150.0	150	9.090909090909092	55792440.0
POC-53-S1-TP2_R1_001	81.80969960070954	42.0	150.0	150	18.181818181818183	53888583.0
POC-53-S1-TP2_R2_001	80.34535932766256	43.0	150.0	150	9.090909090909092	53888583.0
POC-57-S1-TP2_R1_001	81.12002580365129	42.0	150.0	150	27.27272727272727	42934866.0
POC-57-S1-TP2_R2_001	79.64191201186726	43.0	150.0	150	9.090909090909092	42934866.0
RNA-POC-47-S1-TP2_R1_001	84.8518230395792	44.0	150.0	150	18.181818181818183	54705696.0
RNA-POC-47-S1-TP2_R2_001	83.57056547838523	44.0	150.0	150	9.090909090909092	54705696.0
RNA-POC-48-S1-TP2_R1_001	83.08846178903292	44.0	150.0	150	18.181818181818183	52036501.0
RNA-POC-48-S1-TP2_R2_001	81.85989783241494	44.0	150.0	150	9.090909090909092	52036501.0
RNA-POC-50-S1-TP2_R1_001	82.32540953951144	43.0	150.0	150	18.181818181818183	55792440.0
RNA-POC-50-S1-TP2_R2_001	80.67005406463355	43.0	150.0	150	9.090909090909092	55792440.0
RNA-POC-53-S1-TP2_R1_001	81.80969960070954	42.0	150.0	150	18.181818181818183	53888583.0
RNA-POC-53-S1-TP2_R2_001	80.34535932766256	43.0	150.0	150	9.090909090909092	53888583.0
RNA-POC-57-S1-TP2_R1_001	81.12002580365129	42.0	150.0	150	27.27272727272727	42934866.0
RNA-POC-57-S1-TP2_R2_001	79.64191201186726	43.0	150.0	150	9.090909090909092	42934866.0
