Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RNA-POC-47-S1-TP2_R1_001	84.82502944671008	44.0	128.8289648804143	130	9.090909090909092	54219233.0
RNA-POC-47-S1-TP2_R2_001	83.65465367983832	44.0	128.8194276558652	130	9.090909090909092	54219233.0
RNA-POC-48-S1-TP2_R1_001	83.16583271930543	44.0	128.9865782787525	130	9.090909090909092	51579450.0
RNA-POC-48-S1-TP2_R2_001	81.98864771665873	44.0	128.98054512019806	130	9.090909090909092	51579450.0
RNA-POC-50-S1-TP2_R1_001	82.37453456663171	42.0	128.97734183935654	130	9.090909090909092	55302459.0
RNA-POC-50-S1-TP2_R2_001	80.69924545429066	43.0	128.97000504082467	130	9.090909090909092	55302459.0
RNA-POC-53-S1-TP2_R1_001	82.03019009908667	42.0	128.84613711597535	130	9.090909090909092	53353608.0
RNA-POC-53-S1-TP2_R2_001	80.41625804436971	43.0	128.84221082105637	130	9.090909090909092	53353608.0
RNA-POC-57-S1-TP2_R1_001	81.21030470101839	42.0	128.72404609567675	130	18.181818181818183	42513488.0
RNA-POC-57-S1-TP2_R2_001	79.71394118978563	43.0	128.71605559628512	130	9.090909090909092	42513488.0
