#Coverage (X)	Coverage
1.0	83.50277545604835
2.0	82.5036950855536
3.0	77.4289626610303
4.0	76.5998215188928
5.0	73.37690108453315
6.0	72.59610346610255
7.0	70.07652272181463
8.0	69.30406304145048
9.0	67.14893402413385
10.0	66.373001774067
11.0	64.44103574785989
12.0	63.653242801473475
13.0	61.876274951828684
14.0	61.08296259263578
15.0	59.4274154515846
16.0	58.628493127756144
17.0	57.06982263530922
18.0	56.274442454729545
19.0	54.799547540392716
20.0	54.005183877119904
21.0	52.606255574215254
22.0	51.81798039286822
23.0	50.48659791238892
24.0	49.70551589217263
25.0	48.43401472549065
26.0	47.66353709454616
27.0	46.451873426260335
28.0	45.69225112733974
29.0	44.53847318048939
30.0	43.794514223613106
31.0	42.69324784008528
32.0	41.964898850128264
33.0	40.91380773962363
34.0	40.20365196641901
35.0	39.19851338645746
36.0	38.50432208659966
37.0	37.54372624345546
38.0	36.868348480211296
39.0	35.953137691778224
40.0	35.29786694889947
41.0	34.421002337368435
42.0	33.78351002544444
43.0	32.94880698283872
44.0	32.32965473564796
45.0	31.53115569514948
46.0	30.931247437695262
47.0	30.167362298563816
48.0	29.585594148284827
49.0	28.857114508767992
50.0	28.294935294929203
51.0	27.597686742262113
