#Mapping quality	mapping quality
0.0	8928533.0
1.0	8107267.0
2.0	2.486745E7
3.0	1.3035555E7
4.0	1.6304499E7
5.0	1.1215514E7
6.0	1.3702183E7
7.0	6725768.0
8.0	6153066.0
9.0	5212896.0
10.0	4994469.0
11.0	4909157.0
12.0	4877641.0
13.0	4602239.0
14.0	4731980.0
15.0	4713585.0
16.0	4970374.0
17.0	4913541.0
18.0	5273195.0
19.0	5355530.0
20.0	5832658.0
21.0	6786222.0
22.0	7102256.0
23.0	7698427.0
24.0	8625172.0
25.0	9060542.0
26.0	1.0172743E7
27.0	1.0946949E7
28.0	1.1927443E7
29.0	1.226723E7
30.0	1.2489074E7
31.0	1.166305E7
32.0	1.032499E7
33.0	8227851.0
34.0	6056199.0
35.0	4073329.0
36.0	2604751.0
37.0	1507808.0
38.0	896985.0
39.0	456426.0
40.0	554710.0
41.0	613576.0
42.0	971847.0
