#Insert size (bp)	insert size
20.0	3225.0
21.0	4458.0
22.0	7315.0
23.0	10299.0
24.0	11302.0
25.0	14563.0
26.0	20403.0
27.0	27479.0
28.0	34747.0
29.0	43072.0
30.0	52690.0
31.0	63157.0
32.0	73772.0
33.0	86242.0
34.0	98458.0
35.0	111703.0
36.0	126465.0
37.0	142305.0
38.0	158798.0
39.0	175343.0
40.0	191542.0
41.0	210565.0
42.0	232465.0
43.0	253993.0
44.0	276623.0
45.0	299649.0
46.0	321841.0
47.0	345294.0
48.0	368262.0
49.0	393590.0
50.0	418462.0
51.0	440981.0
52.0	464420.0
53.0	487450.0
54.0	512994.0
55.0	543997.0
56.0	573597.0
57.0	599005.0
58.0	623472.0
59.0	644357.0
60.0	668165.0
61.0	686172.0
62.0	708376.0
63.0	725778.0
64.0	744037.0
65.0	763500.0
66.0	777994.0
67.0	794204.0
68.0	808141.0
69.0	821944.0
70.0	837038.0
71.0	847579.0
72.0	859457.0
73.0	867975.0
74.0	879395.0
75.0	883078.0
76.0	884938.0
77.0	891445.0
78.0	896188.0
79.0	897542.0
80.0	898520.0
81.0	896425.0
82.0	892457.0
83.0	897215.0
84.0	894091.0
85.0	890349.0
86.0	887624.0
87.0	885417.0
88.0	879760.0
89.0	879117.0
90.0	868560.0
91.0	862083.0
92.0	851955.0
93.0	838687.0
94.0	831976.0
95.0	827460.0
96.0	814727.0
97.0	805497.0
98.0	797923.0
99.0	791414.0
100.0	776829.0
101.0	766706.0
102.0	750725.0
103.0	738177.0
104.0	726968.0
105.0	711928.0
106.0	699115.0
107.0	691551.0
108.0	678205.0
109.0	665896.0
110.0	652862.0
111.0	641539.0
112.0	627830.0
113.0	617257.0
114.0	604267.0
115.0	590366.0
116.0	578262.0
117.0	563826.0
118.0	552236.0
119.0	544094.0
120.0	533651.0
121.0	520446.0
122.0	510265.0
123.0	497935.0
124.0	487427.0
125.0	479073.0
126.0	469550.0
127.0	460142.0
128.0	449286.0
129.0	441463.0
130.0	428639.0
131.0	420038.0
132.0	407209.0
133.0	398622.0
134.0	389232.0
135.0	379956.0
136.0	369962.0
137.0	361351.0
138.0	352974.0
139.0	342795.0
140.0	334931.0
141.0	323192.0
142.0	311488.0
143.0	302558.0
144.0	295558.0
145.0	288502.0
146.0	282197.0
147.0	271660.0
148.0	257932.0
149.0	182461.0
150.0	180549.0
151.0	288422.0
152.0	337044.0
153.0	304194.0
154.0	245396.0
155.0	222518.0
156.0	207425.0
157.0	196268.0
158.0	187876.0
159.0	179696.0
160.0	172205.0
161.0	165980.0
162.0	160395.0
163.0	154460.0
164.0	150152.0
165.0	144399.0
166.0	139017.0
167.0	134265.0
168.0	129654.0
169.0	125596.0
170.0	121172.0
171.0	116650.0
172.0	113065.0
173.0	109466.0
174.0	106140.0
175.0	102336.0
176.0	98985.0
177.0	94924.0
178.0	90991.0
179.0	88430.0
180.0	85459.0
181.0	82801.0
182.0	79850.0
183.0	77030.0
184.0	74594.0
185.0	72028.0
186.0	69319.0
187.0	67033.0
188.0	64658.0
189.0	62720.0
190.0	60315.0
191.0	58232.0
192.0	56158.0
193.0	54325.0
194.0	52827.0
195.0	50784.0
196.0	48929.0
197.0	47168.0
198.0	45453.0
199.0	44110.0
200.0	42222.0
201.0	41022.0
202.0	39768.0
203.0	38310.0
204.0	36879.0
205.0	35633.0
206.0	34337.0
207.0	33181.0
208.0	32254.0
209.0	31308.0
210.0	29838.0
211.0	29086.0
212.0	28126.0
213.0	27147.0
214.0	26111.0
215.0	25164.0
216.0	24507.0
217.0	23719.0
218.0	22930.0
219.0	21926.0
220.0	20922.0
221.0	20457.0
222.0	20124.0
223.0	19415.0
224.0	18653.0
225.0	17835.0
226.0	17291.0
227.0	16775.0
228.0	16318.0
229.0	15728.0
230.0	15470.0
231.0	14607.0
232.0	14371.0
233.0	13713.0
234.0	13432.0
235.0	12736.0
236.0	12447.0
237.0	12023.0
238.0	11785.0
239.0	11559.0
240.0	11010.0
