#Duplication rate	Coverage
1.0	1.5946163E7
2.0	2.1022214E7
3.0	3193375.0
4.0	3752328.0
5.0	997308.0
6.0	1134417.0
7.0	438585.0
8.0	481286.0
9.0	236407.0
10.0	249007.0
11.0	142015.0
12.0	145464.0
13.0	93072.0
14.0	91060.0
15.0	63022.0
16.0	60245.0
17.0	44370.0
18.0	41381.0
19.0	31646.0
20.0	29233.0
21.0	23023.0
22.0	21459.0
23.0	17237.0
24.0	15652.0
25.0	12828.0
26.0	11690.0
27.0	9565.0
28.0	8614.0
29.0	7335.0
30.0	6631.0
31.0	5646.0
32.0	5140.0
33.0	4456.0
34.0	3900.0
35.0	3337.0
36.0	3054.0
37.0	2572.0
38.0	2486.0
39.0	2137.0
40.0	1900.0
41.0	1661.0
42.0	1479.0
43.0	1348.0
44.0	1184.0
45.0	1136.0
46.0	1048.0
47.0	878.0
48.0	782.0
49.0	753.0
50.0	9908.0
