CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	381893	1539755	19.87	1921648
2	376673	2700057	12.24	3076730
3	315150	3066754	9.32	3381904
4	248491	2255422	9.92	2503913
5	119019	2975752	3.85	3094771
6	101768	2004780	4.83	2106548
7	98336	1911585	4.89	2009921
8	98219	1993933	4.69	2092152
9	95544	1965309	4.64	2060853
10	95553	1960926	4.65	2056479
11	100371	1999880	4.78	2100251
12	100786	2036843	4.71	2137629
13	92250	2038453	4.33	2130703
14	91063	2079947	4.19	2171010
15	90026	2129461	4.06	2219487
16	90108	2094208	4.13	2184316
17	88327	2099054	4.04	2187381
18	84633	2209020	3.69	2293653
19	84055	2136158	3.79	2220213
20	85572	2167076	3.80	2252648
21	83785	2197173	3.67	2280958
22	83204	2186292	3.67	2269496
23	82581	2209877	3.60	2292458
24	80319	2232155	3.47	2312474
25	80284	2221616	3.49	2301900
26	81089	2238129	3.50	2319218
27	78684	2270661	3.35	2349345
28	78902	2256948	3.38	2335850
29	77762	2263720	3.32	2341482
30	76232	2277960	3.24	2354192
31	77235	2264897	3.30	2342132
32	77672	2279197	3.30	2356869
33	75722	2291387	3.20	2367109
34	75755	2275479	3.22	2351234
35	75452	2299415	3.18	2374867
36	73507	2322338	3.07	2395845
37	74950	2307637	3.15	2382587
38	74208	2312867	3.11	2387075
39	72703	2323851	3.03	2396554
40	71960	2300778	3.03	2372738
41	72316	2299194	3.05	2371510
42	70900	2313595	2.97	2384495
43	70657	2291964	2.99	2362621
44	71288	2305556	3.00	2376844
45	70106	2325076	2.93	2395182
46	69815	2300338	2.95	2370153
47	70706	2313251	2.97	2383957
48	69662	2319220	2.92	2388882
49	68860	2296408	2.91	2365268
50	69440	2298698	2.93	2368138
51	68259	2300609	2.88	2368868
52	68708	2272244	2.94	2340952
53	68558	2266386	2.94	2334944
54	67341	2267790	2.88	2335131
55	68048	2243955	2.94	2312003
56	67785	2246307	2.93	2314092
57	66617	2253064	2.87	2319681
58	66833	2218995	2.92	2285828
59	67497	2220368	2.95	2287865
60	66676	2222197	2.91	2288873
61	66534	2187576	2.95	2254110
62	66458	2176098	2.96	2242556
63	65740	2168816	2.94	2234556
64	65476	2134472	2.98	2199948
65	64781	2119406	2.97	2184187
66	64763	2121630	2.96	2186393
67	64773	2090196	3.01	2154969
68	65830	2077045	3.07	2142875
69	63620	2065010	2.99	2128630
70	64022	2037097	3.05	2101119
71	63836	2024893	3.06	2088729
72	62761	2003417	3.04	2066178
73	63443	1964954	3.13	2028397
74	62792	1948152	3.12	2010944
75	61628	1931552	3.09	1993180
76	61223	1902903	3.12	1964126
77	61443	1879084	3.17	1940527
78	60653	1871630	3.14	1932283
79	60055	1834773	3.17	1894828
80	60500	1815460	3.23	1875960
81	59271	1796576	3.19	1855847
82	59177	1760969	3.25	1820146
83	58746	1741733	3.26	1800479
84	58338	1727229	3.27	1785567
85	57559	1691982	3.29	1749541
86	57105	1671142	3.30	1728247
87	56163	1648900	3.29	1705063
88	56118	1619528	3.35	1675646
89	56633	1599257	3.42	1655890
90	54832	1570408	3.37	1625240
91	55072	1538722	3.46	1593794
92	55083	1518057	3.50	1573140
93	53551	1498427	3.45	1551978
94	52827	1465866	3.48	1518693
95	52235	1444100	3.49	1496335
96	51823	1430225	3.50	1482048
97	51101	1392982	3.54	1444083
98	50588	1372252	3.56	1422840
99	50599	1350845	3.61	1401444
100	49658	1314359	3.64	1364017
101	49458	1297370	3.67	1346828
102	48176	1274517	3.64	1322693
103	47859	1245389	3.70	1293248
104	47065	1224003	3.70	1271068
105	46481	1208182	3.70	1254663
106	45430	1176240	3.72	1221670
