miRNA	lncRNA	mRNA	PCC_lncRNA_mRNA	p_value_lncRNA_mRNA	FDR_lncRNA_mRNA
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g7132.t1	0.974939726766057	0.00474431229401585	0.0255197456947185
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g18289.t1	0.896255368197822	0.0394826139602045	0.0473178565091588
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g9824.t1	0.911549848809959	0.0311554636787397	0.0446372189243925
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g22634.t1	0.998449804894173	7.32508026144913e-05	0.00258503049806648
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g28963.t1	0.935231764301738	0.0195935035623239	0.0395673146347447
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g1655.t1	0.92557751577043	0.0240980324589078	0.0417732865504862
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g1697.t1	0.952664927849772	0.0122744084523318	0.034661511948587
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g16481.t1	0.914418797466445	0.0296651352840009	0.0440748351427374
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g24083.t1	0.96130980616422	0.00908235783464757	0.0315988729851328
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g27772.t1	0.894283374850464	0.0406012430399562	0.0476414292960492
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___TS.g15117.t1	0.895310972879177	0.0400170882156309	0.0474714812870091
ptuh-mir-novel-5	lncRNA_10109	gene-Pocillopora_meandrina_HIv1___RNAseq.g27117.t1	0.945651956912057	0.0150847198244396	0.0368363368360797
