"","Species","Protein_of_interest_simplified","avg_rpm","std_rpm","n"
"1","Ptuh","ACAT1",2150.08668071369,742.56091019551,1
"2","Ptuh","ACAT2",38.4662991833144,17.6069981050837,1
"3","Ptuh","ADAR",335.201940003284,151.938039847187,1
"4","Ptuh","ADARB",724.565557138067,184.701863837602,1
"5","Ptuh","AGO",1727.66513285663,398.317793573802,1
"6","Ptuh","AGO2",3516.67217433653,883.764944930752,1
"7","Ptuh","AGO3",1278.96087869214,124.756548612281,1
"8","Ptuh","ALKBH1",17.1783293077143,22.1891060410607,1
"9","Ptuh","ALKBH5",294.99354577857,136.33928635594,1
"10","Ptuh","ALYREF",3449.59597978576,555.698488410201,1
"11","Ptuh","APBB1",3089.57547369927,934.492749148608,1
"12","Ptuh","ARH1-ADPRH",284.519636919439,46.045792845136,1
"13","Ptuh","ARH3-ADPRS",159.387086329561,76.7912462225665,1
"14","Ptuh","ARID1",3393.9548215729,1119.94848563378,1
"15","Ptuh","ASH2L",263.998877428646,64.9553289556879,1
"16","Ptuh","ATAT1",540.493880401249,160.227179976425,1
"17","Ptuh","ATF2",4446.70280736769,592.298539415095,1
"18","Ptuh","ATM",281.871785843301,226.484078644547,1
"19","Ptuh","ATR",565.349884865784,200.569054282436,1
"20","Ptuh","ATXN3",677.458215376965,133.892221523129,1
"21","Ptuh","AURK",123.924323972975,50.5573828989058,1
"22","Ptuh","BAP1",207.020442162983,87.8187269984986,1
"23","Ptuh","BAZ1B",436.203413938941,478.883982017815,1
"24","Ptuh","BAZ2B/MBD6",5456.6716455371,1571.49561619299,1
"25","Ptuh","BLOC1S1",670.72881795188,181.660919169478,1
"26","Ptuh","BRCC3",458.545688239837,136.173852772814,1
"27","Ptuh","BRD4",11057.0194428196,1307.83844969182,1
"28","Ptuh","BUB1",130.268005798839,114.911965435507,1
"29","Ptuh","CDK1",159.965950609677,126.039627787164,1
"30","Ptuh","CDK8",659.251059468377,57.3568662298087,1
"31","Ptuh","CHEK1",51.8589399288357,36.8415582104955,1
"32","Ptuh","CHUK",999.80110356989,219.97806849427,1
"33","Ptuh","COPS5",498.764865722657,99.5984402590831,1
"34","Ptuh","COPS6",747.22561778477,145.890500574881,1
"35","Ptuh","CSNK2B",849.204983122974,282.590214679963,1
"36","Ptuh","CTCF",5.91161239473052,9.9598932393924,1
"37","Ptuh","CUL4A",2265.99487046655,644.198108771384,1
"38","Ptuh","DAPK3",147.786345055124,232.038499519672,1
"39","Ptuh","DBHS family",4306.5834903234,826.031032586129,1
"40","Ptuh","DCP2",1068.40198556397,364.252433521746,1
"41","Ptuh","DDB1",536.20372070906,155.839960509069,1
"42","Ptuh","DDX",23090.4937857197,5292.19467285332,1
"43","Ptuh","DGCR8",365.051126357665,177.154182619357,1
"44","Ptuh","DICER",501.200149254695,157.139221279469,1
"45","Ptuh","DICER1",1262.6050361555,409.434986422999,3
"46","Ptuh","DIS3",824.159605317218,193.812073618808,1
"47","Ptuh","DIS3L",555.241931358633,195.59396738832,1
"48","Ptuh","DIS3L2",1275.71152772265,569.732940955454,1
"49","Ptuh","DKC1",1769.54776273566,615.839110821465,1
"50","Ptuh","DLAT",946.162430395765,479.892652897736,1
"51","Ptuh","DNMT1",104.665347153566,68.4415986059867,1
"52","Ptuh","DNMT3",6576.98370301314,1970.98122507246,1
"53","Ptuh","DROSHA",865.429229633512,397.916996071791,1
"54","Ptuh","DTX3L",289.185566743583,98.1576053199242,1
"55","Ptuh","DUS1L",492.403387349276,229.722866076361,1
"56","Ptuh","DYRK1A",1714.61129185767,840.897477870072,1
"57","Ptuh","DZIP3",152.936589577166,174.766706539286,2
"58","Ptuh","EGR1",29504.2416561209,33271.6590136869,1
"59","Ptuh","EHMT",537.788591000665,219.577039537182,1
"60","Ptuh","EIF3F",2250.99892714884,632.240915868274,1
"61","Ptuh","EIF3H",2426.66482792908,775.753116051292,1
"62","Ptuh","ESCO",231.049221033984,77.4775530350892,1
"63","Ptuh","EXOSC1",311.095270701735,111.692318886484,1
"64","Ptuh","EXOSC10",739.012309010602,142.959575242494,1
"65","Ptuh","EXOSC2",456.187149892454,95.2283782287952,2
"66","Ptuh","EXOSC3",82.4934448865237,37.2033000558445,1
"67","Ptuh","EXOSC4",104.133487160773,47.1901531979627,1
"68","Ptuh","EXOSC5",203.230648395464,72.1138953373387,1
"69","Ptuh","EXOSC6",309.494497950677,209.816391002194,1
"70","Ptuh","EXOSC7",331.041921274899,183.26118681948,1
"71","Ptuh","EXOSC9",383.378139998543,79.476845461149,1
"72","Ptuh","EYA",624.449660536594,197.767180044345,1
"73","Ptuh","EZH",550.421198042181,97.6024025969711,1
"74","Ptuh","FLAG: ALG13+OTUD4 (review)",11226.7543738219,3335.41508632761,1
"75","Ptuh","FLAG: DNMT3L+USP9Y (review)",2836.0138439748,1317.84147507813,1
"76","Ptuh","FMR1",3868.84306200003,1886.22656730721,1
"77","Ptuh","GTF3C1",2476.26605026754,954.217441250861,1
"78","Ptuh","GTF3C2",326.63632210201,115.808997329858,1
"79","Ptuh","H2AX; HDAC2",2675.04115170768,974.854914053862,1
"80","Ptuh","H2AZ",2638.38973580855,826.12190103871,1
"81","Ptuh","H3K36 KMT (ASH1L/SETD2)",2007.42150719707,403.670698045109,1
"82","Ptuh","HASPIN",41.3030748393966,27.41627245031,1
"83","Ptuh","HDAC",1624.654902444,830.375522390872,2
"84","Ptuh","HDAC11",653.196887496652,212.483573867002,1
"85","Ptuh","HDAC3",597.650984889477,108.242538376213,1
"86","Ptuh","HDAC8",71.2135878838244,55.0277585523825,1
"87","Ptuh","HENMT1",200.27715258617,50.7068081981074,1
"88","Ptuh","HIRA",697.020845147043,287.16070968423,1
"89","Ptuh","HNRNPA2B1",753.889874047783,613.675625427402,1
"90","Ptuh","HSP90AA1",105489.624784982,37188.885760205,1
"91","Ptuh","HSPA8",55954.4095335769,25618.9885740855,3
"92","Ptuh","HSPBAP1",11311.2122675887,3181.61367068036,1
"93","Ptuh","HUWE1",7939.78605041891,2243.0488118445,1
"94","Ptuh","HYL1",551.69384998801,122.262902582879,1
"95","Ptuh","Histone variants",1262.53545181471,451.633951449796,1
"96","Ptuh","INTS10",442.839025650556,87.3408308349126,1
"97","Ptuh","INTS11",1170.92785526952,198.804937870183,1
"98","Ptuh","INTS12",156.101237440734,40.8534349665097,1
"99","Ptuh","INTS13",585.288671300874,93.5789580434432,1
"100","Ptuh","INTS14",430.427753738221,104.163087970795,1
"101","Ptuh","INTS2",696.120217759087,354.519738231935,1
"102","Ptuh","INTS3",468.568916468993,170.707401474462,1
"103","Ptuh","INTS4",672.700054586765,132.112893875719,1
"104","Ptuh","INTS6",1909.82617171885,615.141236473495,1
"105","Ptuh","INTS7",755.582785539137,251.944680186637,1
"106","Ptuh","INTS8",457.527945057609,163.705778763969,1
"107","Ptuh","INTS9",430.808526608445,73.6707730043475,1
"108","Ptuh","JAK2",700.443118050821,167.716853498292,1
"109","Ptuh","JARID2",1693.8345556956,327.082619904099,1
"110","Ptuh","JKAMP",424.296682624148,98.709063342913,1
"111","Ptuh","JMJD6",604.68550911008,203.298573979087,1
"112","Ptuh","JMJD7",14.6816077132489,12.3800344562364,1
"113","Ptuh","JOSD",99.1793533777864,60.6217427350009,1
"114","Ptuh","KAT1-HAT1",326.759061935946,171.941131349436,1
"115","Ptuh","KAT14",379.845888827665,481.663632267033,1
"116","Ptuh","KAT2",260.089961259544,81.5506584296788,1
"117","Ptuh","KAT3",8872.7354268385,3502.0960881709,1
"118","Ptuh","KAT4-TAF1",5788.84202582018,1213.82238673398,1
"119","Ptuh","KAT5",2786.51317358158,1733.41943486183,1
"120","Ptuh","KAT6",2402.58569487034,342.617101689227,1
"121","Ptuh","KAT7",861.888207378931,208.904588644282,1
"122","Ptuh","KAT8",3397.79187040292,1004.15342328333,1
"123","Ptuh","KAT9-ELP3",664.086172154189,257.619128655407,1
"124","Ptuh","KDM1A",2668.45766153869,278.959273332616,1
"125","Ptuh","KDM1B",298.872068814644,120.089517514692,1
"126","Ptuh","KDM2",1139.78674630692,190.328878028381,1
"127","Ptuh","KDM3",2385.75967512829,882.607550333553,1
"128","Ptuh","KDM4",1535.26685526191,985.130843422003,1
"129","Ptuh","KDM5",4481.63054092487,1650.34022955672,1
"130","Ptuh","KDM6",3098.19014371891,1323.07426868311,1
"131","Ptuh","KDM7",1226.7074123456,609.189021007793,1
"132","Ptuh","KDM8",1221.65644210423,607.809017638959,1
"133","Ptuh","KHSRP",2363.79167176135,412.532289198672,1
"134","Ptuh","KLF4",864.574562271346,418.793622340259,1
"135","Ptuh","KMT1E-SETDB1",3536.23642635954,761.413196832192,1
"136","Ptuh","KMT2",7319.23457178648,1554.07138682548,2
"137","Ptuh","KMT4-DOT1L",9466.39391180356,6621.46474284147,1
"138","Ptuh","KMT5",1706.60162413266,662.422471129315,1
"139","Ptuh","KMT5A—SETD8",40.7964197130759,21.4706678800323,1
"140","Ptuh","LIN28A",162.845726062518,37.8058730541218,1
"141","Ptuh","MAP2K1",670.129477624727,360.122660365199,1
"142","Ptuh","MAP3K12",722.296473567552,137.192158300477,1
"143","Ptuh","MAP3K22",582.374263383609,176.526596161128,1
"144","Ptuh","MAPK",3077.42144631412,1119.37020429642,1
"145","Ptuh","MAPK1",197.100587094341,148.175420670739,1
"146","Ptuh","MAPK8/9 (JNK)",3108.54035599164,292.81932556555,1
"147","Ptuh","MBD",796.354202936372,289.053536102133,1
"148","Ptuh","MBD4",245.661501979147,223.535471460176,1
"149","Ptuh","MCM3AP",797.146895561986,439.561131780129,1
"150","Ptuh","MCPH1",47.004974282524,46.1062314259568,1
"151","Ptuh","MDC1",316.433157627607,128.848043113969,1
"152","Ptuh","METTL",292.42278157777,119.851326959664,1
"153","Ptuh","METTL1",122.007362439572,41.8363555445454,1
"154","Ptuh","METTL14",880.143361686163,267.071478074131,1
"155","Ptuh","METTL16",117.613172392527,23.3833644988663,1
"156","Ptuh","METTL4",331.897224821572,121.834475442186,1
"157","Ptuh","METTL5",120.446254347242,77.2886503073206,1
"158","Ptuh","METTL6",245.757668729467,153.300644655814,1
"159","Ptuh","MPND",262.859695253448,92.534969669614,1
"160","Ptuh","MTREX",1070.53723549287,405.823547449963,1
"161","Ptuh","MYSM1",362.660210901387,204.710114909134,1
"162","Ptuh","NAA10",811.076719435715,254.124901045737,1
"163","Ptuh","NAA50",1549.78254278025,670.321284360587,1
"164","Ptuh","NAA60",547.908633576227,203.035456915933,1
"165","Ptuh","NAT10",293.169054405314,71.2138662836172,1
"166","Ptuh","NOP2",654.998963165893,307.45856901591,1
"167","Ptuh","NSD",1734.7767410157,501.109456941941,1
"168","Ptuh","NSUN2",2788.75821202431,865.892151200631,1
"169","Ptuh","NSUN4",119.600213335583,78.1963445809574,1
"170","Ptuh","NSUN5",229.400146983657,143.344168372794,1
"171","Ptuh","NSUN6",618.22209857,211.857003174546,1
"172","Ptuh","OGT",34692.4478415805,6894.19659748858,1
"173","Ptuh","OTUD3",534.414680100008,305.580116703456,1
"174","Ptuh","OTUD5",1118.35852610168,570.738504900461,1
"175","Ptuh","OTUD6",365.650950090888,61.1746951979364,1
"176","Ptuh","OTUD7",440.152129522565,241.971569053267,1
"177","Ptuh","PAK2",6881.64688522074,2623.54806254609,1
"178","Ptuh","PAN2",880.344474092019,224.424658944958,1
"179","Ptuh","PAPD5",541.316216876864,211.595985199409,1
"180","Ptuh","PARG",841.505685555411,309.752596144682,1
"181","Ptuh","PARP",710.29945409674,674.438168764469,2
"182","Ptuh","PARP1",566.260458337454,178.960451951909,1
"183","Ptuh","PARP11",39.8751601606535,51.8135410881835,1
"184","Ptuh","PARP15",350.901209046562,206.60499844778,1
"185","Ptuh","PARP16",81.6845075144572,56.0747893171083,1
"186","Ptuh","PARP4",421.758718581876,268.6795948439,1
"187","Ptuh","PARP5",3959.36697448156,1340.74823066167,1
"188","Ptuh","PARP7-TIPARP",385.037799637494,94.3935624594761,1
