,id,type,special_status,notes
1,ptuh-mir-novel-13,miRNA,NA,NA
2,ptuh-mir-2030,miRNA,NA,NA
3,ptuh-mir-novel-6,miRNA,epi-miRNA,NA
4,ptuh-mir-novel-23,miRNA,NA,NA
5,ptuh-mir-2023,miRNA,NA,NA
6,ptuh-mir-novel-21,miRNA,NA,NA
7,ptuh-mir-novel-16,miRNA,epi-miRNA,NA
8,ptuh-mir-novel-19,miRNA,NA,NA
9,ptuh-mir-novel-17,miRNA,NA,NA
10,ptuh-mir-novel-28,miRNA,NA,NA
11,ptuh-mir-100,miRNA,NA,NA
12,ptuh-mir-novel-32,miRNA,epi-miRNA,NA
13,ptuh-mir-novel-4,miRNA,epi-miRNA,NA
14,ptuh-mir-novel-25,miRNA,NA,NA
15,ptuh-mir-novel-10,miRNA,epi-miRNA,NA
16,ptuh-mir-novel-12,miRNA,NA,NA
17,ptuh-mir-novel-9,miRNA,NA,NA
18,ptuh-mir-novel-11; ptuh-mir-novel-15,miRNA,NA,NA
19,ptuh-mir-novel-33,miRNA,epi-miRNA,NA
20,ptuh-mir-novel-22,miRNA,NA,NA
21,ptuh-mir-novel-31,miRNA,NA,NA
22,ptuh-mir-novel-14,miRNA,NA,NA
23,ptuh-mir-novel-20,miRNA,NA,NA
24,ptuh-mir-novel-5,miRNA,epi-miRNA,NA
25,ptuh-mir-2025,miRNA,NA,NA
26,ptuh-mir-novel-26,miRNA,epi-miRNA,NA
27,ptuh-mir-novel-18,miRNA,NA,NA
28,ptuh-mir-novel-3,miRNA,epi-miRNA,NA
29,ptuh-mir-novel-24,miRNA,epi-miRNA,NA
30,ptuh-mir-novel-7,miRNA,epi-miRNA,NA
31,ptuh-mir-novel-2,miRNA,NA,NA
32,ptuh-mir-2036,miRNA,NA,NA
33,ptuh-mir-novel-8,miRNA,NA,NA
34,ptuh-mir-novel-27,miRNA,NA,NA
35,ptuh-mir-novel-1,miRNA,NA,NA
36,ptuh-mir-novel-30,miRNA,NA,NA
37,ptuh-mir-novel-29,miRNA,NA,NA
38,lncRNA_10109,lncRNA,ceRNA,NA
39,lncRNA_10250,lncRNA,ceRNA,NA
40,lncRNA_10290,lncRNA,ceRNA,NA
41,lncRNA_11040,lncRNA,ceRNA,NA
42,lncRNA_11224,lncRNA,ceRNA,NA
43,lncRNA_11237,lncRNA,ceRNA,NA
44,lncRNA_11238,lncRNA,ceRNA,NA
45,lncRNA_11239,lncRNA,ceRNA,NA
46,lncRNA_11240,lncRNA,ceRNA,NA
47,lncRNA_11306,lncRNA,ceRNA,NA
48,lncRNA_11308,lncRNA,ceRNA,NA
49,lncRNA_11309,lncRNA,ceRNA,NA
50,lncRNA_11310,lncRNA,ceRNA,NA
51,lncRNA_11311,lncRNA,ceRNA,NA
52,lncRNA_12026,lncRNA,ceRNA,NA
53,lncRNA_12742,lncRNA,ceRNA,NA
54,lncRNA_12743,lncRNA,ceRNA,NA
55,lncRNA_12744,lncRNA,ceRNA,NA
56,lncRNA_13179,lncRNA,ceRNA,NA
57,lncRNA_13208,lncRNA,ceRNA,NA
58,lncRNA_13305,lncRNA,ceRNA,NA
59,lncRNA_13306,lncRNA,ceRNA,NA
60,lncRNA_13372,lncRNA,ceRNA,NA
61,lncRNA_13373,lncRNA,ceRNA,NA
62,lncRNA_13374,lncRNA,ceRNA,NA
63,lncRNA_13376,lncRNA,ceRNA,NA
64,lncRNA_13377,lncRNA,ceRNA,NA
65,lncRNA_13869,lncRNA,ceRNA,NA
66,lncRNA_13870,lncRNA,ceRNA,NA
67,lncRNA_14671,lncRNA,ceRNA,NA
68,lncRNA_15438,lncRNA,ceRNA,NA
69,lncRNA_15439,lncRNA,ceRNA,NA
70,lncRNA_15440,lncRNA,ceRNA,NA
71,lncRNA_1808,lncRNA,ceRNA,NA
72,lncRNA_1852,lncRNA,ceRNA,NA
73,lncRNA_1950,lncRNA,ceRNA,NA
74,lncRNA_196,lncRNA,ceRNA,NA
75,lncRNA_2123,lncRNA,ceRNA,NA
76,lncRNA_2707,lncRNA,ceRNA,NA
77,lncRNA_2708,lncRNA,ceRNA,NA
78,lncRNA_2711,lncRNA,ceRNA,NA
79,lncRNA_2929,lncRNA,ceRNA,NA
80,lncRNA_334,lncRNA,ceRNA,NA
