"","mRNA","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0001764","neuron migration",109,4,0.08,0.0365,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"2","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0001932","regulation of protein phosphorylation",554,3,0.39,0.0052,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"3","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",156,4,0.11,2.2e-06,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"4","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0007413","axonal fasciculation",30,3,0.02,8.9e-07,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"5","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0032880","regulation of protein localization",467,4,0.32,2.3e-05,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"6","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0036514","dopaminergic neuron axon guidance",14,3,0.01,8e-08,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"7","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0036515","serotonergic neuron axon guidance",13,3,0.01,6.3e-08,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"8","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0060271","cilium assembly",355,3,0.25,0.0015,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"9","Pocillopora_meandrina_HIv1___RNAseq.g14631.t1","GO:0097475","motor neuron migration",24,3,0.02,4.4e-07,"Biological Processes",95,"Cluster_1116",-0.301065579994612,0.622543646280429,0.977945256491021,156,-20.96,"2 21","915 937",21,"76.19%","80.95%"
"10","Pocillopora_meandrina_HIv1___RNAseq.g14641.t1","GO:0001764","neuron migration",109,4,0.08,0.0365,"Biological Processes",2585,"Cluster_1116",-0.390983680695022,0.515175494672044,0.973552982047009,156,-20.96,"2 21","829 851",21,"76.19%","80.95%"
"11","Pocillopora_meandrina_HIv1___RNAseq.g14641.t1","GO:0001843","neural tube closure",66,1,0.05,0.045,"Biological Processes",2585,"Cluster_1116",-0.390983680695022,0.515175494672044,0.973552982047009,156,-20.96,"2 21","829 851",21,"76.19%","80.95%"
"12","Pocillopora_meandrina_HIv1___RNAseq.g14641.t1","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",156,4,0.11,2.2e-06,"Biological Processes",2585,"Cluster_1116",-0.390983680695022,0.515175494672044,0.973552982047009,156,-20.96,"2 21","829 851",21,"76.19%","80.95%"
"13","Pocillopora_meandrina_HIv1___RNAseq.g14641.t1","GO:0007266","Rho protein signal transduction",58,1,0.04,0.0397,"Biological Processes",2585,"Cluster_1116",-0.390983680695022,0.515175494672044,0.973552982047009,156,-20.96,"2 21","829 851",21,"76.19%","80.95%"
