"lncRNA_id" "lncRNA_coord"
"1" "lncRNA_001" "ntLink_0:25262-29713"
"2" "lncRNA_002" "ntLink_0:25263-30830"
"3" "lncRNA_003" "ntLink_0:84577-93547"
"4" "lncRNA_004" "ntLink_0:23405-24922"
"5" "lncRNA_005" "ntLink_1:7486-8513"
"6" "lncRNA_006" "ntLink_1:14013-18684"
"7" "lncRNA_007" "ntLink_1:51267-51766"
"8" "lncRNA_008" "ntLink_2:372230-372612"
"9" "lncRNA_009" "ntLink_2:38624-38842"
"10" "lncRNA_010" "ntLink_2:212675-212875"
"11" "lncRNA_011" "ntLink_2:217343-217724"
"12" "lncRNA_012" "ntLink_2:330553-331392"
"13" "lncRNA_013" "ntLink_3:56702-62168"
"14" "lncRNA_014" "ntLink_3:76569-83225"
"15" "lncRNA_015" "ntLink_3:95734-101198"
"16" "lncRNA_016" "ntLink_3:119793-120695"
"17" "lncRNA_017" "ntLink_3:11211-24657"
"18" "lncRNA_018" "ntLink_3:39725-40230"
"19" "lncRNA_019" "ntLink_3:67953-68641"
"20" "lncRNA_020" "ntLink_3:9796-10179"
"21" "lncRNA_021" "ntLink_3:40764-41120"
"22" "lncRNA_022" "ntLink_3:49368-49855"
"23" "lncRNA_023" "ntLink_3:108071-108286"
"24" "lncRNA_024" "ntLink_4:50937-67599"
"25" "lncRNA_025" "ntLink_4:173140-173841"
"26" "lncRNA_026" "ntLink_4:197591-202114"
"27" "lncRNA_027" "ntLink_4:197592-202114"
"28" "lncRNA_028" "ntLink_4:205712-220348"
"29" "lncRNA_029" "ntLink_4:205712-224414"
"30" "lncRNA_030" "ntLink_4:209761-214373"
"31" "lncRNA_031" "ntLink_4:209761-217244"
"32" "lncRNA_032" "ntLink_4:209775-220348"
"33" "lncRNA_033" "ntLink_4:209807-214373"
"34" "lncRNA_034" "ntLink_4:231799-292418"
"35" "lncRNA_035" "ntLink_4:234879-284021"
"36" "lncRNA_036" "ntLink_4:234879-288447"
"37" "lncRNA_037" "ntLink_4:234879-292418"
"38" "lncRNA_038" "ntLink_4:78823-83718"
"39" "lncRNA_039" "ntLink_4:279832-284551"
"40" "lncRNA_040" "ntLink_4:283892-288383"
"41" "lncRNA_041" "ntLink_4:287958-292449"
"42" "lncRNA_042" "ntLink_4:293008-301486"
"43" "lncRNA_043" "ntLink_4:296092-300581"
"44" "lncRNA_044" "ntLink_4:138410-138915"
"45" "lncRNA_045" "ntLink_4:154801-155224"
"46" "lncRNA_046" "ntLink_6:165288-166854"
"47" "lncRNA_047" "ntLink_6:191352-193228"
"48" "lncRNA_048" "ntLink_6:191353-193228"
"49" "lncRNA_049" "ntLink_6:887024-888774"
"50" "lncRNA_050" "ntLink_6:927634-941396"
"51" "lncRNA_051" "ntLink_6:1001965-1008241"
"52" "lncRNA_052" "ntLink_6:1014945-1021328"
"53" "lncRNA_053" "ntLink_6:1169356-1171465"
"54" "lncRNA_054" "ntLink_6:1238382-1240516"
"55" "lncRNA_055" "ntLink_6:1298281-1299686"
"56" "lncRNA_056" "ntLink_6:1556697-1558178"
"57" "lncRNA_057" "ntLink_6:1731339-1743427"
"58" "lncRNA_058" "ntLink_6:1760035-1761189"
"59" "lncRNA_059" "ntLink_6:1761499-1763251"
"60" "lncRNA_060" "ntLink_6:1807662-1813376"
"61" "lncRNA_061" "ntLink_6:1810184-1813376"
"62" "lncRNA_062" "ntLink_6:2322048-2324010"
"63" "lncRNA_063" "ntLink_6:2344447-2346508"
"64" "lncRNA_064" "ntLink_6:2344447-2348350"
"65" "lncRNA_065" "ntLink_6:3021294-3023864"
"66" "lncRNA_066" "ntLink_6:3104605-3127014"
"67" "lncRNA_067" "ntLink_6:3153310-3161270"
"68" "lncRNA_068" "ntLink_6:3153310-3161270"
"69" "lncRNA_069" "ntLink_6:3154320-3161270"
"70" "lncRNA_070" "ntLink_6:3159118-3161270"
"71" "lncRNA_071" "ntLink_6:3303635-3308522"
"72" "lncRNA_072" "ntLink_6:3333659-3335439"
"73" "lncRNA_073" "ntLink_6:3403792-3405295"
"74" "lncRNA_074" "ntLink_6:3723575-3725631"
"75" "lncRNA_075" "ntLink_6:3728362-3729877"
"76" "lncRNA_076" "ntLink_6:3732721-3736180"
"77" "lncRNA_077" "ntLink_6:3902456-3904097"
"78" "lncRNA_078" "ntLink_6:4200605-4200879"
"79" "lncRNA_079" "ntLink_6:4643942-4695273"
"80" "lncRNA_080" "ntLink_6:4644236-4695273"
"81" "lncRNA_081" "ntLink_6:4774294-4776062"
"82" "lncRNA_082" "ntLink_6:4876497-4879026"
"83" "lncRNA_083" "ntLink_6:4934724-4936246"
"84" "lncRNA_084" "ntLink_6:4935133-4936246"
