# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/08-Ptuh-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam" "../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Ptuh-Hisat/RNA-POC-47.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-48.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-50.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-53.sorted.bam	../output/06-Ptuh-Hisat/RNA-POC-57.sorted.bam
lncRNA_111	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	164391;961867;1488515;14472357;14599478;15971946;15992111	165433;962189;1491636;14473475;14611432;15992481;16119739	+;+;+;+;+;+;+	165356	0	0	0	0	0
lncRNA_112	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	164761;2211133;14632847;16255297	165433;2213424;14635112;16255555	+;+;+;+	5490	0	0	0	0	0
lncRNA_113	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	245818;2228137;14787867;16313111	248612;2228937;14789111;16314211	+;+;+;+	5942	0	0	0	0	0
lncRNA_114	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	551812;2228124;14846143;16329191	553744;2228616;14847993;16337624	+;+;+;+	12711	0	0	0	0	0
lncRNA_117	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	851159;3114865;15386326;16891243	852146;3117138;15392287;16893298	+;+;+;+	11280	0	0	0	0	0
lncRNA_118	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	851173;3113757;15389159;17415132	852146;3117669;15392287;17419115	+;+;+;+	12000	0	0	0	0	0
lncRNA_119	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	958612;3113757;15479186;17417394	961727;3117669;15479418;17419115	+;+;+;+	8984	0	0	0	0	0
lncRNA_115	Pocillopora_meandrina_HIv1___Sc1111111	2684191	2684468	+	278	0	0	0	0	0
lncRNA_116	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	2796415;16811129	2797736;16817926	+;+	8120	0	0	0	0	0
lncRNA_121	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3483861;3582384;17663469	3484415;3583786;17664151	+;+;+	2641	0	0	0	0	0
lncRNA_122	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3639929;17711752	3641246;17712468	+;+	2035	0	0	0	0	0
lncRNA_123	Pocillopora_meandrina_HIv1___Sc1111111;Pocillopora_meandrina_HIv1___Sc1111111	3921674;18584294	3924595;18584584	+;+	3213	0	0	0	0	0
