"target","std_gene_name"
"FUN_004714-T1","DIS3L"
"FUN_013145-T1","EXOSC10"
"FUN_023643-T1","EXOSC1"
"FUN_032193-T1","EXOSC6"
"FUN_023943-T1","EXOSC9"
"FUN_008428-T1","EXOSC5"
"FUN_039874-T1","EXOSC2"
"FUN_004375-T1","EXOSC3"
"FUN_023943-T2","EXOSC9"
"FUN_024561-T1","EXOSC2"
"FUN_022663-T1","EXOSC4"
"FUN_007011-T1","DIS3"
"FUN_035679-T1","EXOSC7"
"FUN_038116-T1","ZFC3H1"
"FUN_032815-T1","ZFC3H1"
"FUN_038104-T1","ZFC3H1"
"FUN_041498-T1","ZFC3H1"
"FUN_016708-T1","ZFC3H1"
"FUN_000895-T1","ZFC3H1"
"FUN_011876-T1","ZFC3H1"
"FUN_041549-T2","ZFC3H1"
"FUN_003878-T1","ZFC3H1"
"FUN_038803-T1","ZFC3H1"
"FUN_004415-T1","ZFC3H1"
"FUN_038105-T1","ZFC3H1"
"FUN_015450-T1","ZFC3H1"
"FUN_041731-T1","INTS10"
"FUN_032825-T1","INTS10"
"FUN_041731-T2","INTS10"
"FUN_044804-T1","INTS11"
"FUN_037569-T1","INTS12"
"FUN_024863-T1","INTS13"
"FUN_040242-T2","INTS14"
"FUN_040242-T1","INTS14"
"FUN_010827-T1","INTS2"
"FUN_040861-T1","INTS3"
"FUN_041921-T1","INTS4"
"FUN_041827-T1","INTS6"
"FUN_032118-T1","INTS7"
"FUN_034936-T1","INTS8"
"FUN_006936-T2","INTS9"
"FUN_029200-T1","RDRP"
"FUN_000213-T2","RDRP"
"FUN_029184-T1","RDRP"
"FUN_000419-T1","RDRP"
"FUN_010597-T1","RDRP"
"FUN_045369-T1","RDRP"
"FUN_016587-T1","RDRP"
"FUN_010598-T1","RDRP"
"FUN_029182-T1","RDRP"
"FUN_029179-T1","RDRP"
"FUN_000213-T1","RDRP"
"FUN_010596-T1","RDRP"
"FUN_000632-T1","HSPA8"
"FUN_005372-T2","HSPA8"
"FUN_017781-T1","HSPA8"
"FUN_005372-T1","HSPA8"
"FUN_035777-T1","PAPD5"
"FUN_008375-T1","DZIP3"
"FUN_042971-T1","DROSHA"
"FUN_032832-T1","SRRT"
"FUN_038418-T1","DDX5"
"FUN_038315-T1","TNRC6"
"FUN_029414-T3","MTREX"
"FUN_007775-T1","XPO5"
"FUN_014592-T1","DGCR8"
"FUN_037091-T1","AGO3"
"FUN_032699-T1","AGO3"
"FUN_004040-T1","TUT7"
"FUN_004040-T1","TUT4"
"FUN_012301-T1","SFPQ"
"FUN_014530-T1","RAN"
"FUN_012301-T1","NONO"
"FUN_043532-T1","KHSRP"
"FUN_032699-T1","AGO4"
"FUN_008104-T1","HSP90AA1"
"FUN_016352-T1","DIS3L2"
"FUN_032699-T1","AGO1"
"FUN_032747-T1","AGO2"
"FUN_032699-T1","AGO2"
"FUN_032749-T1","AGO2"
"FUN_038418-T1","DDX17"
"FUN_008282-T1","DICER1"
"FUN_008214-T1","DICER1"
"FUN_008214-T1","DICER2"
"FUN_042871-T1","HENMT1"
"FUN_005473-T1","HYL1"
"FUN_012544-T1","LIN28A"
"FUN_013400-T1","YBX1"
"FUN_037073-T2","PHAX"
"FUN_032117-T1","XPO1"
"FUN_008664-T1","PQBP1"
"FUN_012301-T1","PSPC1"
