Orthogroup	Species	Porites_evermanni_v1.annot.pep	Orthologs
OG0000002	Apulchra-genome.pep	Peve_00016791, Peve_00034463, Peve_00027449, Peve_00009327, Peve_00033337, Peve_00001796, Peve_00041274, Peve_00038797, Peve_00006137, Peve_00036777, Peve_00041631, Peve_00019195, Peve_00016395, Peve_00021966, Peve_00036081, Peve_00026418, Peve_00019388, Peve_00020912, Peve_00012880, Peve_00007790, Peve_00032813, Peve_00042829, Peve_00020735, Peve_00018885, Peve_00032160, Peve_00035135, Peve_00025888, Peve_00017675, Peve_00045115, Peve_00013305, Peve_00005636, Peve_00032359, Peve_00021963, Peve_00043250, Peve_00001414, Peve_00042616, Peve_00012202, Peve_00041671, Peve_00004230, Peve_00014248, Peve_00033181, Peve_00009840, Peve_00035628, Peve_00004289, Peve_00004136, Peve_00040233, Peve_00037437, Peve_00043719, Peve_00008218, Peve_00007934, Peve_00030945, Peve_00004434, Peve_00001625, Peve_00020955, Peve_00044234, Peve_00027924, Peve_00020737, Peve_00040255, Peve_00045054, Peve_00036422, Peve_00025370, Peve_00002146, Peve_00008263, Peve_00034720, Peve_00032073, Peve_00032072, Peve_00016790, Peve_00006135, Peve_00026117, Peve_00024999, Peve_00044589, Peve_00021594, Peve_00042989, Peve_00007286, Peve_00002655, Peve_00019795, Peve_00019799, Peve_00039527, Peve_00025905, Peve_00044794, Peve_00044795, Peve_00031816, Peve_00039632, Peve_00028506, Peve_00015808, Peve_00003092, Peve_00020810, Peve_00041121, Peve_00040249, Peve_00040268, Peve_00005136, Peve_00011199, Peve_00021356, Peve_00034865, Peve_00007662, Peve_00024269, Peve_00041423, Peve_00043096, Peve_00041344, Peve_00029650, Peve_00041612, Peve_00039359, Peve_00028641, Peve_00031198, Peve_00033406, Peve_00043367, Peve_00033333, Peve_00023625, Peve_00027081, Peve_00031115, Peve_00022209, Peve_00005038, Peve_00018110, Peve_00030966, Peve_00029801	FUN_044614-T1
OG0000005	Pocillopora_meandrina_HIv1.genes.pep	Peve_00003356, Peve_00001043, Peve_00018375, Peve_00035913, Peve_00023447, Peve_00043470, Peve_00004743, Peve_00036430, Peve_00036426, Peve_00019797, Peve_00022268, Peve_00025894, Peve_00008811, Peve_00023678, Peve_00039298, Peve_00029418, Peve_00039393, Peve_00031131, Peve_00031134, Peve_00029976, Peve_00029978, Peve_00008908, Peve_00025212, Peve_00023152, Peve_00010659, Peve_00026379, Peve_00043082, Peve_00026267, Peve_00043504, Peve_00022882, Peve_00036436, Peve_00010674, Peve_00012637, Peve_00023437, Peve_00003378, Peve_00007843, Peve_00041183, Peve_00007751, Peve_00038000, Peve_00041176, Peve_00014471, Peve_00015975, Peve_00023287, Peve_00019055, Peve_00024891, Peve_00029060, Peve_00000918, Peve_00027738, Peve_00031724, Peve_00019944, Peve_00043131, Peve_00041201, Peve_00031507, Peve_00045272, Peve_00028286, Peve_00035857, Peve_00036011, Peve_00033455, Peve_00020256, Peve_00043098, Peve_00009187, Peve_00000311, Peve_00045122, Peve_00011262, Peve_00043109, Peve_00036012, Peve_00012340, Peve_00020680, Peve_00043108, Peve_00002579, Peve_00010381, Peve_00035443, Peve_00015930, Peve_00016261, Peve_00025935, Peve_00023063, Peve_00041185, Peve_00015929, Peve_00002582, Peve_00030733, Peve_00042139, Peve_00041556, Peve_00045271, Peve_00027739, Peve_00041892, Peve_00031725, Peve_00034964	Pocillopora_meandrina_HIv1___RNAseq.g13090.t1
OG0000007	Pocillopora_meandrina_HIv1.genes.pep	Peve_00010208, Peve_00036218, Peve_00033866, Peve_00033008, Peve_00013138, Peve_00014391, Peve_00020716, Peve_00044256, Peve_00041807, Peve_00044797, Peve_00029947, Peve_00042953, Peve_00005035, Peve_00014129, Peve_00032804, Peve_00036526, Peve_00042380, Peve_00011944, Peve_00036425, Peve_00028507, Peve_00042442, Peve_00008625, Peve_00016405, Peve_00035521, Peve_00030340, Peve_00025679, Peve_00022716, Peve_00000307, Peve_00038156, Peve_00039434, Peve_00042704, Peve_00001569, Peve_00030947, Peve_00019279, Peve_00021965, Peve_00036080, Peve_00020911, Peve_00032365, Peve_00043249, Peve_00023024, Peve_00005637, Peve_00026416, Peve_00016788, Peve_00040226, Peve_00024266, Peve_00039340, Peve_00012882, Peve_00039361, Peve_00025367, Peve_00045048, Peve_00025886, Peve_00019385, Peve_00037755, Peve_00028635, Peve_00045118, Peve_00043194, Peve_00041670, Peve_00004229, Peve_00022219, Peve_00041278, Peve_00006438, Peve_00016393, Peve_00033334, Peve_00008141, Peve_00001415, Peve_00007025, Peve_00009455, Peve_00037386, Peve_00034464, Peve_00013302, Peve_00034721, Peve_00041342, Peve_00036419, Peve_00010739, Peve_00035096, Peve_00020015, Peve_00040230, Peve_00004137, Peve_00008221, Peve_00004440, Peve_00042615, Peve_00006077, Peve_00041628	Pocillopora_meandrina_HIv1___RNAseq.g23297.t1
OG0000012	Apulchra-genome.pep	Peve_00001115	FUN_038501-T1
OG0000012	Apulchra-genome.pep	Peve_00023619, Peve_00034049, Peve_00032264, Peve_00026538, Peve_00026407, Peve_00044315, Peve_00021744, Peve_00016693, Peve_00018565, Peve_00043283, Peve_00012902, Peve_00003454, Peve_00037488, Peve_00027379, Peve_00006145, Peve_00006146, Peve_00004518, Peve_00037487, Peve_00018332, Peve_00018331, Peve_00037486, Peve_00018327, Peve_00006631, Peve_00000111, Peve_00018326, Peve_00018334, Peve_00034046, Peve_00034044, Peve_00034040, Peve_00034039, Peve_00034037, Peve_00034043, Peve_00034050, Peve_00034045, Peve_00005151, Peve_00005150, Peve_00021227, Peve_00032049, Peve_00005149, Peve_00021198, Peve_00018510, Peve_00033777, Peve_00021216, Peve_00026584, Peve_00021223, Peve_00021224, Peve_00021222, Peve_00021206, Peve_00021200, Peve_00033778, Peve_00029189, Peve_00026168, Peve_00031777, Peve_00029188, Peve_00031778, Peve_00031776, Peve_00031775, Peve_00018512, Peve_00018514, Peve_00027131, Peve_00018513, Peve_00041327, Peve_00021215, Peve_00021203, Peve_00021225, Peve_00021201, Peve_00021205, Peve_00021228, Peve_00021208, Peve_00009480, Peve_00021209, Peve_00021199, Peve_00021204, Peve_00026587, Peve_00021218, Peve_00026586	FUN_037169-T1
OG0000013	Pocillopora_meandrina_HIv1.genes.pep	Peve_00000833	Pocillopora_meandrina_HIv1___RNAseq.g25149.t1
OG0000013	Apulchra-genome.pep	Peve_00000833	FUN_027114-T1, FUN_027113-T1, FUN_027112-T1, FUN_027115-T1, FUN_027111-T1, FUN_027110-T1, FUN_027108-T1, FUN_027109-T1, FUN_005691-T1, FUN_021828-T1, FUN_027104-T1, FUN_027119-T1, FUN_025151-T1, FUN_005632-T1, FUN_039477-T1, FUN_039454-T1, FUN_005651-T1, FUN_005633-T1, FUN_005636-T1, FUN_005654-T1, FUN_005631-T1, FUN_025148-T1, FUN_005641-T1, FUN_005667-T1, FUN_027106-T1, FUN_005687-T1, FUN_027116-T1, FUN_027118-T1, FUN_027121-T1, FUN_005660-T1, FUN_005668-T1, FUN_005676-T1, FUN_003458-T1, FUN_005648-T1, FUN_025152-T1, FUN_005652-T1, FUN_005650-T1, FUN_005630-T1, FUN_005692-T1, FUN_005683-T1, FUN_005635-T1, FUN_005682-T1, FUN_005663-T1, FUN_005669-T1, FUN_005638-T1, FUN_005656-T1, FUN_005659-T1, FUN_005640-T1, FUN_005653-T1, FUN_005634-T1, FUN_027102-T1, FUN_027105-T1, FUN_027120-T1, FUN_005672-T1, FUN_005673-T1, FUN_025150-T1, FUN_025149-T1, FUN_005677-T1, FUN_005666-T1, FUN_005647-T1, FUN_005680-T1, FUN_005690-T1, FUN_005664-T1, FUN_005662-T1, FUN_025154-T1, FUN_005695-T1, FUN_025153-T1, FUN_005686-T1, FUN_005661-T1, FUN_005642-T1, FUN_005637-T1, FUN_005655-T1, FUN_005658-T1, FUN_005670-T1, FUN_025147-T1
OG0000014	Apulchra-genome.pep	Peve_00044038, Peve_00004919, Peve_00044037, Peve_00028762, Peve_00004925, Peve_00037087, Peve_00002914, Peve_00002913, Peve_00027601, Peve_00037056, Peve_00006473, Peve_00006467, Peve_00027624, Peve_00034128, Peve_00034129, Peve_00034132, Peve_00023755, Peve_00034127, Peve_00023754, Peve_00030754, Peve_00040120, Peve_00034968, Peve_00032347, Peve_00019557, Peve_00004740, Peve_00006373, Peve_00005920, Peve_00022377, Peve_00022378, Peve_00025802, Peve_00025800, Peve_00025797, Peve_00025801, Peve_00032082, Peve_00006132, Peve_00038331, Peve_00026112, Peve_00038074, Peve_00038772, Peve_00038706, Peve_00018768, Peve_00038335, Peve_00038334, Peve_00038329, Peve_00000639, Peve_00038874, Peve_00040370, Peve_00031162, Peve_00019561, Peve_00032348, Peve_00009274, Peve_00033271, Peve_00026476, Peve_00042996, Peve_00028389, Peve_00028390, Peve_00013631, Peve_00015081, Peve_00032662, Peve_00002434, Peve_00009938, Peve_00020485, Peve_00028391, Peve_00026475, Peve_00042871, Peve_00037175, Peve_00030253, Peve_00009268, Peve_00009278, Peve_00026734, Peve_00038852, Peve_00032661, Peve_00009939, Peve_00004739	FUN_033705-T1
OG0000017	Pocillopora_meandrina_HIv1.genes.pep	Peve_00038444, Peve_00038450	Pocillopora_meandrina_HIv1___TS.g18385.t1
OG0000017	Apulchra-genome.pep	Peve_00038444	FUN_003905-T1
