taxid	gene_id	gene_symbol	GOID	evidence
apul	FUN_000046	FUN_000046	GO:0000786	SwissProt
apul	FUN_000047	FUN_000047	GO:0000786	SwissProt
apul	FUN_000048	FUN_000048	GO:0000786	SwissProt
apul	FUN_000049	FUN_000049	GO:0000786	SwissProt
apul	FUN_000050	FUN_000050	GO:0000786	SwissProt
apul	FUN_000051	FUN_000051	GO:0000786	SwissProt
apul	FUN_000052	FUN_000052	GO:0000786	SwissProt
apul	FUN_000053	FUN_000053	GO:0000786	SwissProt
apul	FUN_000054	FUN_000054	GO:0000786	SwissProt
apul	FUN_000055	FUN_000055	GO:0000786	SwissProt
apul	FUN_000056	FUN_000056	GO:0000786	SwissProt
apul	FUN_000057	FUN_000057	GO:0000786	SwissProt
apul	FUN_000058	FUN_000058	GO:0000786	SwissProt
apul	FUN_000059	FUN_000059	GO:0000786	SwissProt
apul	FUN_000060	FUN_000060	GO:0000786	SwissProt
apul	FUN_000061	FUN_000061	GO:0000786	SwissProt
apul	FUN_000062	FUN_000062	GO:0000786	SwissProt
apul	FUN_000063	FUN_000063	GO:0000786	SwissProt
apul	FUN_000064	FUN_000064	GO:0000786	SwissProt
apul	FUN_000065	FUN_000065	GO:0000786	SwissProt
apul	FUN_000066	FUN_000066	GO:0000786	SwissProt
apul	FUN_000067	FUN_000067	GO:0000786	SwissProt
apul	FUN_000068	FUN_000068	GO:0000786	SwissProt
apul	FUN_000069	FUN_000069	GO:0000786	SwissProt
apul	FUN_000070	FUN_000070	GO:0000786	SwissProt
apul	FUN_000071	FUN_000071	GO:0000786	SwissProt
apul	FUN_000072	FUN_000072	GO:0000786	SwissProt
apul	FUN_000073	FUN_000073	GO:0000786	SwissProt
apul	FUN_000074	FUN_000074	GO:0000786	SwissProt
apul	FUN_000075	FUN_000075	GO:0000786	SwissProt
apul	FUN_000076	FUN_000076	GO:0000786	SwissProt
apul	FUN_000077	FUN_000077	GO:0000786	SwissProt
apul	FUN_000078	FUN_000078	GO:0000786	SwissProt
apul	FUN_000079	FUN_000079	GO:0000786	SwissProt
apul	FUN_000080	FUN_000080	GO:0000786	SwissProt
apul	FUN_000081	FUN_000081	GO:0000786	SwissProt
apul	FUN_000082	FUN_000082	GO:0000786	SwissProt
apul	FUN_000083	FUN_000083	GO:0000786	SwissProt
apul	FUN_000084	FUN_000084	GO:0000786	SwissProt
apul	FUN_000085	FUN_000085	GO:0000786	SwissProt
apul	FUN_000086	FUN_000086	GO:0000786	SwissProt
apul	FUN_000087	FUN_000087	GO:0000786	SwissProt
apul	FUN_000088	FUN_000088	GO:0000786	SwissProt
apul	FUN_000089	FUN_000089	GO:0000786	SwissProt
apul	FUN_000090	FUN_000090	GO:0000786	SwissProt
apul	FUN_000091	FUN_000091	GO:0000786	SwissProt
apul	FUN_000092	FUN_000092	GO:0000786	SwissProt
apul	FUN_000093	FUN_000093	GO:0000786	SwissProt
apul	FUN_000094	FUN_000094	GO:0000786	SwissProt
apul	FUN_000095	FUN_000095	GO:0000786	SwissProt
apul	FUN_000096	FUN_000096	GO:0000786	SwissProt
apul	FUN_000097	FUN_000097	GO:0000786	SwissProt
apul	FUN_000098	FUN_000098	GO:0000786	SwissProt
apul	FUN_000099	FUN_000099	GO:0000786	SwissProt
apul	FUN_000100	FUN_000100	GO:0000786	SwissProt
apul	FUN_000101	FUN_000101	GO:0000786	SwissProt
apul	FUN_000102	FUN_000102	GO:0000786	SwissProt
apul	FUN_000103	FUN_000103	GO:0000786	SwissProt
apul	FUN_000104	FUN_000104	GO:0000786	SwissProt
apul	FUN_000105	FUN_000105	GO:0000786	SwissProt
apul	FUN_000106	FUN_000106	GO:0000786	SwissProt
apul	FUN_000107	FUN_000107	GO:0000786	SwissProt
apul	FUN_000108	FUN_000108	GO:0000786	SwissProt
apul	FUN_000109	FUN_000109	GO:0000786	SwissProt
apul	FUN_000110	FUN_000110	GO:0000786	SwissProt
apul	FUN_000111	FUN_000111	GO:0000786	SwissProt
apul	FUN_000112	FUN_000112	GO:0000786	SwissProt
apul	FUN_000113	FUN_000113	GO:0000786	SwissProt
apul	FUN_000114	FUN_000114	GO:0000786	SwissProt
apul	FUN_000115	FUN_000115	GO:0000786	SwissProt
apul	FUN_000116	FUN_000116	GO:0000786	SwissProt
apul	FUN_000117	FUN_000117	GO:0000786	SwissProt
apul	FUN_000118	FUN_000118	GO:0000786	SwissProt
apul	FUN_000119	FUN_000119	GO:0000786	SwissProt
apul	FUN_000120	FUN_000120	GO:0000786	SwissProt
apul	FUN_000121	FUN_000121	GO:0000786	SwissProt
apul	FUN_000122	FUN_000122	GO:0000786	SwissProt
apul	FUN_000123	FUN_000123	GO:0000786	SwissProt
apul	FUN_000124	FUN_000124	GO:0000786	SwissProt
apul	FUN_000125	FUN_000125	GO:0000786	SwissProt
apul	FUN_000126	FUN_000126	GO:0000786	SwissProt
apul	FUN_000127	FUN_000127	GO:0000786	SwissProt
apul	FUN_000128	FUN_000128	GO:0000786	SwissProt
apul	FUN_000129	FUN_000129	GO:0000786	SwissProt
apul	FUN_000130	FUN_000130	GO:0000786	SwissProt
apul	FUN_000131	FUN_000131	GO:0000786	SwissProt
apul	FUN_000132	FUN_000132	GO:0000786	SwissProt
apul	FUN_000133	FUN_000133	GO:0000786	SwissProt
apul	FUN_000134	FUN_000134	GO:0000786	SwissProt
apul	FUN_000135	FUN_000135	GO:0000786	SwissProt
apul	FUN_000136	FUN_000136	GO:0000786	SwissProt
apul	FUN_000137	FUN_000137	GO:0000786	SwissProt
apul	FUN_000138	FUN_000138	GO:0000786	SwissProt
apul	FUN_000139	FUN_000139	GO:0000786	SwissProt
apul	FUN_000140	FUN_000140	GO:0000786	SwissProt
apul	FUN_000141	FUN_000141	GO:0000786	SwissProt
apul	FUN_000142	FUN_000142	GO:0000786	SwissProt
apul	FUN_000143	FUN_000143	GO:0000786	SwissProt
apul	FUN_000144	FUN_000144	GO:0000786	SwissProt
apul	FUN_000145	FUN_000145	GO:0000786	SwissProt
apul	FUN_000146	FUN_000146	GO:0000786	SwissProt
apul	FUN_000147	FUN_000147	GO:0000786	SwissProt
apul	FUN_000148	FUN_000148	GO:0000786	SwissProt
apul	FUN_000149	FUN_000149	GO:0000786	SwissProt
apul	FUN_000150	FUN_000150	GO:0000786	SwissProt
apul	FUN_000151	FUN_000151	GO:0000786	SwissProt
apul	FUN_000152	FUN_000152	GO:0000786	SwissProt
apul	FUN_000153	FUN_000153	GO:0000786	SwissProt
apul	FUN_000154	FUN_000154	GO:0000786	SwissProt
apul	FUN_000155	FUN_000155	GO:0000786	SwissProt
apul	FUN_000156	FUN_000156	GO:0000786	SwissProt
apul	FUN_000157	FUN_000157	GO:0000786	SwissProt
apul	FUN_000158	FUN_000158	GO:0000786	SwissProt
apul	FUN_000159	FUN_000159	GO:0000786	SwissProt
apul	FUN_000160	FUN_000160	GO:0000786	SwissProt
apul	FUN_000161	FUN_000161	GO:0000786	SwissProt
apul	FUN_000162	FUN_000162	GO:0000786	SwissProt
apul	FUN_000163	FUN_000163	GO:0000786	SwissProt
apul	FUN_000164	FUN_000164	GO:0000786	SwissProt
apul	FUN_000165	FUN_000165	GO:0000786	SwissProt
apul	FUN_000166	FUN_000166	GO:0000786	SwissProt
apul	FUN_000167	FUN_000167	GO:0000786	SwissProt
apul	FUN_000168	FUN_000168	GO:0000786	SwissProt
apul	FUN_000169	FUN_000169	GO:0000786	SwissProt
apul	FUN_000170	FUN_000170	GO:0000786	SwissProt
apul	FUN_000171	FUN_000171	GO:0000786	SwissProt
apul	FUN_000172	FUN_000172	GO:0000786	SwissProt
apul	FUN_000173	FUN_000173	GO:0000786	SwissProt
apul	FUN_000174	FUN_000174	GO:0000786	SwissProt
apul	FUN_000175	FUN_000175	GO:0000786	SwissProt
apul	FUN_000176	FUN_000176	GO:0000786	SwissProt
apul	FUN_000177	FUN_000177	GO:0000786	SwissProt
apul	FUN_000178	FUN_000178	GO:0000786	SwissProt
apul	FUN_000179	FUN_000179	GO:0000786	SwissProt
apul	FUN_000180	FUN_000180	GO:0000786	SwissProt
apul	FUN_000185	FUN_000185	GO:0003676	SwissProt
apul	FUN_000209	FUN_000209	GO:0004252	SwissProt
apul	FUN_000210	FUN_000210	GO:0001525	SwissProt
apul	FUN_000212	FUN_000212	GO:0005737	SwissProt
apul	FUN_000213	FUN_000213	GO:0003723	SwissProt
apul	FUN_000228	FUN_000228	GO:0001750	SwissProt
apul	FUN_000229	FUN_000229	GO:0000079	SwissProt
apul	FUN_000230	FUN_000230	GO:0000175	SwissProt
apul	FUN_000242	FUN_000242	GO:0005743	SwissProt
apul	FUN_000244	FUN_000244	GO:0005739	SwissProt
apul	FUN_000247	FUN_000247	GO:0005576	SwissProt
apul	FUN_000264	FUN_000264	GO:0000976	SwissProt
apul	FUN_000265	FUN_000265	GO:0000785	SwissProt
