"miRNA","lncRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"Cluster_10051","lncRNA_1046",0.966379213545066,0.00736280448941957,0.634959541032138,168,-21.51,"2 21","437 458",19,"73.68%","84.21%"
"Cluster_10051","lncRNA_11402",0.944886055092821,0.015402911478845,0.763838870029651,167,-21.38,"2 16","7471 7492",14,"92.86%","92.86%"
"Cluster_10051","lncRNA_12113",0.933131192100354,0.0205477608332571,0.831764743628048,148,-20.06,"2 21","531 552",19,"57.89%","73.68%"
"Cluster_10051","lncRNA_12197",0.953793574439269,0.0118400691778007,0.707155370270678,146,-20.02,"2 16","504 528",17,"70.59%","76.47%"
"Cluster_10051","lncRNA_12225",0.880347975778741,0.0487822318965007,0.972855157123468,171,-20.75,"2 21","8148 8170",20,"80.00%","85.00%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,146,-20.09,"2 20","25865 25888",20,"60.00%","75.00%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,146,-20.09,"2 20","29955 29978",20,"60.00%","75.00%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,150,-21.15,"2 15","31986 32007",13,"76.92%","84.62%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,156,-20.47,"2 21","20329 20350",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,156,-20.47,"2 21","24547 24568",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,156,-20.47,"2 21","25302 25323",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,156,-20.47,"2 21","28637 28658",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_15206",0.910936958255924,0.0314768675697766,0.925340511191978,156,-20.47,"2 21","29392 29413",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_17271",0.90594346037755,0.0341344814466095,0.944237214115201,151,-20.4,"2 21","47778 47800",20,"60.00%","80.00%"
"Cluster_10051","lncRNA_17273",0.907288480068805,0.0334118686515744,0.939342192730592,151,-20.4,"2 21","47744 47766",20,"60.00%","80.00%"
"Cluster_10051","lncRNA_17520",0.99447934421008,0.00049199410276634,0.572743866580232,151,-20.4,"2 21","3482 3504",20,"60.00%","80.00%"
"Cluster_10051","lncRNA_23602",0.893724800589326,0.0409199018373519,0.972855157123468,169,-22.97,"2 20","95 118",20,"80.00%","90.00%"
"Cluster_10051","lncRNA_27197",0.911403712833766,0.031232002252113,0.923578308636201,163,-22.06,"2 21","13896 13920",22,"72.73%","77.27%"
"Cluster_10051","lncRNA_27523",0.896944825931778,0.039093868354971,0.972855157123468,172,-21.89,"2 21","22620 22641",19,"73.68%","89.47%"
"Cluster_10051","lncRNA_339",0.902567969697401,0.0359695821124778,0.958234348983841,150,-20.15,"2 21","1191 1211",19,"63.16%","78.95%"
"Cluster_10051","lncRNA_4601",0.974352431864629,0.00491162582179648,0.581175362277977,161,-22.44,"2 19","568 592",20,"75.00%","80.00%"
"Cluster_10051","lncRNA_4839",0.888939002019339,0.0436823213296858,0.972855157123468,151,-20.65,"2 16","506 527",14,"78.57%","78.57%"
"Cluster_10051","lncRNA_5926",0.910652226629321,0.0316265422606753,0.926658065507764,161,-21.81,"2 20","3086 3110",21,"76.19%","80.95%"
"Cluster_10051","lncRNA_8473",0.970152318064996,0.00616234155231313,0.60606933647119,152,-22.29,"2 18","7161 7183",17,"76.47%","76.47%"
"Cluster_10051","lncRNA_9216",0.958391638416678,0.0101245452915554,0.674203613154691,151,-20.08,"2 21","350 372",20,"65.00%","75.00%"
"Cluster_10057","lncRNA_10734",0.955298357026345,0.0112690011506225,0.695945539731018,161,-20.58,"2 14","3567 3588",12,"91.67%","100.00%"
