"target","std_gene_name"
"Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3L"
"Pocillopora_meandrina_HIv1___RNAseq.g13822.t1","EXOSC10"
"Pocillopora_meandrina_HIv1___RNAseq.g17818.t1","EXOSC1"
"Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","EXOSC6"
"Pocillopora_meandrina_HIv1___RNAseq.g18860.t1","EXOSC9"
"Pocillopora_meandrina_HIv1___RNAseq.g18051.t1","EXOSC5"
"Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","EXOSC2"
"Pocillopora_meandrina_HIv1___RNAseq.g16792.t1","EXOSC3"
"Pocillopora_meandrina_HIv1___RNAseq.g18660.t1","EXOSC2"
"Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","EXOSC4"
"Pocillopora_meandrina_HIv1___RNAseq.g20537.t1","DIS3"
"Pocillopora_meandrina_HIv1___RNAseq.g28146.t1","EXOSC7"
"Pocillopora_meandrina_HIv1___RNAseq.g28341.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___TS.g19303.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___TS.g10682.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g277.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g29446.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___TS.g10992.t2","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g28545.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g28338.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g11578.t2","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g11586.t2","ZFC3H1"
"Pocillopora_meandrina_HIv1___RNAseq.g25540.t1","ZFC3H1"
"Pocillopora_meandrina_HIv1___TS.g10511.t2","INTS10"
"Pocillopora_meandrina_HIv1___RNAseq.g12965.t1","INTS11"
"Pocillopora_meandrina_HIv1___RNAseq.g1586.t1","INTS12"
"Pocillopora_meandrina_HIv1___TS.g28157.t1","INTS13"
"Pocillopora_meandrina_HIv1___RNAseq.g7781.t1","INTS14"
"Pocillopora_meandrina_HIv1___RNAseq.g20910.t1","INTS2"
"Pocillopora_meandrina_HIv1___RNAseq.g6554.t1","INTS3"
"Pocillopora_meandrina_HIv1___RNAseq.g15623.t1a","INTS4"
"Pocillopora_meandrina_HIv1___RNAseq.g15809.t1","INTS6"
"Pocillopora_meandrina_HIv1___RNAseq.g5380.t1","INTS7"
"Pocillopora_meandrina_HIv1___RNAseq.g27830.t1","INTS8"
"Pocillopora_meandrina_HIv1___RNAseq.g20120.t2","INTS9"
"Pocillopora_meandrina_HIv1___RNAseq.g25527.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g25528.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g28916.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g25501.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g25529.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21499.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g4089.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21498.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21506.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g2974.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21501.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21496.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g4088.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21497.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21504.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g21500.t1","RDRP"
"Pocillopora_meandrina_HIv1___RNAseq.g16016.t1","HSPA8"
"Pocillopora_meandrina_HIv1___RNAseq.g6635.t1","HSPA8"
"Pocillopora_meandrina_HIv1___RNAseq.g9515.t1","HSPA8"
"Pocillopora_meandrina_HIv1___RNAseq.g11902.t1","PAPD5"
"Pocillopora_meandrina_HIv1___TS.g29800.t1","DZIP3"
"Pocillopora_meandrina_HIv1___RNAseq.g8253.t1a","DZIP3"
"Pocillopora_meandrina_HIv1___RNAseq.g7105.t1","DROSHA"
"Pocillopora_meandrina_HIv1___RNAseq.g24969.t3","SRRT"
"Pocillopora_meandrina_HIv1___RNAseq.g1186.t1","DDX5"
"Pocillopora_meandrina_HIv1___RNAseq.g1120.t1","TNRC6"
"Pocillopora_meandrina_HIv1___RNAseq.g17125.t1","MTREX"
"Pocillopora_meandrina_HIv1___TS.g24628.t2","XPO5"
"Pocillopora_meandrina_HIv1___RNAseq.g22731.t1","DGCR8"
"Pocillopora_meandrina_HIv1___RNAseq.g11093.t1","AGO3"
"Pocillopora_meandrina_HIv1___RNAseq.g29941.t1","AGO3"
