,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
1,peve-mir-novel-35,Peve_00027432,3UTR,Peve_00027432;2 21;242 264,-20.62,22,72.73%,77.27%,-0.99995514319204,0.99995514319204,-1,0.00602991134659825
2,peve-mir-novel-10,Peve_00017735,3UTR,Peve_00017735;2 20;661 685,-20.33,21,66.67%,71.43%,0.997938030915672,0.997938030915672,1,0.0408894104551393
3,peve-mir-100,Peve_00020387,3UTR,Peve_00020387;2 21;935 956,-20.73,19,68.42%,73.68%,0.997608159669892,0.997608159669892,1,0.0440400511406639
4,peve-mir-novel-3,Peve_00020926,3UTR,Peve_00020926;2 21;197 216,-25.6,19,78.95%,78.95%,0.99976239721897,0.99976239721897,1,0.0138780829858655
5,peve-mir-novel-41,Peve_00015952,3UTR,Peve_00015952;2 19;471 492,-21.27,17,76.47%,82.35%,0.997844556977271,0.997844556977271,1,0.0418062711782387
6,peve-mir-novel-36,Peve_00013095,3UTR,Peve_00013095;2 21;676 697,-23.84,19,84.21%,89.47%,-0.99757658370632,0.99757658370632,-1,0.0443299128918105
7,peve-mir-novel-10,Peve_00034505,3UTR,Peve_00034505;2 20;824 846,-20.97,19,68.42%,84.21%,0.997938030915673,0.997938030915673,1,0.0408894104551382
8,peve-mir-novel-10,Peve_00029667,3UTR,Peve_00029667;2 19;313 334,-20.44,17,70.59%,76.47%,0.997938030915673,0.997938030915673,1,0.0408894104551382
9,peve-mir-novel-3,Peve_00031940,3UTR,Peve_00031940;2 21;182 200,-20.27,19,78.95%,78.95%,-0.999663016871668,0.999663016871668,-1,0.0165276609923165
10,peve-mir-novel-24,Peve_00008275,3UTR,Peve_00008275;2 20;190 211,-24.67,18,66.67%,83.33%,1,1,1,0
11,peve-mir-100,Peve_00008279,3UTR,Peve_00008279;2 20;557 582,-21.82,22,63.64%,68.18%,0.999909726776791,0.999909726776791,1,0.00855416971793915
12,peve-mir-novel-14a; peve-mir-novel-14b,Peve_00026650,3UTR,Peve_00026650;2 21;106 132,-20.08,24,58.33%,70.83%,-0.998173851896017,0.998173851896017,-1,0.0384794833063837
13,peve-mir-novel-10,Peve_00010128,3UTR,Peve_00010128;2 20;86 111,-20.17,22,59.09%,68.18%,0.997938030915672,0.997938030915672,1,0.0408894104551393
14,peve-mir-novel-15,Peve_00029665,3UTR,Peve_00029665;2 21;933 956,-21.73,21,71.43%,76.19%,-0.997478929018431,0.997478929018431,-1,0.0452146257420912
15,peve-mir-novel-24,Peve_00034585,3UTR,Peve_00034585;2 12;409 430,-22.51,10,80.00%,100.00%,1,1,1,9.48637384723993e-09
16,peve-mir-novel-9,Peve_00008964,3UTR,Peve_00008964;2 20;61 82,-22.26,18,77.78%,88.89%,-0.999794894490907,0.999794894490907,-1,0.0128941051315395
