"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"4",4,"Cluster_1140","Porites_evermani_scaffold_1:220724-266805",175,-20.39,2,21,2909,2932,21,"80.95%","85.71%","Peve_00000108",-0.998781804329405,0.0314266250831325,0.903929377050813,"Q6P4S8","Integrator complex subunit 1 (Int1)","Mus musculus (Mouse)","blastocyst growth [GO:0001832]; inner cell mass cell proliferation [GO:0001833]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; snRNA processing [GO:0016180]; U2 snRNA 3'-end processing [GO:0034474]","GO:0001832; GO:0001833; GO:0005634; GO:0016180; GO:0031965; GO:0032039; GO:0034474; GO:0043066; GO:0043154"
"14",14,"Cluster_1140","Porites_evermani_scaffold_1823:47250-69122",180,-22.69,2,21,440,461,19,"84.21%","89.47%","Peve_00011435",-0.998365252615658,0.0364065585365617,0.909359886114279,"P48733","Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]","Bos taurus (Bovine)","antibacterial innate immune response [GO:0140367]; defense response to Gram-negative bacterium [GO:0050829]","GO:0000922; GO:0005201; GO:0005509; GO:0005576; GO:0005929; GO:0016020; GO:0016323; GO:0016324; GO:0031012; GO:0050829; GO:0060170; GO:0140367"
"25",25,"Cluster_1140","Porites_evermani_scaffold_239:235294-258744",173,-21.7,2,18,1926,1947,16,"87.50%","93.75%","Peve_00017311",-0.999023311227815,0.0281389943499374,0.902057778093395,"O43345","Zinc finger protein 208 (Zinc finger protein 91-like)","Homo sapiens (Human)","regulation of transcription by RNA polymerase II [GO:0006357]","GO:0000978; GO:0001228; GO:0005634; GO:0006357; GO:0008270"
"50",50,"Cluster_1140","Porites_evermani_scaffold_502:44702-87413",175,-20.41,2,21,16799,16822,21,"76.19%","90.48%","Peve_00033721",-0.999771409683522,0.0136123249702019,0.714231839928071,"O00339","Matrilin-2","Homo sapiens (Human)","extracellular matrix organization [GO:0030198]","GO:0005201; GO:0005509; GO:0005576; GO:0030198; GO:0031012; GO:0062023; GO:0120216"
"68",68,"Cluster_1167","Porites_evermani_scaffold_100:248550-275221",147,-21.83,2,17,25698,25722,18,"72.22%","72.22%","Peve_00000226",0.999909726776791,0.00855416971793389,0.573710369894872,"Q9JIS1","Regulating synaptic membrane exocytosis protein 2 (Rab-3-interacting molecule 2) (RIM 2)","Rattus norvegicus (Rat)","adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; calcium ion-regulated exocytosis of neurotransmitter [GO:0048791]; calcium-ion regulated exocytosis [GO:0017156]; cell differentiation [GO:0030154]; establishment of localization in cell [GO:0051649]; exocytosis [GO:0006887]; insulin secretion [GO:0030073]; intracellular protein transport [GO:0006886]; maintenance of presynaptic active zone structure [GO:0048790]; neurotransmitter secretion [GO:0007269]; positive regulation of dendrite extension [GO:1903861]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of gene expression [GO:0010628]; positive regulation of inhibitory postsynaptic potential [GO:0097151]; positive regulation of synaptic transmission [GO:0050806]; regulation of calcium-dependent activation of synaptic vesicle fusion [GO:0150037]; regulation of exocytosis [GO:0017157]; regulation of membrane potential [GO:0042391]; regulation of synaptic plasticity [GO:0048167]; spontaneous neurotransmitter secretion [GO:0061669]; synaptic vesicle docking [GO:0016081]; synaptic vesicle priming [GO:0016082]","GO:0006886; GO:0006887; GO:0007188; GO:0007269; GO:0010628; GO:0016081; GO:0016082; GO:0017156; GO:0017157; GO:0019904; GO:0030073; GO:0030154; GO:0030674; GO:0031267; GO:0032991; GO:0042391; GO:0042734; GO:0042995; GO:0044325; GO:0044877; GO:0045202; GO:0046872; GO:0048167; GO:0048788; GO:0048790; GO:0048791; GO:0050806; GO:0051649; GO:0060077; GO:0061669; GO:0097151; GO:0098684; GO:0098831; GO:0098882; GO:0098978; GO:0098982; GO:0140677; GO:0150037; GO:1903861; GO:2000463"
"77",77,"Cluster_1167","Porites_evermani_scaffold_102:155709-177573",155,-24.9,2,21,16316,16341,23,"65.22%","73.91%","Peve_00000536",0.999910457964593,0.0085194555748794,0.573710369894872,"Q96D71","RalBP1-associated Eps domain-containing protein 1 (RalBP1-interacting protein 1)","Homo sapiens (Human)","endocytosis [GO:0006897]; endosomal transport [GO:0016197]","GO:0005509; GO:0005829; GO:0005886; GO:0005905; GO:0006897; GO:0016197; GO:0017124"
"85",85,"Cluster_1167","Porites_evermani_scaffold_1037:147857-154039",145,-20.33,2,16,309,333,17,"76.47%","76.47%","Peve_00000776",0.998287142619543,0.0372664249833469,0.909359886114279,NA,NA,NA,NA,NA
"86",86,"Cluster_1167","Porites_evermani_scaffold_1037:147857-154039",145,-20.33,2,16,4189,4213,17,"76.47%","76.47%","Peve_00000776",0.998287142619543,0.0372664249833469,0.909359886114279,NA,NA,NA,NA,NA
"107",107,"Cluster_1167","Porites_evermani_scaffold_1087:62454-66305",154,-23.08,2,21,3282,3302,19,"63.16%","84.21%","Peve_00001544",0.999909726776791,0.00855416971793915,0.573710369894872,"O35474","EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)","Mus musculus (Mouse)","cell adhesion [GO:0007155]; positive regulation of cell-substrate adhesion [GO:0010811]","GO:0005509; GO:0005576; GO:0007155; GO:0010811"
"109",109,"Cluster_1167","Porites_evermani_scaffold_1092:92343-97511",145,-23.57,2,21,3989,4014,23,"69.57%","69.57%","Peve_00001636",0.999909726776791,0.00855416971793915,0.573710369894872,NA,NA,NA,NA,NA
