# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/07-Peve-lncRNA-matrix/Peve-lncRNAs.gtf" "-o" "../output/07-Peve-lncRNA-matrix/Peve-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/06-Peve-Hisat/RNA-POR-71.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-73.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-76.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-79.sorted.bam" "../output/06-Peve-Hisat/RNA-POR-82.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/06-Peve-Hisat/RNA-POR-71.sorted.bam	../output/06-Peve-Hisat/RNA-POR-73.sorted.bam	../output/06-Peve-Hisat/RNA-POR-76.sorted.bam	../output/06-Peve-Hisat/RNA-POR-79.sorted.bam	../output/06-Peve-Hisat/RNA-POR-82.sorted.bam
lncRNA_111	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1132;Porites_evermani_scaffold_1132;Porites_evermani_scaffold_1137;Porites_evermani_scaffold_1138	422642;1171611;1171817;136516;158957;155954;19387	423512;1185155;1185155;136779;159267;159871;21776	+;+;+;+;+;+;+	21299	206	135	237	99	207
lncRNA_112	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1133;Porites_evermani_scaffold_1139	1184866;1175978;38311;33561	1189422;1185155;39477;33777	+;+;+;+	15119	379	99	352	103	430
lncRNA_113	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1133;Porites_evermani_scaffold_1139	372244;1176112;94321;115111	372449;1185155;95371;116573	+;+;+;+	11764	364	106	939	294	331
lncRNA_114	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1133;Porites_evermani_scaffold_1139	683877;511911;95571;113672	684281;513955;95889;113938	+;+;+;+	3036	31	16	25	2	42
lncRNA_115	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1133;Porites_evermani_scaffold_1139	1212143;511559;115111;115767	1212328;513287;115459;116448	+;+;+;+	2946	0	0	0	0	0
lncRNA_116	Porites_evermani_scaffold_1;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1134;Porites_evermani_scaffold_1139	1477781;524818;131852;121977	1478177;525785;133821;122243	+;+;+;+	3602	22	18	40	2	10
lncRNA_117	Porites_evermani_scaffold_11;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1134;Porites_evermani_scaffold_114	261426;615444;47139;291112	263111;617627;47473;294212	+;+;+;+	7306	50	8	73	27	27
lncRNA_118	Porites_evermani_scaffold_11;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1134;Porites_evermani_scaffold_114	25817;261439;116112;291673	26461;263111;116234;293189	+;+;+;+	3958	25	0	0	0	17
lncRNA_119	Porites_evermani_scaffold_11;Porites_evermani_scaffold_11;Porites_evermani_scaffold_1135;Porites_evermani_scaffold_114	59161;891132;13468;291677	59394;892111;13671;292911	+;+;+;+	2653	16	0	32	13	18
lncRNA_121	Porites_evermani_scaffold_11;Porites_evermani_scaffold_11;Porites_evermani_scaffold_114;Porites_evermani_scaffold_114	73516;224118;291982;333335	73729;224845;293189;333711	+;+;+;+	2527	0	0	0	0	0
