transcript_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___TS.g26186.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13905.t1,1132,2477,1015,776,516
Pocillopora_meandrina_HIv1___RNAseq.g27475.t1,0,0,0,510,51
Pocillopora_meandrina_HIv1___RNAseq.g27593.t1,635,1064,2000,1601,661
Pocillopora_meandrina_HIv1___RNAseq.g17636.t1,127,106,131,113,39
Pocillopora_meandrina_HIv1___RNAseq.g24392.t1,4404,17346,4974,23525,10539
Pocillopora_meandrina_HIv1___RNAseq.g2989.t1,0,0,0,0,9
Pocillopora_meandrina_HIv1___RNAseq.g3481.t1,1540,476,582,1530,1245
Pocillopora_meandrina_HIv1___RNAseq.g23124.t1,170,60,114,53,0
Pocillopora_meandrina_HIv1___RNAseq.g5036.t1,0,63,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1947.t1,600,294,104,171,123
Pocillopora_meandrina_HIv1___RNAseq.g20992.t1,116,161,81,88,33
Pocillopora_meandrina_HIv1___TS.g7703.t1,11,4,17,18,16
Pocillopora_meandrina_HIv1___RNAseq.g13198.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15310.t1,380,647,712,283,480
Pocillopora_meandrina_HIv1___RNAseq.g3483.t1,4,0,6,48,14
Pocillopora_meandrina_HIv1___RNAseq.g11862.t1,766,401,585,420,74
Pocillopora_meandrina_HIv1___RNAseq.g5428.t1b,175,52,52,47,46
Pocillopora_meandrina_HIv1___RNAseq.g5428.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17074.t2,1591,876,1125,1130,580
Pocillopora_meandrina_HIv1___RNAseq.g7698.t1,300,124,250,160,135
Pocillopora_meandrina_HIv1___RNAseq.g21110.t1,264,335,267,265,282
Pocillopora_meandrina_HIv1___RNAseq.g17854.t1,0,12,7,31,16
Pocillopora_meandrina_HIv1___RNAseq.g10872.t1,652,814,1924,413,239
Pocillopora_meandrina_HIv1___RNAseq.g8446.t1,4002,21,590,3984,3799
Pocillopora_meandrina_HIv1___RNAseq.g15297.t1,52,37,63,60,108
Pocillopora_meandrina_HIv1___RNAseq.g13060.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7377.t1,836,333,1012,578,512
Pocillopora_meandrina_HIv1___RNAseq.g556.t1,4,2,8,34,36
Pocillopora_meandrina_HIv1___RNAseq.g12771.t1,604,899,1331,881,459
Pocillopora_meandrina_HIv1___RNAseq.g10462.t1,220,213,269,58,0
Pocillopora_meandrina_HIv1___TS.g15701.t1,57,372,6,48,0
Pocillopora_meandrina_HIv1___RNAseq.g27737.t1,896,400,452,261,182
Pocillopora_meandrina_HIv1___RNAseq.g2801.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30338.t1,2396,2704,2512,2460,1045
Pocillopora_meandrina_HIv1___RNAseq.g1945.t1,527,258,997,949,504
Pocillopora_meandrina_HIv1___RNAseq.g18483.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7375.t1,89,8,128,26,19
Pocillopora_meandrina_HIv1___RNAseq.g4607.t1,1390,2087,1918,2268,1260
Pocillopora_meandrina_HIv1___RNAseq.g9633.t1,128,325,193,259,58
Pocillopora_meandrina_HIv1___TS.g29437.t1,0,0,0,3,0
Pocillopora_meandrina_HIv1___RNAseq.g11860.t1,38,152,186,113,83
Pocillopora_meandrina_HIv1___RNAseq.g16004.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7067.t1,852,968,0,186,22
Pocillopora_meandrina_HIv1___RNAseq.g11655.t1,1565,2013,2705,2643,533
Pocillopora_meandrina_HIv1___RNAseq.g21208.t1,312,200,194,106,80
Pocillopora_meandrina_HIv1___RNAseq.g18481.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3537.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22094.t1,92,263,32,104,18
Pocillopora_meandrina_HIv1___RNAseq.g17295.t1,288,146,337,180,271
Pocillopora_meandrina_HIv1___RNAseq.g24072.t1,55,73,0,0,30
