"","gene_ID","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","X","miRNA","V2","V3","V4.x","V5","V6","V7","V8","V9","V10","V11","PCC.cor","p_value","adjusted_p_value"
"1","FUN_001453","GO:0002003","angiotensin maturation",1,1,0.05,0.046,"Biological Processes",14429,"Cluster_17776","ntLink_6:12545729-12550169",168,-27.89,2,21,472,493,19,"73.68%","84.21%",0.899219937783548,0.0378198005829804,0.96546924320845
"2","FUN_001459","GO:0000294","nuclear-transcribed mRNA catabolic process, endonuc...",1,1,0.05,0.046,"Biological Processes",13255,"Cluster_16409","ntLink_6:12586278-12604578",146,-20.93,2,21,12716,12732,19,"68.42%","73.68%",0.899006211587515,0.0379389140065401,0.96546924320845
"3","FUN_005999","GO:0001764","neuron migration",8,2,0.36,0.048,"Biological Processes",27910,"Cluster_3367","ptg000001l:6618918-6647450",145,-20.74,2,15,10136,10160,14,"71.43%","85.71%",0.903967182646196,0.035205167731995,0.956152004505484
"4","FUN_007999","GO:0000335","negative regulation of transposition, DNA-mediated",1,1,0.05,0.046,"Biological Processes",21553,"Cluster_19193","ptg000002l:7015345-7043483",154,-21.61,2,19,26598,26619,17,"70.59%","76.47%",0.984775162652892,0.00224992763910047,0.545343267336266
"5","FUN_013639","GO:0007268","chemical synaptic transmission",1,1,0.05,0.046,"Biological Processes",5080,"Cluster_14402","ptg000008l:24836875-24844165",156,-20.36,2,21,4000,4018,19,"73.68%","78.95%",0.908718443748873,0.0326490711777368,0.938222391732489
"6","FUN_014090","GO:0001764","neuron migration",8,2,0.36,0.048,"Biological Processes",21725,"Cluster_19193","ptg000008l:31484875-31512289",165,-24.21,2,20,7684,7704,18,"77.78%","88.89%",0.970043581508697,0.00619594470493311,0.646398103628235
"7","FUN_022357","GO:0006884","cell volume homeostasis",1,1,0.05,0.046,"Biological Processes",26545,"Cluster_3366","ptg000016l:8003202-8022147",146,-21.4,2,23,6720,6743,21,"52.38%","71.43%",0.893849856993434,0.0408484900641146,0.96546924320845
"8","FUN_022357","GO:0006884","cell volume homeostasis",1,1,0.05,0.046,"Biological Processes",26546,"Cluster_3366","ptg000016l:8003202-8022147",152,-21.47,2,23,6228,6254,24,"58.33%","79.17%",0.893849856993434,0.0408484900641146,0.96546924320845
"9","FUN_024778","GO:0000183","rDNA heterochromatin formation",1,1,0.05,0.046,"Biological Processes",9312,"Cluster_15340","ptg000018l:10951333-10972190",157,-23.31,2,20,2185,2205,18,"72.22%","83.33%",0.961329203095566,0.00907555541636361,0.712897001166443
"10","FUN_027981","GO:0002268","follicular dendritic cell differentiation",1,1,0.05,0.046,"Biological Processes",31057,"Cluster_4220","ptg000021l:14172856-14179645",148,-21.24,2,19,684,709,21,"66.67%","76.19%",0.910275919799167,0.0318247041965652,0.931137145434896
"11","FUN_029040","GO:0007268","chemical synaptic transmission",1,1,0.05,0.046,"Biological Processes",5632,"Cluster_14402","ptg000022l:7546286-7554341",146,-24.7,2,21,2294,2324,28,"60.71%","67.86%",0.980540926489906,0.0032489675916029,0.545343267336266
