"parent_id"	"miRNA_cluster"	"target_name"	"query_name"	"mfe"	"pval"	"gene_id"	"cmp_ref_gene"
"1"	"ntLink_6:15566282-15566670"	"Cluster_1826"	"ntLink_6:15566281-15566670"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-26.2	0.020079	"MSTRG.1961"	NA
"2"	"ntLink_8:10040389-10040616"	"Cluster_1826"	"ntLink_8:10040388-10040616"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-27.2	0.004032	"MSTRG.4113"	NA
"3"	"ptg000001l:25193-27088"	"Cluster_1826"	"ptg000001l:25192-26193"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-29.5	0.014814	"MSTRG.7321"	NA
"4"	"ptg000001l:10926731-10928207"	"Cluster_1826"	"ptg000001l:10927730-10928207"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-29.1	0.005259	"MSTRG.8409"	NA
"5"	"ptg000002l:5112686-5113594"	"Cluster_1826"	"ptg000002l:5112685-5113594"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-27.5	0.037381	"MSTRG.10224"	NA
"6"	"ptg000007l:7556635-7557971"	"Cluster_1826"	"ptg000007l:7557634-7557971"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-25.8	0.019897	"MSTRG.14688"	NA
"7"	"ptg000008l:26217553-26217958"	"Cluster_1826"	"ptg000008l:26217552-26217958"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-25.4	0.03449	"MSTRG.18098"	NA
"8"	"ptg000009l:14456651-14457280"	"Cluster_1826"	"ptg000009l:14456650-14457280"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-26	0.04882	"MSTRG.21465"	NA
"9"	"ptg000012l:18395154-18401527"	"Cluster_1826"	"ptg000012l:18401153-18401527"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.04044	"MSTRG.25577"	NA
"10"	"ptg000012l:18447013-18454292"	"Cluster_1826"	"ptg000012l:18454012-18454292"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.024854	"MSTRG.25580"	NA
"11"	"ptg000012l:18491676-18492051"	"Cluster_1826"	"ptg000012l:18491675-18492051"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.040791	"MSTRG.25583"	NA
"12"	"ptg000012l:18513541-18517665"	"Cluster_1826"	"ptg000012l:18517540-18517665"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.005226	"MSTRG.25588"	NA
"13"	"ptg000012l:18577514-18585716"	"Cluster_1826"	"ptg000012l:18585513-18585716"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.013859	"MSTRG.25592"	NA
"14"	"ptg000012l:18875737-18878147"	"Cluster_1826"	"ptg000012l:18877736-18878147"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.047033	"MSTRG.25624"	NA
"15"	"ptg000012l:19077028-19085300"	"Cluster_1826"	"ptg000012l:19085027-19085300"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.023777	"MSTRG.25632"	NA
"16"	"ptg000012l:19088308-19088600"	"Cluster_1826"	"ptg000012l:19088307-19088600"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.026889	"MSTRG.25633"	NA
"17"	"ptg000012l:10403512-10404948"	"Cluster_1826"	"ptg000012l:10404511-10404948"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-25.3	0.041145	"MSTRG.24736"	NA
"18"	"ptg000012l:18292137-18292517"	"Cluster_1826"	"ptg000012l:18292136-18292517"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.04167	"MSTRG.25570"	NA
"19"	"ptg000012l:18301440-18301812"	"Cluster_1826"	"ptg000012l:18301439-18301812"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.040265	"MSTRG.25571"	NA
"20"	"ptg000012l:18576823-18577110"	"Cluster_1826"	"ptg000012l:18576822-18577110"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.026101	"MSTRG.25591"	NA
"21"	"ptg000012l:18648558-18648961"	"Cluster_1826"	"ptg000012l:18648557-18648961"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.04577	"MSTRG.25597"	NA
"22"	"ptg000012l:18689188-18689426"	"Cluster_1826"	"ptg000012l:18689187-18689426"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.018753	"MSTRG.25598"	NA
"23"	"ptg000012l:19015882-19016162"	"Cluster_1826"	"ptg000012l:19015881-19016162"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.025009	"MSTRG.25628"	NA
"24"	"ptg000012l:19019177-19019470"	"Cluster_1826"	"ptg000012l:19019176-19019470"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.027047	"MSTRG.25629"	NA
"25"	"ptg000012l:19026506-19026770"	"Cluster_1826"	"ptg000012l:19026505-19026770"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.022564	"MSTRG.25630"	NA
"26"	"ptg000012l:19116869-19117218"	"Cluster_1826"	"ptg000012l:19116868-19117218"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-24.9	0.036285	"MSTRG.25635"	NA
"27"	"ptg000021l:14053314-14054349"	"Cluster_1826"	"ptg000021l:14054313-14054349"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-20.5	0.007735	"MSTRG.36918"	NA
"28"	"ptg000022l:975419-975628"	"Cluster_1826"	"ptg000022l:975418-975628"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-23.6	0.03362	"MSTRG.37781"	NA
"29"	"ptg000023l:34723295-34726477"	"Cluster_1826"	"ptg000023l:34725294-34726295"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-27.8	0.036693	"MSTRG.43200"	NA
"30"	"ptg000023l:42704926-42705368"	"Cluster_1826"	"ptg000023l:42704925-42705368"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-25.2	0.044534	"MSTRG.44352"	NA
"31"	"ptg000023l:42714007-42714474"	"Cluster_1826"	"ptg000023l:42714006-42714474"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-25.2	0.048532	"MSTRG.44353"	NA
"32"	"ptg000027l:14944334-14944585"	"Cluster_1826"	"ptg000027l:14944333-14944585"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-23.5	0.048877	"MSTRG.51880"	NA
"33"	"ptg000031l:2335865-2342699"	"Cluster_1826"	"ptg000031l:2338864-2339865"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-27.7	0.038689	"MSTRG.53161"	NA
"34"	"ptg000031l:15825834-15830860"	"Cluster_1826"	"ptg000031l:15830833-15830860"	"Cluster_1826.mature::ntLink_6:4847465-4847486(-)"	-21.9	0.001125	"MSTRG.54767"	NA
