"target","std_gene_name"
"Peve_00005079","DIS3L"
"Peve_00027383","EXOSC10"
"Peve_00024359","EXOSC10"
"Peve_00027825","EXOSC1"
"Peve_00020046","EXOSC6"
"Peve_00020083","EXOSC6"
"Peve_00023222","EXOSC9"
"Peve_00009801","EXOSC5"
"Peve_00004940","EXOSC2"
"Peve_00008062","EXOSC3"
"Peve_00021343","EXOSC2"
"Peve_00027941","EXOSC4"
"Peve_00024390","EXOSC3"
"Peve_00021642","DIS3"
"Peve_00025446","EXOSC7"
"Peve_00002243","ZFC3H1"
"Peve_00014570","ZFC3H1"
"Peve_00002241","ZFC3H1"
"Peve_00007700","ZFC3H1"
"Peve_00024196","ZFC3H1"
"Peve_00026757","ZFC3H1"
"Peve_00018839","ZFC3H1"
"Peve_00033123","ZFC3H1"
"Peve_00023685","ZFC3H1"
"Peve_00007224","ZFC3H1"
"Peve_00009218","ZFC3H1"
"Peve_00024197","ZFC3H1"
"Peve_00028020","ZFC3H1"
"Peve_00028906","ZFC3H1"
"Peve_00033986","ZFC3H1"
"Peve_00023310","INTS10"
"Peve_00006447","INTS10"
"Peve_00035005","INTS10"
"Peve_00009358","INTS11"
"Peve_00035301","INTS12"
"Peve_00026086","INTS13"
"Peve_00018572","INTS14"
"Peve_00006524","INTS2"
"Peve_00002298","INTS3"
"Peve_00007872","INTS4"
"Peve_00039124","INTS6"
"Peve_00030238","INTS7"
"Peve_00018032","INTS8"
"Peve_00001498","INTS9"
"Peve_00012543","RDRP"
"Peve_00035858","RDRP"
"Peve_00002451","RDRP"
"Peve_00029318","RDRP"
"Peve_00031204","RDRP"
"Peve_00026319","RDRP"
"Peve_00032720","RDRP"
"Peve_00007069","RDRP"
"Peve_00000800","RDRP"
"Peve_00032709","RDRP"
"Peve_00032712","RDRP"
"Peve_00026320","RDRP"
"Peve_00012867","HSPA8"
"Peve_00041488","HSPA8"
"Peve_00029908","HSPA8"
"Peve_00017115","HSPA8"
"Peve_00017722","PAPD5"
"Peve_00020669","DZIP3"
"Peve_00005515","DZIP3"
"Peve_00039041","DROSHA"
"Peve_00014560","SRRT"
"Peve_00000006","DDX5"
"Peve_00035853","TNRC6"
"Peve_00018038","MTREX"
"Peve_00032268","XPO5"
"Peve_00011853","DGCR8"
"Peve_00004756","AGO3"
"Peve_00006288","AGO3"
"Peve_00008963","TUT7"
"Peve_00008963","TUT4"
"Peve_00038608","SFPQ"
"Peve_00044383","RAN"
"Peve_00038608","NONO"
"Peve_00006288","AGO4"
"Peve_00019588","HSP90AA1"
"Peve_00004333","DIS3L2"
"Peve_00006288","AGO1"
"Peve_00006280","AGO2"
"Peve_00042882","AGO2"
"Peve_00006288","AGO2"
"Peve_00000006","DDX17"
"Peve_00023969","DICER1"
"Peve_00022943","DICER1"
"Peve_00005268","DICER1"
"Peve_00001954","DICER1"
"Peve_00005268","DICER2"
"Peve_00023282","HENMT1"
"Peve_00002044","HYL1"
"Peve_00028081","YBX1"
"Peve_00004734","PHAX"
"Peve_00030232","XPO1"
"Peve_00044713","PQBP1"
"Peve_00038608","PSPC1"
