,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value,interaction_support
1,peve-mir-novel-35,Peve_00027432,3UTR,Peve_00027432;2 21;242 264,-20.62,22,72.73%,77.27%,-0.99995514319204,0.99995514319204,-1,0.00602991134659825,predicted binding + coexpression
2,peve-mir-novel-24,Peve_00008275,3UTR,Peve_00008275;2 20;190 211,-24.67,18,66.67%,83.33%,1,1,1,0,predicted binding + coexpression
3,peve-mir-100,Peve_00008279,3UTR,Peve_00008279;2 20;557 582,-21.82,22,63.64%,68.18%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
4,peve-mir-novel-24,Peve_00034585,3UTR,Peve_00034585;2 12;409 430,-22.51,10,80.00%,100.00%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
5,peve-mir-novel-40,Peve_00023739,3UTR,Peve_00023739;2 20;334 359,-22.98,22,72.73%,77.27%,0.999976082283725,0.999976082283725,1,0.004403072548434,predicted binding + coexpression
6,peve-mir-100,Peve_00027965,3UTR,Peve_00027965;2 18;436 460,-23.67,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
7,peve-mir-novel-24,Peve_00032772,3UTR,Peve_00032772;2 14;548 569,-20.73,12,66.67%,83.33%,1,1,1,9.48637384723993e-09,predicted binding + coexpression
8,peve-mir-100,Peve_00023767,3UTR,Peve_00023767;2 21;87 107,-20.46,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
9,peve-mir-novel-8,Peve_00017580,3UTR,Peve_00017580;2 20;777 798,-21.45,18,77.78%,83.33%,-0.999998957645573,0.999998957645573,-1,0.000919184867929113,predicted binding + coexpression
10,peve-mir-100,Peve_00043419,3UTR,Peve_00043419;2 20;290 312,-20.65,19,73.68%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
11,peve-mir-novel-24,Peve_00006544,3UTR,Peve_00006544;2 10;1 16,-20.18,8,100.00%,100.00%,0.999971585054582,0.999971585054582,1,0.00479920788265011,predicted binding + coexpression
12,peve-mir-100,Peve_00004995,3UTR,Peve_00004995;2 11;93 114,-20.57,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
13,peve-mir-100,Peve_00041754,3UTR,Peve_00041754;2 11;782 803,-20.26,9,88.89%,88.89%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
14,peve-mir-100,Peve_00031993,3UTR,Peve_00031993;2 20;269 290,-22.03,19,68.42%,78.95%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
15,peve-mir-100,Peve_00024388,3UTR,Peve_00024388;2 12;579 600,-23.33,10,90.00%,100.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
16,peve-mir-novel-8,Peve_00031324,3UTR,Peve_00031324;2 20;9 30,-20.17,18,77.78%,88.89%,0.999992290678624,0.999992290678624,1,0.00249978970397961,predicted binding + coexpression
17,peve-mir-2023,Peve_00006285,3UTR,Peve_00006285;2 20;107 128,-20.29,19,73.68%,78.95%,0.999973885825882,0.999973885825882,1,0.00460080910062486,predicted binding + coexpression
18,peve-mir-novel-42,Peve_00032724,3UTR,Peve_00032724;2 18;554 575,-21.23,16,87.50%,87.50%,0.999974190676381,0.999974190676381,1,0.00457387578916138,predicted binding + coexpression
19,peve-mir-100,Peve_00043468,3UTR,Peve_00043468;2 21;742 764,-21.49,20,70.00%,75.00%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
20,peve-mir-novel-24,Peve_00008133,3UTR,Peve_00008133;2 20;190 209,-20.98,18,83.33%,83.33%,-0.999965637301935,0.999965637301935,-1,0.00527764279292991,predicted binding + coexpression
21,peve-mir-novel-35,Peve_00030612,3UTR,Peve_00030612;2 21;67 89,-23.05,20,70.00%,80.00%,1,1,1,1.34157585525081e-08,predicted binding + coexpression
22,peve-mir-novel-34,Peve_00006413,3UTR,Peve_00006413;2 21;758 783,-21.66,23,73.91%,78.26%,-0.999945819357893,0.999945819357893,-1,0.0066270333402645,predicted binding + coexpression
23,peve-mir-100,Peve_00013947,3UTR,Peve_00013947;2 12;681 701,-21.45,10,90.00%,90.00%,0.999909726776791,0.999909726776791,1,0.00855416971793389,predicted binding + coexpression
24,peve-mir-novel-24,Peve_00043123,3UTR,Peve_00043123;2 21;803 824,-23.58,20,75.00%,80.00%,1,1,1,0,predicted binding + coexpression
25,peve-mir-novel-40,Peve_00021216,3UTR,Peve_00021216;2 20;190 209,-20.4,18,72.22%,83.33%,0.999962448044095,0.999962448044095,1,0.00551712420276166,predicted binding + coexpression
26,peve-mir-100,Peve_00015043,3UTR,Peve_00015043;2 21;395 419,-29.94,22,68.18%,72.73%,0.999909726776791,0.999909726776791,1,0.00855416971793915,predicted binding + coexpression
