"","X","miRNA","V2","V3.x","V4.x","V5","V6","V7","V8","V9","V10","V11","mRNA","PCC.cor","p_value","adjusted_p_value","V1","V3.y","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"13",13,"Cluster_10051","ntLink_6:17025777-17037345",172,-29.89,2,21,5619,5640,19,"73.68%","89.47%","FUN_001853",-0.911598560263343,0.0311299644953076,0.926337549274273,NA,NA,NA,NA,NA,NA
"16",16,"Cluster_10051","ntLink_6:18174033-18200319",145,-21.88,2,21,13634,13655,20,"60.00%","80.00%","FUN_001948",0.979680269937281,0.00346643137529996,0.545343267336266,"ntLink_6:18174033-18200319","Q6ZQB6","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (mmVIP2)","Mus musculus (Mouse)","inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; phosphorylation [GO:0016310]; sensory perception of sound [GO:0007605]","GO:0000827; GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0007605; GO:0016310; GO:0032958; GO:0033857; GO:0052723; GO:0052724"
"17",17,"Cluster_10051","ntLink_6:18174033-18200319",159,-24.71,2,21,5724,5746,20,"70.00%","80.00%","FUN_001948",0.979680269937281,0.00346643137529996,0.545343267336266,"ntLink_6:18174033-18200319","Q6ZQB6","Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 (EC 2.7.4.24) (Diphosphoinositol pentakisphosphate kinase 2) (Histidine acid phosphatase domain-containing protein 1) (InsP6 and PP-IP5 kinase 2) (VIP1 homolog 2) (mmVIP2)","Mus musculus (Mouse)","inositol metabolic process [GO:0006020]; inositol phosphate biosynthetic process [GO:0032958]; phosphorylation [GO:0016310]; sensory perception of sound [GO:0007605]","GO:0000827; GO:0000828; GO:0000829; GO:0000832; GO:0005524; GO:0005829; GO:0006020; GO:0007605; GO:0016310; GO:0032958; GO:0033857; GO:0052723; GO:0052724"
"19",19,"Cluster_10051","ntLink_6:19694506-19701443",150,-20.1,2,11,4980,5001,9,"100.00%","100.00%","FUN_002098",0.94667207225362,0.0146642918761404,0.798812522398142,NA,NA,NA,NA,NA,NA
"24",24,"Cluster_10051","ntLink_6:4944400-4956230",168,-24.5,2,18,2753,2776,18,"83.33%","88.89%","FUN_000607",0.975751510133819,0.00451621830381497,0.568957598775243,NA,NA,NA,NA,NA,NA
"25",25,"Cluster_10051","ntLink_6:5222715-5227045",162,-22.68,2,21,1967,1987,19,"73.68%","84.21%","FUN_000634",0.978580789954303,0.00375092828341024,0.545343267336266,NA,NA,NA,NA,NA,NA
"28",28,"Cluster_10051","ntLink_6:68889-102137",154,-20.44,2,20,5812,5834,19,"68.42%","78.95%","FUN_000185",0.92342976870302,0.0251403778916514,0.914225011702335,"ntLink_6:68889-102137","P04323","Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]","Drosophila melanogaster (Fruit fly)","DNA integration [GO:0015074]; proteolysis [GO:0006508]","GO:0003676; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0006508; GO:0015074; GO:0042575"
"42",42,"Cluster_10051","ntLink_8:17017719-17026371",155,-21.19,2,21,2127,2150,21,"66.67%","76.19%","FUN_003924",0.9785058578063,0.00377058596288974,0.545343267336266,NA,NA,NA,NA,NA,NA
"56",56,"Cluster_10051","ntLink_8:22233408-22252513",161,-21.3,2,21,11336,11357,20,"80.00%","80.00%","FUN_004350",0.893857185974053,0.0408443061796801,0.96546924320845,NA,NA,NA,NA,NA,NA
"64",64,"Cluster_10051","ntLink_8:25088249-25117435",153,-24.89,2,21,18495,18516,20,"65.00%","85.00%","FUN_004630",0.945427801458537,0.0151776204665744,0.809961631599194,"ntLink_8:25088249-25117435","D8VNT0","Ryncolin-4","Cerberus rynchops (Dog-faced water snake)","","GO:0005576; GO:0090729"
