accession,protein_name,gene_name,std_gene_name,species
A0A0C2N1X6,"Nuclear cap-binding protein subunit 1",RF11_00163,NCBP1,"Thelohanellus kitauei"
A0A2B4SX82,"Nuclear cap-binding protein subunit 1",ncbp1,NCBP1,"Stylophora pistillata"
A0A6P8J329,"Nuclear cap-binding protein subunit 1",LOC116306115,NCBP1,"Actinia tenebrosa"
A0A6S7G2D7,"Nuclear cap-binding protein subunit 1",PACLA_8A083348,NCBP1,"Paramuricea clavata"
A0A7M5V3C0,"Nuclear cap-binding protein subunit 1",NCBP1 OS=Clytia hemisphaerica OX=252671,NCBP1,"Clytia hemisphaerica"
A0A913XIF0,"Nuclear cap-binding protein subunit 1",NCBP1 OS=Exaiptasia diaphana OX=2652724,NCBP1,"Exaiptasia diaphana"
A0A9W9ZWX6,"Nuclear cap-binding protein subunit 1",NCBP1,NCBP1,"Desmophyllum pertusum"
A0AAD9QN77,"Nuclear cap-binding protein subunit 1",P5673_011848,NCBP1,"Acropora cervicornis"
A0AAU9VQE5,"Nuclear cap-binding protein subunit 1",PMEA_00011059,NCBP1,"Pocillopora meandrina"
A0ABM4DB04,"Nuclear cap-binding protein subunit 1-like",LOC136089457,NCBP1,"Hydra vulgaris"
A0ABM4DDG6,"Nuclear cap-binding protein subunit 1 isoform X2",LOC101235711,NCBP1,"Hydra vulgaris"
A7ST09,"Nuclear cap-binding protein subunit 1",NEMVEDRAFT_v1g193215,NCBP1,"Nematostella vectensis"
A0A224ASV7,"Heat shock protein 90",hsp90,HSP90,"Acropora tenuis"
Q967E1,"Heat shock protein 90",hsp90 gene,HSP90,"Dendronephthya klunzingeri"
A0A3M6U8K5,"SWI/SNF complex subunit SMARCC2",pdam_00024393,SMARCC2,"Pocillopora damicornis"
A0A6P8H2M2,"SWI/SNF complex subunit SMARCC2-like",LOC116287162,SMARCC2,"Actinia tenebrosa"
A0A7M5UZN6,"SWI/SNF complex subunit SMARCC2",SMARCC2 OS=Clytia hemisphaerica OX=252671,SMARCC2,"Clytia hemisphaerica"
A0A7M5V808,"SWI/SNF complex subunit SMARCC2",SMARCC2 OS=Clytia hemisphaerica OX=252671,SMARCC2,"Clytia hemisphaerica"
A0A913YAN3,"SWI/SNF complex subunit SMARCC2",SMARCC2 OS=Exaiptasia diaphana OX=2652724,SMARCC2,"Exaiptasia diaphana"
A0AAD9UTI2,"SWI/SNF complex subunit SMARCC2",P5673_030563,SMARCC2,"Acropora cervicornis"
A0AAU9WW55,"SWI/SNF complex subunit SMARCC2",PMEA_00012531,SMARCC2,"Pocillopora meandrina"
T2M958,"SWI/SNF complex subunit SMARCC2",SMARCC2,SMARCC2,"Hydra vulgaris"
A0ABM4CXJ3,"SWI/SNF complex subunit SMARCC2 isoform X3",LOC100210696,SMARCC2,"Hydra vulgaris"
A0ABN8P5H7,"SWI/SNF complex subunit SMARCC2",PLOB_00037414,SMARCC2,"Porites lobata"
A0ABN8QPG7,"SWI/SNF complex subunit SMARCC2",PEVE_00006460,SMARCC2,"Porites evermanni"
A0A9X0A445,"RNA helicase",DDX6,DDX6,"Desmophyllum pertusum"
T2MGZ3,"RNA helicase",DDX6,DDX6,"Hydra vulgaris"
A0A2B4RFS2,"mRNA-decapping enzyme 1B",Dcp1b,DCP1B,"Stylophora pistillata"
A0A3M6V3U0,"mRNA-decapping enzyme C-terminal domain-containing protein",pdam_00001455,DCP1,"Pocillopora damicornis"
A0A6P8ID16,"mRNA-decapping enzyme 1B-like",LOC116298742,DCP1B,"Actinia tenebrosa"
A0A6S7GS75,"mRNA-decapping enzyme 1A",PACLA_8A033275,DCP1A,"Paramuricea clavata"
A0A7M5UW04,"mRNA-decapping enzyme C-terminal domain-containing protein",DCP1 OS=Clytia hemisphaerica OX=252671,DCP1,"Clytia hemisphaerica"
