#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
transcript::ntLink_0:84515-93551	9036	93	0.30530999999999997	9.696254539489747	1	0.0808641	noncoding
transcript::ntLink_0:15628-19151	3523	97	0.27431000000000005	10.590044212341308	1	0.0771777	noncoding
transcript::ntLink_0:23444-23874	430	26	0.34963999999999995	9.099470710754396	1	0.00735347	noncoding
transcript::ntLink_1:7485-9525	2040	64	0.33039	9.09695644378662	1	0.0331833	noncoding
transcript::ntLink_1:51266-51766	500	136	0.40335000000000004	11.325370597839356	-1	0.212475	noncoding
transcript::ntLink_2:224438-275065	50627	482	0.28200000000000003	5.386199378967285	1	1	coding
transcript::ntLink_2:207609-212895	5286	482	0.43371	5.386199378967285	1	1	coding
transcript::ntLink_2:317254-322570	5316	482	0.41580999999999996	5.386199378967285	1	1	coding
transcript::ntLink_2:217052-217761	709	19	0.35961	11.235179328918456	1	0.0105206	noncoding
transcript::ntLink_2:330552-331392	840	68	0.33765999999999996	11.09031887054443	-1	0.179525	noncoding
transcript::ntLink_3:56722-62176	5454	145	0.31904	9.915060234069824	1	0.376994	noncoding
transcript::ntLink_3:76353-81676	5323	145	0.27517	9.915060234069824	1	0.222713	noncoding
transcript::ntLink_3:95706-100623	4917	145	0.30695	9.915060234069824	1	0.324248	noncoding
transcript::ntLink_3:115612-120137	4525	145	0.30695	9.915060234069824	1	0.324248	noncoding
transcript::ntLink_3:39724-40230	506	43	0.2817	10.45517635345459	1	0.0223692	noncoding
transcript::ntLink_3:40768-41120	352	38	0.36766	10.462525749206542	-1	0.141369	noncoding
transcript::ntLink_4:77171-82052	4881	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:78046-82451	4405	137	0.28648	11.269347572326659	1	0.162989	noncoding
transcript::ntLink_4:152870-157343	4473	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:205720-210236	4516	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:238916-239578	662	40	0.32702999999999993	11.999967765808105	1	0.0199603	noncoding
transcript::ntLink_4:279655-284300	4645	137	0.31793	11.269347572326659	1	0.237441	noncoding
transcript::ntLink_4:279655-288352	8697	137	0.30132	11.269347572326659	1	0.192004	noncoding
transcript::ntLink_4:283775-292426	8651	137	0.28648	11.269347572326659	1	0.162989	noncoding
transcript::ntLink_4:291846-300550	8704	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:291907-296750	4843	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:295981-300550	4569	137	0.28923	11.269347572326659	1	0.167573	noncoding
transcript::ntLink_4:42728-42956	228	37	0.40237999999999996	4.493088340759278	1	0.0280092	noncoding
transcript::ntLink_6:191351-193228	1877	50	0.29524	6.699975776672363	1	0.0166281	noncoding
transcript::ntLink_6:191352-193228	1876	50	0.29524	6.699975776672363	1	0.0166281	noncoding
transcript::ntLink_6:579534-592742	13208	1104	0.34775	8.092087745666507	1	1	coding
transcript::ntLink_6:887023-888774	1751	69	0.37868999999999997	10.74824962615967	1	0.0738057	noncoding
transcript::ntLink_6:1001964-1008241	6277	121	0.30387	8.422294807434085	1	0.202953	noncoding
transcript::ntLink_6:1112687-1115150	2463	45	0.34699	5.464921379089356	1	0.0174578	noncoding
transcript::ntLink_6:1158845-1168672	9827	1242	0.31425000000000003	9.199847984313966	1	1	coding
transcript::ntLink_6:1169355-1171465	2110	69	0.35716	9.352509117126463	1	0.0522087	noncoding
transcript::ntLink_6:1298280-1299686	1406	45	0.32331	10.959512519836426	1	0.023478	noncoding
